ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010273	detoxification of copper ion	10/324	15/18866	5.41012130878184e-15	8.91858497752686e-12	8.73592219754878e-12	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:1990169	stress response to copper ion	10/324	15/18866	5.41012130878184e-15	8.91858497752686e-12	8.73592219754878e-12	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0061687	detoxification of inorganic compound	10/324	17/18866	3.39846412872858e-14	2.80118405810453e-11	2.7438126176156e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0097501	stress response to metal ion	10/324	17/18866	3.39846412872858e-14	2.80118405810453e-11	2.7438126176156e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071280	cellular response to copper ion	11/324	28/18866	5.35811269072077e-13	3.53313950826128e-10	3.46077678634344e-10	CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	11
GO:0071294	cellular response to zinc ion	10/324	24/18866	3.08038859747412e-12	1.69267353431203e-09	1.65800565211414e-09	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046688	response to copper ion	12/324	43/18866	5.11750224461071e-12	2.41034355721164e-09	2.36097697540837e-09	CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/LOXL2	12
GO:0006882	cellular zinc ion homeostasis	10/324	37/18866	4.4882990427764e-10	1.84974024300422e-07	1.81185545568921e-07	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071276	cellular response to cadmium ion	10/324	38/18866	5.99925751578065e-10	2.19772800328098e-07	2.15271603022398e-07	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0055069	zinc ion homeostasis	10/324	39/18866	7.94611516072188e-10	2.61983416849e-07	2.56617698032576e-07	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0010043	response to zinc ion	10/324	54/18866	2.38100545905605e-08	7.13652272591617e-06	6.99035861089374e-06	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046686	response to cadmium ion	10/324	64/18866	1.29471274596443e-07	3.55722326953728e-05	3.4843672847534e-05	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0045926	negative regulation of growth	17/324	254/18866	2.03778185236255e-06	0.00051681282824918	0.000506227912797435	ACVRL1/ACVR1B/PML/SEMA7A/BBS2/MT2A/MT1E/MT1M/MT1A/MT1B/MT1F/MT1G/MT1H/MT1X/MAG/KIAA0319/CCAR2	17
GO:0071248	cellular response to metal ion	14/324	193/18866	6.53001528194805e-06	0.00153781859889876	0.0015063223221817	CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2/GPLD1/DMTN	14
