ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031641	regulation of myelination	2/27	46/18866	0.00196370469677591	0.251812316496941	0.214384695494769	MAG/LGI4	2
GO:2000649	regulation of sodium ion transmembrane transporter activity	2/27	55/18866	0.00279524119432654	0.251812316496941	0.214384695494769	FXYD5/FXYD1	2
GO:1902305	regulation of sodium ion transmembrane transport	2/27	65/18866	0.00388090734054634	0.251812316496941	0.214384695494769	FXYD5/FXYD1	2
GO:0022604	regulation of cell morphogenesis	4/27	499/18866	0.00523593243502072	0.251812316496941	0.214384695494769	MAG/WTIP/HPN/ARHGAP33	4
GO:0002028	regulation of sodium ion transport	2/27	88/18866	0.00699938507122032	0.251812316496941	0.214384695494769	FXYD5/FXYD1	2
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	3/27	277/18866	0.0070572229678119	0.251812316496941	0.214384695494769	FXYD5/MAG/LRFN3	3
GO:0021782	glial cell development	2/27	122/18866	0.013099317889738	0.251812316496941	0.214384695494769	MAG/LGI4	2
GO:0006560	proline metabolic process	1/27	10/18866	0.0142230136325936	0.251812316496941	0.214384695494769	PRODH2	1
GO:0007220	Notch receptor processing	1/27	10/18866	0.0142230136325936	0.251812316496941	0.214384695494769	PSENEN	1
GO:0046487	glyoxylate metabolic process	1/27	10/18866	0.0142230136325936	0.251812316496941	0.214384695494769	PRODH2	1
GO:2000382	positive regulation of mesoderm development	1/27	10/18866	0.0142230136325936	0.251812316496941	0.214384695494769	ETV2	1
GO:0035331	negative regulation of hippo signaling	1/27	11/18866	0.0156345525927074	0.251812316496941	0.214384695494769	WTIP	1
GO:0106072	negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway	1/27	11/18866	0.0156345525927074	0.251812316496941	0.214384695494769	APLP1	1
GO:2000318	positive regulation of T-helper 17 type immune response	1/27	11/18866	0.0156345525927074	0.251812316496941	0.214384695494769	NFKBID	1
GO:0042552	myelination	2/27	137/18866	0.0163176768885146	0.251812316496941	0.214384695494769	MAG/LGI4	2
GO:0007272	ensheathment of neurons	2/27	139/18866	0.0167699828055801	0.251812316496941	0.214384695494769	MAG/LGI4	2
GO:0008366	axon ensheathment	2/27	139/18866	0.0167699828055801	0.251812316496941	0.214384695494769	MAG/LGI4	2
GO:0010755	regulation of plasminogen activation	1/27	12/18866	0.0170441451188279	0.251812316496941	0.214384695494769	HPN	1
GO:0060856	establishment of blood-brain barrier	1/27	12/18866	0.0170441451188279	0.251812316496941	0.214384695494769	LSR	1
GO:0070243	regulation of thymocyte apoptotic process	1/27	12/18866	0.0170441451188279	0.251812316496941	0.214384695494769	NFKBID	1
GO:0001889	liver development	2/27	141/18866	0.0172276433554359	0.251812316496941	0.214384695494769	LSR/HPN	2
GO:0061008	hepaticobiliary system development	2/27	144/18866	0.0179241043127908	0.251812316496941	0.214384695494769	LSR/HPN	2
GO:0007501	mesodermal cell fate specification	1/27	13/18866	0.0184517937918836	0.251812316496941	0.214384695494769	ETV2	1
GO:0032352	positive regulation of hormone metabolic process	1/27	13/18866	0.0184517937918836	0.251812316496941	0.214384695494769	HPN	1
GO:0048711	positive regulation of astrocyte differentiation	1/27	13/18866	0.0184517937918836	0.251812316496941	0.214384695494769	MAG	1
GO:0050910	detection of mechanical stimulus involved in sensory perception of sound	1/27	13/18866	0.0184517937918836	0.251812316496941	0.214384695494769	HPN	1
GO:0150105	protein localization to cell-cell junction	1/27	13/18866	0.0184517937918836	0.251812316496941	0.214384695494769	LSR	1
GO:0070234	positive regulation of T cell apoptotic process	1/27	14/18866	0.0198575011895189	0.251812316496941	0.214384695494769	NFKBID	1
GO:0106070	regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway	1/27	14/18866	0.0198575011895189	0.251812316496941	0.214384695494769	APLP1	1
GO:0036376	sodium ion export across plasma membrane	1/27	15/18866	0.0212612698860968	0.251812316496941	0.214384695494769	FXYD1	1
GO:2000345	regulation of hepatocyte proliferation	1/27	15/18866	0.0212612698860968	0.251812316496941	0.214384695494769	HPN	1
GO:0002523	leukocyte migration involved in inflammatory response	1/27	16/18866	0.0226631024527022	0.251812316496941	0.214384695494769	FFAR2	1
GO:0048012	hepatocyte growth factor receptor signaling pathway	1/27	16/18866	0.0226631024527022	0.251812316496941	0.214384695494769	HPN	1
GO:0030033	microvillus assembly	1/27	17/18866	0.0240630014571466	0.251812316496941	0.214384695494769	FXYD5	1
GO:0043923	positive regulation by host of viral transcription	1/27	17/18866	0.0240630014571466	0.251812316496941	0.214384695494769	HPN	1
GO:0070242	thymocyte apoptotic process	1/27	17/18866	0.0240630014571466	0.251812316496941	0.214384695494769	NFKBID	1
GO:0022407	regulation of cell-cell adhesion	3/27	439/18866	0.0241976819936765	0.251812316496941	0.214384695494769	FXYD5/NFKBID/LRFN3	3
GO:0048732	gland development	3/27	443/18866	0.0247730276717176	0.251812316496941	0.214384695494769	LSR/USF2/HPN	3
GO:0001710	mesodermal cell fate commitment	1/27	18/18866	0.0254609694639717	0.251812316496941	0.214384695494769	ETV2	1
GO:0031293	membrane protein intracellular domain proteolysis	1/27	18/18866	0.0254609694639717	0.251812316496941	0.214384695494769	PSENEN	1
GO:0035330	regulation of hippo signaling	1/27	18/18866	0.0254609694639717	0.251812316496941	0.214384695494769	WTIP	1
GO:0060004	reflex	1/27	18/18866	0.0254609694639717	0.251812316496941	0.214384695494769	HPN	1
GO:0070230	positive regulation of lymphocyte apoptotic process	1/27	18/18866	0.0254609694639717	0.251812316496941	0.214384695494769	NFKBID	1
GO:0035725	sodium ion transmembrane transport	2/27	174/18866	0.0255241270898215	0.251812316496941	0.214384695494769	FXYD5/FXYD1	2
GO:0019083	viral transcription	2/27	178/18866	0.0266215316133021	0.251812316496941	0.214384695494769	USF2/HPN	2
GO:0031643	positive regulation of myelination	1/27	19/18866	0.0268570090344553	0.251812316496941	0.214384695494769	MAG	1
GO:2000319	regulation of T-helper 17 cell differentiation	1/27	19/18866	0.0268570090344553	0.251812316496941	0.214384695494769	NFKBID	1
