ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006739	NADP metabolic process	2/19	35/18866	0.000560529373833074	0.158231802179456	0.13729209672877	NUDT17/FMO5	2
GO:0006383	transcription by RNA polymerase III	2/19	47/18866	0.00101106582862272	0.158231802179456	0.13729209672877	POLR3GL/POLR3C	2
GO:0032481	positive regulation of type I interferon production	2/19	74/18866	0.00248568483018639	0.259339783949446	0.225019889890557	POLR3GL/POLR3C	2
GO:0016236	macroautophagy	3/19	310/18866	0.00350262712157286	0.274080572263076	0.23780994667521	SEC22B/LIX1L/PRKAB2	3
GO:0032479	regulation of type I interferon production	2/19	125/18866	0.006917660206237	0.274692363202245	0.238340775874152	POLR3GL/POLR3C	2
GO:0032606	type I interferon production	2/19	127/18866	0.00713316315775412	0.274692363202245	0.238340775874152	POLR3GL/POLR3C	2
GO:0016559	peroxisome fission	1/19	10/18866	0.0100278893850793	0.274692363202245	0.238340775874152	PEX11B	1
GO:0006853	carnitine shuttle	1/19	11/18866	0.0110254217409178	0.274692363202245	0.238340775874152	PRKAB2	1
GO:0033234	negative regulation of protein sumoylation	1/19	12/18866	0.0120220017985644	0.274692363202245	0.238340775874152	PIAS3	1
GO:0015697	quaternary ammonium group transport	1/19	13/18866	0.0130176304166733	0.274692363202245	0.238340775874152	PDZK1	1
GO:0033235	positive regulation of protein sumoylation	1/19	13/18866	0.0130176304166733	0.274692363202245	0.238340775874152	PIAS3	1
GO:1902902	negative regulation of autophagosome assembly	1/19	13/18866	0.0130176304166733	0.274692363202245	0.238340775874152	SEC22B	1
GO:0016241	regulation of macroautophagy	2/19	176/18866	0.013333371986392	0.274692363202245	0.238340775874152	SEC22B/PRKAB2	2
GO:0045838	positive regulation of membrane potential	1/19	16/18866	0.0159988162093923	0.274692363202245	0.238340775874152	PIAS3	1
GO:1903358	regulation of Golgi organization	1/19	16/18866	0.0159988162093923	0.274692363202245	0.238340775874152	PDE4DIP	1
GO:0051782	negative regulation of cell division	1/19	18/18866	0.0179815319160822	0.274692363202245	0.238340775874152	TXNIP	1
GO:0006293	nucleotide-excision repair, preincision complex stabilization	1/19	21/18866	0.020948510336514	0.274692363202245	0.238340775874152	CHD1L	1
GO:0006295	nucleotide-excision repair, DNA incision, 3'-to lesion	1/19	21/18866	0.020948510336514	0.274692363202245	0.238340775874152	CHD1L	1
GO:0000717	nucleotide-excision repair, DNA duplex unwinding	1/19	22/18866	0.0219356145181859	0.274692363202245	0.238340775874152	CHD1L	1
GO:0006359	regulation of transcription by RNA polymerase III	1/19	23/18866	0.0229217758068805	0.274692363202245	0.238340775874152	POLR3C	1
GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	1/19	23/18866	0.0229217758068805	0.274692363202245	0.238340775874152	RNF115	1
GO:1902001	fatty acid transmembrane transport	1/19	23/18866	0.0229217758068805	0.274692363202245	0.238340775874152	PRKAB2	1
GO:0002347	response to tumor cell	1/19	26/18866	0.0258746108181891	0.274692363202245	0.238340775874152	TXNIP	1
GO:0033233	regulation of protein sumoylation	1/19	26/18866	0.0258746108181891	0.274692363202245	0.238340775874152	PIAS3	1
GO:0070911	global genome nucleotide-excision repair	1/19	26/18866	0.0258746108181891	0.274692363202245	0.238340775874152	CHD1L	1
GO:0072337	modified amino acid transport	1/19	27/18866	0.0268570090344552	0.274692363202245	0.238340775874152	PDZK1	1
GO:0006294	nucleotide-excision repair, preincision complex assembly	1/19	29/18866	0.0288189903735201	0.274692363202245	0.238340775874152	CHD1L	1
GO:0045671	negative regulation of osteoclast differentiation	1/19	29/18866	0.0288189903735201	0.274692363202245	0.238340775874152	PIAS3	1
GO:0032728	positive regulation of interferon-beta production	1/19	30/18866	0.0297985751897276	0.274692363202245	0.238340775874152	POLR3C	1
GO:0090314	positive regulation of protein targeting to membrane	1/19	30/18866	0.0297985751897276	0.274692363202245	0.238340775874152	PDZK1	1
