ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0070757	interleukin-35-mediated signaling pathway	2/18	11/18866	4.70475459986937e-05	0.0179251150255023	0.0124799806228114	STAT4/STAT1	2
GO:0006541	glutamine metabolic process	2/18	23/18866	0.00021495543814032	0.0409490109657309	0.028509879163874	ASNSD1/GLS	2
GO:1901605	alpha-amino acid metabolic process	3/18	202/18866	0.000876451055914141	0.111309284101096	0.0774967249439872	ASNSD1/HIBCH/GLS	3
GO:0030199	collagen fibril organization	2/18	55/18866	0.00123908991645107	0.111920075825623	0.0779219757095097	COL3A1/COL5A2	2
GO:1901607	alpha-amino acid biosynthetic process	2/18	66/18866	0.00177871572240286	0.111920075825623	0.0779219757095097	ASNSD1/GLS	2
GO:0071230	cellular response to amino acid stimulus	2/18	69/18866	0.00194210113460552	0.111920075825623	0.0779219757095097	COL3A1/COL5A2	2
GO:0009064	glutamine family amino acid metabolic process	2/18	75/18866	0.00228947659880599	0.111920075825623	0.0779219757095097	ASNSD1/GLS	2
GO:0071229	cellular response to acid chemical	2/18	76/18866	0.00235002783885823	0.111920075825623	0.0779219757095097	COL3A1/COL5A2	2
GO:0008652	cellular amino acid biosynthetic process	2/18	84/18866	0.00286150968907666	0.116755076937182	0.0812882425422569	ASNSD1/GLS	2
GO:0006520	cellular amino acid metabolic process	3/18	340/18866	0.00387238952902712	0.116755076937182	0.0812882425422569	ASNSD1/HIBCH/GLS	3
GO:1901606	alpha-amino acid catabolic process	2/18	104/18866	0.00434720250410487	0.116755076937182	0.0812882425422569	HIBCH/GLS	2
GO:0043200	response to amino acid	2/18	114/18866	0.0051984580264065	0.116755076937182	0.0812882425422569	COL3A1/COL5A2	2
GO:0009063	cellular amino acid catabolic process	2/18	124/18866	0.00612027299091695	0.116755076937182	0.0812882425422569	HIBCH/GLS	2
GO:0001101	response to acid chemical	2/18	132/18866	0.00690767683399187	0.116755076937182	0.0812882425422569	COL3A1/COL5A2	2
