ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034244	negative regulation of transcription elongation from RNA polymerase II promoter	1/4	13/18866	0.00275365226306523	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0032785	negative regulation of DNA-templated transcription, elongation	1/4	15/18866	0.00317678576953417	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0035518	histone H2A monoubiquitination	1/4	17/18866	0.00359978460945931	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0018230	peptidyl-L-cysteine S-palmitoylation	1/4	23/18866	0.00486797341571199	0.0380006516425754	0.0121214199816827	ZDHHC19	1
GO:0018231	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine	1/4	23/18866	0.00486797341571199	0.0380006516425754	0.0121214199816827	ZDHHC19	1
GO:0033522	histone H2A ubiquitination	1/4	26/18866	0.00550161365675417	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0034243	regulation of transcription elongation from RNA polymerase II promoter	1/4	27/18866	0.00571275981096742	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0010390	histone monoubiquitination	1/4	29/18866	0.00613495125161179	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0015721	bile acid and bile salt transport	1/4	29/18866	0.00613495125161179	0.0380006516425754	0.0121214199816827	SLC51A	1
GO:0018345	protein palmitoylation	1/4	36/18866	0.00761156255694839	0.0380006516425754	0.0121214199816827	ZDHHC19	1
GO:0046717	acid secretion	1/4	43/18866	0.00908652787078235	0.0380006516425754	0.0121214199816827	SLC51A	1
GO:0016574	histone ubiquitination	1/4	48/18866	0.0101390674514663	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0032784	regulation of DNA-templated transcription, elongation	1/4	48/18866	0.0101390674514663	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0018198	peptidyl-cysteine modification	1/4	49/18866	0.0103494747067642	0.0380006516425754	0.0121214199816827	ZDHHC19	1
GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	1/4	51/18866	0.0107701885850485	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0002208	somatic diversification of immunoglobulins involved in immune response	1/4	51/18866	0.0107701885850485	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0045190	isotype switching	1/4	51/18866	0.0107701885850485	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0036297	interstrand cross-link repair	1/4	55/18866	0.0116112139122018	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0016447	somatic recombination of immunoglobulin gene segments	1/4	56/18866	0.0118213864253244	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0070534	protein K63-linked ubiquitination	1/4	57/18866	0.01203152541811	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0002381	immunoglobulin production involved in immunoglobulin mediated immune response	1/4	61/18866	0.0128717462571656	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	1/4	66/18866	0.01392126852606	0.0380006516425754	0.0121214199816827	RNF168	1
GO:0016444	somatic cell DNA recombination	1/4	66/18866	0.01392126852606	0.0380006516425754	0.0121214199816827	RNF168	1
