ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006534	cysteine metabolic process	2/12	12/18866	2.43919297313215e-05	0.00306237315069913	0.00180899679788134	TST/MPST	2
GO:0050667	homocysteine metabolic process	2/12	14/18866	3.36075313103343e-05	0.00306237315069913	0.00180899679788134	TST/MPST	2
GO:0000098	sulfur amino acid catabolic process	2/12	15/18866	3.87642170974574e-05	0.00306237315069913	0.00180899679788134	TST/MPST	2
GO:0045730	respiratory burst	2/12	37/18866	0.000243971497843275	0.0112744692988826	0.00666002405841168	NCF4/RAC2	2
GO:0000096	sulfur amino acid metabolic process	2/12	40/18866	0.000285429602503357	0.0112744692988826	0.00666002405841168	TST/MPST	2
GO:0009069	serine family amino acid metabolic process	2/12	40/18866	0.000285429602503357	0.0112744692988826	0.00666002405841168	TST/MPST	2
GO:0044273	sulfur compound catabolic process	2/12	56/18866	0.000560363051056716	0.0184245431380233	0.0108836963684526	TST/MPST	2
GO:0045454	cell redox homeostasis	2/12	59/18866	0.000621925506768719	0.0184245431380233	0.0108836963684526	NCF4/RAC2	2
GO:0006909	phagocytosis	3/12	382/18866	0.00158165458087785	0.04165023729645	0.0246035157025443	NCF4/IL2RB/RAC2	3
GO:0120034	positive regulation of plasma membrane bounded cell projection assembly	2/12	104/18866	0.00191612391089999	0.0454121366883297	0.0268257347525998	KCTD17/RAC2	2
