ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1903358	regulation of Golgi organization	1/3	16/18866	0.00254223701505074	0.0181063428967722	0.00224227156616374	PDE4DIP	1
GO:0006739	NADP metabolic process	1/3	35/18866	0.00555554282928994	0.0181063428967722	0.00224227156616374	NUDT17	1
GO:0019362	pyridine nucleotide metabolic process	1/3	35/18866	0.00555554282928994	0.0181063428967722	0.00224227156616374	NUDT17	1
GO:0046496	nicotinamide nucleotide metabolic process	1/3	35/18866	0.00555554282928994	0.0181063428967722	0.00224227156616374	NUDT17	1
GO:0006734	NADH metabolic process	1/3	41/18866	0.00650585069992604	0.0181063428967722	0.00224227156616374	NUDT17	1
GO:0072524	pyridine-containing compound metabolic process	1/3	41/18866	0.00650585069992604	0.0181063428967722	0.00224227156616374	NUDT17	1
GO:0006383	transcription by RNA polymerase III	1/3	47/18866	0.00745555295749445	0.0181063428967722	0.00224227156616374	POLR3GL	1
GO:0009166	nucleotide catabolic process	1/3	67/18866	0.0106168557556955	0.019926930511963	0.00246773133275084	NUDT17	1
GO:1901292	nucleoside phosphate catabolic process	1/3	73/18866	0.0115639359205876	0.019926930511963	0.00246773133275084	NUDT17	1
GO:0032481	positive regulation of type I interferon production	1/3	74/18866	0.0117217238305665	0.019926930511963	0.00246773133275084	POLR3GL	1
GO:0034404	nucleobase-containing small molecule biosynthetic process	1/3	107/18866	0.0169193092819852	0.0261480234357952	0.00323814531712634	NUDT17	1
GO:0032479	regulation of type I interferon production	1/3	125/18866	0.0197466593473079	0.0262329279424257	0.00324865980711154	POLR3GL	1
GO:0032606	type I interferon production	1/3	127/18866	0.0200604743089138	0.0262329279424257	0.00324865980711154	POLR3GL	1
GO:0046434	organophosphate catabolic process	1/3	144/18866	0.022725197768984	0.0269971687222182	0.00334330262813847	NUDT17	1
GO:0007030	Golgi organization	1/3	151/18866	0.0238210312254866	0.0269971687222182	0.00334330262813847	PDE4DIP	1
