ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031346	positive regulation of cell projection organization	6/38	394/18866	0.000125232981819876	0.0754792046423443	0.0644203738056993	EPO/ATF1/CX3CL1/KATNB1/KCTD17/RAC2	6
GO:0006534	cysteine metabolic process	2/38	12/18866	0.000257434473264125	0.0754792046423443	0.0644203738056993	MPST/TST	2
GO:0050667	homocysteine metabolic process	2/38	14/18866	0.000354046066345882	0.0754792046423443	0.0644203738056993	MPST/TST	2
GO:0000098	sulfur amino acid catabolic process	2/38	15/18866	0.000407995700769429	0.0754792046423443	0.0644203738056993	MPST/TST	2
GO:0016338	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	2/38	23/18866	0.000973133582971273	0.122669115961778	0.104696258288858	CLDN15/CX3CL1	2
GO:0032469	endoplasmic reticulum calcium ion homeostasis	2/38	24/18866	0.0010602530444429	0.122669115961778	0.104696258288858	FIS1/KCTD17	2
GO:0030593	neutrophil chemotaxis	3/38	103/18866	0.00116038352936817	0.122669115961778	0.104696258288858	CCL22/CX3CL1/RAC2	3
GO:1990266	neutrophil migration	3/38	122/18866	0.0018868813142348	0.14234328530443	0.121487867969642	CCL22/CX3CL1/RAC2	3
GO:0032479	regulation of type I interferon production	3/38	125/18866	0.00202233065708484	0.14234328530443	0.121487867969642	POLR3GL/TRIM56/POLR3D	3
GO:0032606	type I interferon production	3/38	127/18866	0.00211591370047126	0.14234328530443	0.121487867969642	POLR3GL/TRIM56/POLR3D	3
GO:0071621	granulocyte chemotaxis	3/38	127/18866	0.00211591370047126	0.14234328530443	0.121487867969642	CCL22/CX3CL1/RAC2	3
GO:0010976	positive regulation of neuron projection development	4/38	290/18866	0.00267528097508134	0.149668841064439	0.127740120396392	EPO/ATF1/CX3CL1/KATNB1	4
GO:0000096	sulfur amino acid metabolic process	2/38	40/18866	0.00293616381891359	0.149668841064439	0.127740120396392	MPST/TST	2
GO:0009069	serine family amino acid metabolic process	2/38	40/18866	0.00293616381891359	0.149668841064439	0.127740120396392	MPST/TST	2
GO:0006734	NADH metabolic process	2/38	41/18866	0.00308282719658196	0.149668841064439	0.127740120396392	NUDT17/ADPGK	2
GO:0097530	granulocyte migration	3/38	150/18866	0.0033895603032645	0.149668841064439	0.127740120396392	CCL22/CX3CL1/RAC2	3
GO:0060326	cell chemotaxis	4/38	311/18866	0.00343833824066954	0.149668841064439	0.127740120396392	NR4A1/CCL22/CX3CL1/RAC2	4
GO:0006383	transcription by RNA polymerase III	2/38	47/18866	0.00403329825102894	0.157086352934811	0.134070855989882	POLR3GL/POLR3D	2
GO:0042551	neuron maturation	2/38	47/18866	0.00403329825102894	0.157086352934811	0.134070855989882	ACTL6B/CX3CL1	2
GO:0032608	interferon-beta production	2/38	50/18866	0.00455324798821687	0.168470175564024	0.14378677857527	TRIM56/POLR3D	2
GO:0048469	cell maturation	3/38	179/18866	0.00555219255257372	0.19108119646068	0.163084947192614	ACTL6B/EPO/CX3CL1	3
GO:0044273	sulfur compound catabolic process	2/38	56/18866	0.0056807923272094	0.19108119646068	0.163084947192614	MPST/TST	2
GO:0045666	positive regulation of neuron differentiation	4/38	380/18866	0.00696691134287088	0.22415279972715	0.191311066623457	EPO/ATF1/CX3CL1/KATNB1	4
GO:0048247	lymphocyte chemotaxis	2/38	65/18866	0.00758596073593576	0.233900456024686	0.19963054568252	CCL22/CX3CL1	2
GO:0002548	monocyte chemotaxis	2/38	67/18866	0.00804338327796692	0.238084145027821	0.203201261759164	CCL22/CX3CL1	2
GO:0070555	response to interleukin-1	3/38	211/18866	0.00872401536995821	0.239571677350575	0.204470848378869	EPO/CCL22/CX3CL1	3
GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	2/38	71/18866	0.00899461892313356	0.239571677350575	0.204470848378869	EPO/ARL2BP	2
GO:0070374	positive regulation of ERK1 and ERK2 cascade	3/38	215/18866	0.00918140386326856	0.239571677350575	0.204470848378869	EPO/CCL22/CX3CL1	3
GO:0032481	positive regulation of type I interferon production	2/38	74/18866	0.00973949514359508	0.239571677350575	0.204470848378869	POLR3GL/POLR3D	2
GO:0097529	myeloid leukocyte migration	3/38	222/18866	0.0100152572345187	0.239571677350575	0.204470848378869	CCL22/CX3CL1/RAC2	3
GO:0030595	leukocyte chemotaxis	3/38	232/18866	0.0112810435928167	0.239571677350575	0.204470848378869	CCL22/CX3CL1/RAC2	3
GO:0071695	anatomical structure maturation	3/38	235/18866	0.0116780418104866	0.239571677350575	0.204470848378869	ACTL6B/EPO/CX3CL1	3
GO:1903533	regulation of protein targeting	2/38	82/18866	0.0118549136310308	0.239571677350575	0.204470848378869	FIS1/RAC2	2
GO:0006970	response to osmotic stress	2/38	85/18866	0.0126956661851762	0.239571677350575	0.204470848378869	TSC22D4/EPO	2
GO:0042509	regulation of tyrosine phosphorylation of STAT protein	2/38	86/18866	0.0129815749418392	0.239571677350575	0.204470848378869	EPO/ARL2BP	2
GO:0006874	cellular calcium ion homeostasis	4/38	456/18866	0.0129933638721965	0.239571677350575	0.204470848378869	FIS1/EPO/CX3CL1/KCTD17	4
GO:0070098	chemokine-mediated signaling pathway	2/38	88/18866	0.0135618079549733	0.239571677350575	0.204470848378869	CCL22/CX3CL1	2
GO:0007260	tyrosine phosphorylation of STAT protein	2/38	89/18866	0.0138561085451812	0.239571677350575	0.204470848378869	EPO/ARL2BP	2
GO:0043044	ATP-dependent chromatin remodeling	2/38	90/18866	0.0141531828037861	0.239571677350575	0.204470848378869	ACTL6B/ZNHIT1	2
GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	2/38	90/18866	0.0141531828037861	0.239571677350575	0.204470848378869	EPO/ARL2BP	2
GO:0055074	calcium ion homeostasis	4/38	468/18866	0.0141759154106098	0.239571677350575	0.204470848378869	FIS1/EPO/CX3CL1/KCTD17	4
GO:1904894	positive regulation of receptor signaling pathway via STAT	2/38	93/18866	0.0150609302789483	0.239571677350575	0.204470848378869	EPO/ARL2BP	2
GO:0050769	positive regulation of neurogenesis	4/38	485/18866	0.0159658837349455	0.239571677350575	0.204470848378869	EPO/ATF1/CX3CL1/KATNB1	4
GO:0071674	mononuclear cell migration	2/38	97/18866	0.0163093827532062	0.239571677350575	0.204470848378869	CCL22/CX3CL1	2
GO:1990868	response to chemokine	2/38	97/18866	0.0163093827532062	0.239571677350575	0.204470848378869	CCL22/CX3CL1	2
GO:1990869	cellular response to chemokine	2/38	97/18866	0.0163093827532062	0.239571677350575	0.204470848378869	CCL22/CX3CL1	2
GO:0072503	cellular divalent inorganic cation homeostasis	4/38	492/18866	0.0167427101743985	0.239571677350575	0.204470848378869	FIS1/EPO/CX3CL1/KCTD17	4
GO:0006626	protein targeting to mitochondrion	2/38	99/18866	0.0169497389271515	0.239571677350575	0.204470848378869	FIS1/RAC2	2
GO:0006839	mitochondrial transport	3/38	271/18866	0.0170745334791397	0.239571677350575	0.204470848378869	FIS1/RAC2/TST	3
GO:0010522	regulation of calcium ion transport into cytosol	2/38	101/18866	0.017600725946236	0.239571677350575	0.204470848378869	EPO/CX3CL1	2
GO:0120034	positive regulation of plasma membrane bounded cell projection assembly	2/38	104/18866	0.018596940017357	0.239571677350575	0.204470848378869	KCTD17/RAC2	2
GO:0021700	developmental maturation	3/38	287/18866	0.0198532325962605	0.239571677350575	0.204470848378869	ACTL6B/EPO/CX3CL1	3
GO:0016559	peroxisome fission	1/38	10/18866	0.0199651851315331	0.239571677350575	0.204470848378869	FIS1	1
GO:0032025	response to cobalt ion	1/38	10/18866	0.0199651851315331	0.239571677350575	0.204470848378869	ATF1	1
GO:0042541	hemoglobin biosynthetic process	1/38	10/18866	0.0199651851315331	0.239571677350575	0.204470848378869	EPO	1
GO:0051541	elastin metabolic process	1/38	10/18866	0.0199651851315331	0.239571677350575	0.204470848378869	CELA1	1
GO:0021510	spinal cord development	2/38	109/18866	0.0203091669548785	0.239571677350575	0.204470848378869	ACTL6B/MPST	2
GO:0032908	regulation of transforming growth factor beta1 production	1/38	11/18866	0.0219402234729097	0.239571677350575	0.204470848378869	CX3CL1	1
GO:0051561	positive regulation of mitochondrial calcium ion concentration	1/38	11/18866	0.0219402234729097	0.239571677350575	0.204470848378869	FIS1	1
GO:0098883	synapse pruning	1/38	11/18866	0.0219402234729097	0.239571677350575	0.204470848378869	CX3CL1	1
GO:0106049	regulation of cellular response to osmotic stress	1/38	11/18866	0.0219402234729097	0.239571677350575	0.204470848378869	EPO	1
GO:0072676	lymphocyte migration	2/38	117/18866	0.0231805021801139	0.239571677350575	0.204470848378869	CCL22/CX3CL1	2
GO:0070372	regulation of ERK1 and ERK2 cascade	3/38	306/18866	0.0234603829440933	0.239571677350575	0.204470848378869	EPO/CCL22/CX3CL1	3
GO:0002551	mast cell chemotaxis	1/38	12/18866	0.0239113861092415	0.239571677350575	0.204470848378869	RAC2	1
GO:0032905	transforming growth factor beta1 production	1/38	12/18866	0.0239113861092415	0.239571677350575	0.204470848378869	CX3CL1	1
GO:0038110	interleukin-2-mediated signaling pathway	1/38	12/18866	0.0239113861092415	0.239571677350575	0.204470848378869	IL2RB	1
GO:0051013	microtubule severing	1/38	12/18866	0.0239113861092415	0.239571677350575	0.204470848378869	KATNB1	1
GO:0061517	macrophage proliferation	1/38	12/18866	0.0239113861092415	0.239571677350575	0.204470848378869	CX3CL1	1
GO:2001223	negative regulation of neuron migration	1/38	12/18866	0.0239113861092415	0.239571677350575	0.204470848378869	CX3CL1	1
GO:0010822	positive regulation of mitochondrion organization	2/38	119/18866	0.0239231268982394	0.239571677350575	0.204470848378869	FIS1/RAC2	2
GO:0070661	leukocyte proliferation	3/38	313/18866	0.0248737132721361	0.239571677350575	0.204470848378869	EPO/CX3CL1/RAC2	3
GO:0009063	cellular amino acid catabolic process	2/38	124/18866	0.0258221244514516	0.239571677350575	0.204470848378869	MPST/TST	2
GO:0016322	neuron remodeling	1/38	13/18866	0.0258786804408342	0.239571677350575	0.204470848378869	CX3CL1	1
GO:0035723	interleukin-15-mediated signaling pathway	1/38	13/18866	0.0258786804408342	0.239571677350575	0.204470848378869	IL2RB	1
GO:0061469	regulation of type B pancreatic cell proliferation	1/38	13/18866	0.0258786804408342	0.239571677350575	0.204470848378869	NR4A1	1
GO:0071350	cellular response to interleukin-15	1/38	13/18866	0.0258786804408342	0.239571677350575	0.204470848378869	IL2RB	1
GO:0071352	cellular response to interleukin-2	1/38	13/18866	0.0258786804408342	0.239571677350575	0.204470848378869	IL2RB	1
GO:0097531	mast cell migration	1/38	13/18866	0.0258786804408342	0.239571677350575	0.204470848378869	RAC2	1
GO:1903977	positive regulation of glial cell migration	1/38	13/18866	0.0258786804408342	0.239571677350575	0.204470848378869	CX3CL1	1
GO:1901214	regulation of neuron death	3/38	321/18866	0.0265446056144162	0.239571677350575	0.204470848378869	FIS1/EPO/CX3CL1	3
GO:0007204	positive regulation of cytosolic calcium ion concentration	3/38	322/18866	0.0267576398238807	0.239571677350575	0.204470848378869	FIS1/EPO/CX3CL1	3
GO:0070371	ERK1 and ERK2 cascade	3/38	325/18866	0.0274023030684693	0.239571677350575	0.204470848378869	EPO/CCL22/CX3CL1	3
GO:0047484	regulation of response to osmotic stress	1/38	14/18866	0.0278421138542561	0.239571677350575	0.204470848378869	EPO	1
GO:0070486	leukocyte aggregation	1/38	14/18866	0.0278421138542561	0.239571677350575	0.204470848378869	RAC2	1
GO:0070669	response to interleukin-2	1/38	14/18866	0.0278421138542561	0.239571677350575	0.204470848378869	IL2RB	1
