ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006735	NADH regeneration	1/1	27/18866	0.00143114597688976	0.00953037209795453	NA	ADPGK	1
GO:0061621	canonical glycolysis	1/1	27/18866	0.00143114597688976	0.00953037209795453	NA	ADPGK	1
GO:0061718	glucose catabolic process to pyruvate	1/1	27/18866	0.00143114597688976	0.00953037209795453	NA	ADPGK	1
GO:0061620	glycolytic process through glucose-6-phosphate	1/1	28/18866	0.00148415138344093	0.00953037209795453	NA	ADPGK	1
GO:0061615	glycolytic process through fructose-6-phosphate	1/1	29/18866	0.00153715678999267	0.00953037209795453	NA	ADPGK	1
GO:0006007	glucose catabolic process	1/1	36/18866	0.0019081946358529	0.00962426738956006	NA	ADPGK	1
GO:0006734	NADH metabolic process	1/1	41/18866	0.00217322166861034	0.00962426738956006	NA	ADPGK	1
GO:0019674	NAD metabolic process	1/1	50/18866	0.00265027032757348	0.0102241539748165	NA	ADPGK	1
GO:0019320	hexose catabolic process	1/1	56/18866	0.0029683027668822	0.0102241539748165	NA	ADPGK	1
GO:0046365	monosaccharide catabolic process	1/1	66/18866	0.00349835683239696	0.0108449061804306	NA	ADPGK	1
GO:0006096	glycolytic process	1/1	115/18866	0.00609562175341893	0.0126889053794598	NA	ADPGK	1
GO:0006757	ATP generation from ADP	1/1	116/18866	0.00614862715997044	0.0126889053794598	NA	ADPGK	1
GO:0046031	ADP metabolic process	1/1	124/18866	0.00657267041238208	0.0126889053794598	NA	ADPGK	1
GO:0006165	nucleoside diphosphate phosphorylation	1/1	133/18866	0.00704971907134544	0.0126889053794598	NA	ADPGK	1
GO:0046939	nucleotide phosphorylation	1/1	135/18866	0.00715572988444801	0.0126889053794598	NA	ADPGK	1
GO:0009135	purine nucleoside diphosphate metabolic process	1/1	136/18866	0.00720873529099975	0.0126889053794598	NA	ADPGK	1
GO:0009179	purine ribonucleoside diphosphate metabolic process	1/1	136/18866	0.00720873529099975	0.0126889053794598	NA	ADPGK	1
GO:0009185	ribonucleoside diphosphate metabolic process	1/1	139/18866	0.00736775151065405	0.0126889053794598	NA	ADPGK	1
GO:0006090	pyruvate metabolic process	1/1	152/18866	0.00805682179582323	0.01273454892399	NA	ADPGK	1
GO:0009132	nucleoside diphosphate metabolic process	1/1	155/18866	0.00821583801547743	0.01273454892399	NA	ADPGK	1
GO:0016052	carbohydrate catabolic process	1/1	200/18866	0.0106010813102936	0.0156492152675762	NA	ADPGK	1
GO:0006006	glucose metabolic process	1/1	214/18866	0.0113431570020142	0.015983539411929	NA	ADPGK	1
GO:0019318	hexose metabolic process	1/1	254/18866	0.0134633732640731	0.0181462857037507	NA	ADPGK	1
GO:0005996	monosaccharide metabolic process	1/1	296/18866	0.0156896003392346	0.0202657337715114	NA	ADPGK	1
GO:0046034	ATP metabolic process	1/1	311/18866	0.0164846814375067	0.0204410049825083	NA	ADPGK	1
GO:0009150	purine ribonucleotide metabolic process	1/1	401/18866	0.0212551680271386	0.0247570585533059	NA	ADPGK	1
GO:0009259	ribonucleotide metabolic process	1/1	416/18866	0.0220502491254108	0.0247570585533059	NA	ADPGK	1
GO:0019693	ribose phosphate metabolic process	1/1	427/18866	0.0226333085974769	0.0247570585533059	NA	ADPGK	1
GO:0006163	purine nucleotide metabolic process	1/1	442/18866	0.0234283896957489	0.0247570585533059	NA	ADPGK	1
GO:0044282	small molecule catabolic process	1/1	452/18866	0.0239584437612638	0.0247570585533059	NA	ADPGK	1
GO:0072521	purine-containing compound metabolic process	1/1	472/18866	0.0250185518922931	0.0250185518922931	NA	ADPGK	1
