ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006953	acute-phase response	2/14	47/18866	0.000542341794733763	0.151174741879493	0.116348463983182	TFR2/EPO	2
GO:0006970	response to osmotic stress	2/14	85/18866	0.0017624685255264	0.151174741879493	0.116348463983182	TSC22D4/EPO	2
GO:0043044	ATP-dependent chromatin remodeling	2/14	90/18866	0.0019730389573974	0.151174741879493	0.116348463983182	ACTL6B/ZNHIT1	2
GO:0002526	acute inflammatory response	2/14	111/18866	0.00298095534727456	0.151174741879493	0.116348463983182	TFR2/EPO	2
GO:0014065	phosphatidylinositol 3-kinase signaling	2/14	154/18866	0.0056486545311897	0.151174741879493	0.116348463983182	NYAP1/EPO	2
GO:2001242	regulation of intrinsic apoptotic signaling pathway	2/14	166/18866	0.00653309857169263	0.151174741879493	0.116348463983182	FIS1/EPO	2
GO:0016559	peroxisome fission	1/14	10/18866	0.00739778428960325	0.151174741879493	0.116348463983182	FIS1	1
GO:0042541	hemoglobin biosynthetic process	1/14	10/18866	0.00739778428960325	0.151174741879493	0.116348463983182	EPO	1
GO:0048469	cell maturation	2/14	179/18866	0.00755807460328996	0.151174741879493	0.116348463983182	ACTL6B/EPO	2
GO:0051561	positive regulation of mitochondrial calcium ion concentration	1/14	11/18866	0.00813476090288057	0.151174741879493	0.116348463983182	FIS1	1
GO:0071281	cellular response to iron ion	1/14	11/18866	0.00813476090288057	0.151174741879493	0.116348463983182	TFR2	1
GO:0106049	regulation of cellular response to osmotic stress	1/14	11/18866	0.00813476090288057	0.151174741879493	0.116348463983182	EPO	1
GO:0048015	phosphatidylinositol-mediated signaling	2/14	192/18866	0.00865135584556529	0.151174741879493	0.116348463983182	NYAP1/EPO	2
GO:0048017	inositol lipid-mediated signaling	2/14	196/18866	0.00900130374502634	0.151174741879493	0.116348463983182	NYAP1/EPO	2
GO:0010952	positive regulation of peptidase activity	2/14	201/18866	0.00944761734542159	0.151174741879493	0.116348463983182	PCOLCE/FIS1	2
GO:0047484	regulation of response to osmotic stress	1/14	14/18866	0.0103426432864335	0.151174741879493	0.116348463983182	EPO	1
GO:0006338	chromatin remodeling	2/14	218/18866	0.011037993445537	0.151174741879493	0.116348463983182	ACTL6B/ZNHIT1	2
