ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006534	cysteine metabolic process	2/5	12/18866	3.70490233742705e-06	0.000324075825043807	0.000132318040209274	MPST/TST	2
GO:0050667	homocysteine metabolic process	2/5	14/18866	5.10719101143638e-06	0.000324075825043807	0.000132318040209274	MPST/TST	2
GO:0000098	sulfur amino acid catabolic process	2/5	15/18866	5.89228772806921e-06	0.000324075825043807	0.000132318040209274	MPST/TST	2
GO:0000096	sulfur amino acid metabolic process	2/5	40/18866	4.3655333027365e-05	0.00144062598990304	0.000588198171316075	MPST/TST	2
GO:0009069	serine family amino acid metabolic process	2/5	40/18866	4.3655333027365e-05	0.00144062598990304	0.000588198171316075	MPST/TST	2
GO:0044273	sulfur compound catabolic process	2/5	56/18866	8.60450277670844e-05	0.00236623826359482	0.000966119610016386	MPST/TST	2
GO:0120034	positive regulation of plasma membrane bounded cell projection assembly	2/5	104/18866	0.000297735633818735	0.00701805422572732	0.00286542564878181	KCTD17/RAC2	2
GO:0009063	cellular amino acid catabolic process	2/5	124/18866	0.000423022413132775	0.00872483727086349	0.00356229400532863	MPST/TST	2
GO:0120032	regulation of plasma membrane bounded cell projection assembly	2/5	183/18866	0.000917976116195862	0.0154771097232591	0.00631920269402603	KCTD17/RAC2	2
GO:0060491	regulation of cell projection assembly	2/5	185/18866	0.000938006649894488	0.0154771097232591	0.00631920269402603	KCTD17/RAC2	2
GO:1901605	alpha-amino acid metabolic process	2/5	202/18866	0.00111680414952182	0.0167520622428273	0.00683975747075566	MPST/TST	2
GO:0006839	mitochondrial transport	2/5	271/18866	0.00199786267667555	0.0244741953964255	0.00999265394176226	RAC2/TST	2
GO:0016054	organic acid catabolic process	2/5	282/18866	0.00216111460449774	0.0244741953964255	0.00999265394176226	MPST/TST	2
GO:0046395	carboxylic acid catabolic process	2/5	282/18866	0.00216111460449774	0.0244741953964255	0.00999265394176226	MPST/TST	2
GO:0006520	cellular amino acid metabolic process	2/5	340/18866	0.00312398066789378	0.0244741953964255	0.00999265394176226	MPST/TST	2
GO:0002551	mast cell chemotaxis	1/5	12/18866	0.00317661752559817	0.0244741953964255	0.00999265394176226	RAC2	1
GO:0038110	interleukin-2-mediated signaling pathway	1/5	12/18866	0.00317661752559817	0.0244741953964255	0.00999265394176226	IL2RB	1
GO:0035723	interleukin-15-mediated signaling pathway	1/5	13/18866	0.0034409708146812	0.0244741953964255	0.00999265394176226	IL2RB	1
GO:0071350	cellular response to interleukin-15	1/5	13/18866	0.0034409708146812	0.0244741953964255	0.00999265394176226	IL2RB	1
GO:0071352	cellular response to interleukin-2	1/5	13/18866	0.0034409708146812	0.0244741953964255	0.00999265394176226	IL2RB	1
