ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0055076	transition metal ion homeostasis	22/336	138/18866	4.60234385056314e-15	8.98770637635683e-12	8.76562383675256e-12	SLC11A2/NEO1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/HAMP/CYBRD1/SLC40A1/TMPRSS6/TFRC/BMP6/HFE/TFR2/SLC39A14/SLC25A37	22
GO:0010273	detoxification of copper ion	10/336	15/18866	7.7995716312035e-15	8.98770637635683e-12	8.76562383675256e-12	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:1990169	stress response to copper ion	10/336	15/18866	7.7995716312035e-15	8.98770637635683e-12	8.76562383675256e-12	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046916	cellular transition metal ion homeostasis	20/336	116/18866	1.75246224147461e-14	1.51456549219443e-11	1.47714119985346e-11	SLC11A2/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/HAMP/CYBRD1/SLC40A1/TMPRSS6/TFRC/BMP6/HFE/TFR2/SLC39A14	20
GO:0061687	detoxification of inorganic compound	10/336	17/18866	4.89369226976976e-14	2.81958236276568e-11	2.74991163860922e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0097501	stress response to metal ion	10/336	17/18866	4.89369226976976e-14	2.81958236276568e-11	2.74991163860922e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071280	cellular response to copper ion	11/336	28/18866	7.96287885833435e-13	3.93252460189455e-10	3.83535353131502e-10	CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	11
GO:0071294	cellular response to zinc ion	10/336	24/18866	4.41750480874064e-12	1.90891426547705e-09	1.86174577663109e-09	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046688	response to copper ion	12/336	43/18866	7.83081795131338e-12	3.00790418418782e-09	2.93358010503588e-09	CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/LOXL2	12
GO:0006882	cellular zinc ion homeostasis	11/336	37/18866	2.74758626843594e-11	9.49840572998303e-09	9.26370401873716e-09	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/SLC39A14	11
GO:0055069	zinc ion homeostasis	11/336	39/18866	5.21757596013087e-11	1.63974182674295e-08	1.59922447849753e-08	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/SLC39A14	11
GO:0071276	cellular response to cadmium ion	10/336	38/18866	8.53321715497629e-10	2.45827764206275e-07	2.39753460942009e-07	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0010043	response to zinc ion	11/336	54/18866	2.3479699510116e-09	6.24379393895931e-07	6.08951235068029e-07	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/HAMP	11
