ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031664	regulation of lipopolysaccharide-mediated signaling pathway	2/12	26/18866	0.000119518905857278	0.0501979404600569	0.0288103467803334	LY86/BMP6	2
GO:0031663	lipopolysaccharide-mediated signaling pathway	2/12	59/18866	0.000621925506768719	0.0899611125195529	0.0516318164585905	LY86/BMP6	2
GO:0034332	adherens junction organization	2/12	67/18866	0.000801400061835476	0.0899611125195529	0.0516318164585905	BMP6/DSP	2
GO:0002934	desmosome organization	1/12	10/18866	0.0063439826105709	0.0899611125195529	0.0516318164585905	DSP	1
GO:0032341	aldosterone metabolic process	1/12	10/18866	0.0063439826105709	0.0899611125195529	0.0516318164585905	BMP6	1
GO:0032342	aldosterone biosynthetic process	1/12	10/18866	0.0063439826105709	0.0899611125195529	0.0516318164585905	BMP6	1
GO:0035646	endosome to melanosome transport	1/12	10/18866	0.0063439826105709	0.0899611125195529	0.0516318164585905	BLOC1S5	1
GO:0043485	endosome to pigment granule transport	1/12	10/18866	0.0063439826105709	0.0899611125195529	0.0516318164585905	BLOC1S5	1
GO:0048757	pigment granule maturation	1/12	10/18866	0.0063439826105709	0.0899611125195529	0.0516318164585905	BLOC1S5	1
GO:0072530	purine-containing compound transmembrane transport	1/12	10/18866	0.0063439826105709	0.0899611125195529	0.0516318164585905	SLC35B3	1
GO:0090070	positive regulation of ribosome biogenesis	1/12	10/18866	0.0063439826105709	0.0899611125195529	0.0516318164585905	RIOK1	1
GO:2000048	negative regulation of cell-cell adhesion mediated by cadherin	1/12	10/18866	0.0063439826105709	0.0899611125195529	0.0516318164585905	BMP6	1
GO:2000234	positive regulation of rRNA processing	1/12	10/18866	0.0063439826105709	0.0899611125195529	0.0516318164585905	RIOK1	1
GO:0071281	cellular response to iron ion	1/12	11/18866	0.00697634749223608	0.0899611125195529	0.0516318164585905	BMP6	1
GO:0090030	regulation of steroid hormone biosynthetic process	1/12	11/18866	0.00697634749223608	0.0899611125195529	0.0516318164585905	BMP6	1
GO:2000392	regulation of lamellipodium morphogenesis	1/12	11/18866	0.00697634749223608	0.0899611125195529	0.0516318164585905	RREB1	1
GO:0071222	cellular response to lipopolysaccharide	2/12	208/18866	0.00742393524676019	0.0899611125195529	0.0516318164585905	LY86/BMP6	2
GO:0045216	cell-cell junction organization	2/12	210/18866	0.00756239558940118	0.0899611125195529	0.0516318164585905	BMP6/DSP	2
GO:0043476	pigment accumulation	1/12	12/18866	0.00760834345246353	0.0899611125195529	0.0516318164585905	BLOC1S5	1
GO:0043482	cellular pigment accumulation	1/12	12/18866	0.00760834345246353	0.0899611125195529	0.0516318164585905	BLOC1S5	1
GO:0050679	positive regulation of epithelial cell proliferation	2/12	211/18866	0.00763206780665852	0.0899611125195529	0.0516318164585905	RREB1/BMP6	2
GO:0006705	mineralocorticoid biosynthetic process	1/12	13/18866	0.00823997068692706	0.0899611125195529	0.0516318164585905	BMP6	1
GO:0008212	mineralocorticoid metabolic process	1/12	13/18866	0.00823997068692706	0.0899611125195529	0.0516318164585905	BMP6	1
GO:0032352	positive regulation of hormone metabolic process	1/12	13/18866	0.00823997068692706	0.0899611125195529	0.0516318164585905	BMP6	1
GO:0034309	primary alcohol biosynthetic process	1/12	13/18866	0.00823997068692706	0.0899611125195529	0.0516318164585905	BMP6	1
GO:0071219	cellular response to molecule of bacterial origin	2/12	222/18866	0.00841780836304331	0.0899611125195529	0.0516318164585905	LY86/BMP6	2
GO:0086069	bundle of His cell to Purkinje myocyte communication	1/12	14/18866	0.00887122939120455	0.0899611125195529	0.0516318164585905	DSP	1
GO:2000232	regulation of rRNA processing	1/12	14/18866	0.00887122939120455	0.0899611125195529	0.0516318164585905	RIOK1	1
GO:0043517	positive regulation of DNA damage response, signal transduction by p53 class mediator	1/12	15/18866	0.00950211976078408	0.0899611125195529	0.0516318164585905	EEF1E1	1
GO:0046184	aldehyde biosynthetic process	1/12	15/18866	0.00950211976078408	0.0899611125195529	0.0516318164585905	BMP6	1
GO:0048070	regulation of developmental pigmentation	1/12	15/18866	0.00950211976078408	0.0899611125195529	0.0516318164585905	BLOC1S5	1
GO:0060391	positive regulation of SMAD protein signal transduction	1/12	15/18866	0.00950211976078408	0.0899611125195529	0.0516318164585905	BMP6	1
GO:2000846	regulation of corticosteroid hormone secretion	1/12	15/18866	0.00950211976078408	0.0899611125195529	0.0516318164585905	BMP6	1
GO:0035930	corticosteroid hormone secretion	1/12	16/18866	0.010132641991057	0.0899611125195529	0.0516318164585905	BMP6	1
GO:0090069	regulation of ribosome biogenesis	1/12	16/18866	0.010132641991057	0.0899611125195529	0.0516318164585905	RIOK1	1
GO:0090136	epithelial cell-cell adhesion	1/12	16/18866	0.010132641991057	0.0899611125195529	0.0516318164585905	DSP	1
GO:0071216	cellular response to biotic stimulus	2/12	246/18866	0.0102535758229582	0.0899611125195529	0.0516318164585905	LY86/BMP6	2
GO:0002833	positive regulation of response to biotic stimulus	2/12	251/18866	0.0106566663277138	0.0899611125195529	0.0516318164585905	LY86/BMP6	2
GO:0010566	regulation of ketone biosynthetic process	1/12	17/18866	0.0107627962773222	0.0899611125195529	0.0516318164585905	BMP6	1
GO:0033599	regulation of mammary gland epithelial cell proliferation	1/12	17/18866	0.0107627962773222	0.0899611125195529	0.0516318164585905	RREB1	1
GO:0043117	positive regulation of vascular permeability	1/12	17/18866	0.0107627962773222	0.0899611125195529	0.0516318164585905	BMP6	1
GO:0072673	lamellipodium morphogenesis	1/12	17/18866	0.0107627962773222	0.0899611125195529	0.0516318164585905	RREB1	1
GO:0090336	positive regulation of brown fat cell differentiation	1/12	17/18866	0.0107627962773222	0.0899611125195529	0.0516318164585905	RREB1	1
GO:0035313	wound healing, spreading of epidermal cells	1/12	18/18866	0.0113925828147873	0.0899611125195529	0.0516318164585905	RREB1	1
GO:0046885	regulation of hormone biosynthetic process	1/12	18/18866	0.0113925828147873	0.0899611125195529	0.0516318164585905	BMP6	1
GO:2000831	regulation of steroid hormone secretion	1/12	18/18866	0.0113925828147873	0.0899611125195529	0.0516318164585905	BMP6	1
