ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010273	detoxification of copper ion	10/48	15/18866	1.23936499127785e-23	7.07057727524015e-21	6.2424857718574e-21	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:1990169	stress response to copper ion	10/48	15/18866	1.23936499127785e-23	7.07057727524015e-21	6.2424857718574e-21	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0061687	detoxification of inorganic compound	10/48	17/18866	7.99697564431385e-23	2.28113730254053e-20	2.0139751820022e-20	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0097501	stress response to metal ion	10/48	17/18866	7.99697564431385e-23	2.28113730254053e-20	2.0139751820022e-20	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071294	cellular response to zinc ion	10/48	24/18866	7.96175025785077e-21	1.81687140884154e-18	1.6040831572133e-18	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071280	cellular response to copper ion	10/48	28/18866	5.28839449127295e-20	1.00567635242374e-17	8.87893601429511e-18	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0006882	cellular zinc ion homeostasis	10/48	37/18866	1.3807192994438e-18	2.25057245809339e-16	1.98699002942513e-16	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071276	cellular response to cadmium ion	10/48	38/18866	1.87039726302176e-18	2.66765409638478e-16	2.35522392198924e-16	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0055069	zinc ion homeostasis	10/48	39/18866	2.51074923249114e-18	3.18307208252488e-16	2.81027721110412e-16	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046688	response to copper ion	10/48	43/18866	7.51673579909956e-18	8.5765955467726e-16	7.57212227340872e-16	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0010043	response to zinc ion	10/48	54/18866	9.19423601114898e-17	9.53693026247363e-15	8.41998455757854e-15	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046686	response to cadmium ion	10/48	64/18866	5.71372241757698e-16	5.43279773204611e-14	4.79651960843962e-14	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046916	cellular transition metal ion homeostasis	10/48	116/18866	2.79644119328829e-13	2.45441492426303e-11	2.16695888419182e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071248	cellular response to metal ion	11/48	193/18866	1.56706931269187e-12	1.16060226601512e-10	1.02467490989111e-10	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2	11
GO:0055076	transition metal ion homeostasis	10/48	138/18866	1.62748784016143e-12	1.16060226601512e-10	1.02467490989111e-10	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0098754	detoxification	10/48	138/18866	1.62748784016143e-12	1.16060226601512e-10	1.02467490989111e-10	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071241	cellular response to inorganic substance	11/48	221/18866	6.86212021815403e-12	4.60569362877279e-10	4.06628424072657e-10	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2	11
GO:0009636	response to toxic substance	11/48	250/18866	2.60344617229412e-11	1.65029560143755e-09	1.45701636659969e-09	CES1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	11
GO:0045926	negative regulation of growth	10/48	254/18866	6.84198116004505e-10	4.10878973874285e-08	3.62757671477181e-08	BBS2/MT2A/MT1E/MT1M/MT1A/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0010038	response to metal ion	11/48	366/18866	1.49913915647323e-09	8.55258888767978e-08	7.55092722497306e-08	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2	11
GO:0072503	cellular divalent inorganic cation homeostasis	12/48	492/18866	2.57104774234049e-09	1.396935940005e-07	1.23332966888213e-07	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/HERPUD1/CX3CL1	12
GO:0003356	regulation of cilium beat frequency	2/48	12/18866	0.000411609762025582	0.0204194234117908	0.0180279424374591	BBS2/CFAP20	2
GO:2001223	negative regulation of neuron migration	2/48	12/18866	0.000411609762025582	0.0204194234117908	0.0180279424374591	CX3CL1/ADGRG1	2
