ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	2/5	51/18866	7.12764056055568e-05	0.00257400643265152	0.00092941480738335	TFRC/RNF168	2
GO:0002208	somatic diversification of immunoglobulins involved in immune response	2/5	51/18866	7.12764056055568e-05	0.00257400643265152	0.00092941480738335	TFRC/RNF168	2
GO:0045190	isotype switching	2/5	51/18866	7.12764056055568e-05	0.00257400643265152	0.00092941480738335	TFRC/RNF168	2
GO:0016447	somatic recombination of immunoglobulin gene segments	2/5	56/18866	8.60450277670844e-05	0.00257400643265152	0.00092941480738335	TFRC/RNF168	2
GO:0002381	immunoglobulin production involved in immunoglobulin mediated immune response	2/5	61/18866	0.000102194040367158	0.00257400643265152	0.00092941480738335	TFRC/RNF168	2
GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	2/5	66/18866	0.000119721229425652	0.00257400643265152	0.00092941480738335	TFRC/RNF168	2
GO:0016444	somatic cell DNA recombination	2/5	66/18866	0.000119721229425652	0.00257400643265152	0.00092941480738335	TFRC/RNF168	2
GO:0016445	somatic diversification of immunoglobulins	2/5	66/18866	0.000119721229425652	0.00257400643265152	0.00092941480738335	TFRC/RNF168	2
GO:0002200	somatic diversification of immune receptors	2/5	77/18866	0.000163121327327407	0.00302909946451219	0.00109373848473818	TFRC/RNF168	2
GO:0002312	B cell activation involved in immune response	2/5	80/18866	0.000176110433983267	0.00302909946451219	0.00109373848473818	TFRC/RNF168	2
GO:0002285	lymphocyte activation involved in immune response	2/5	187/18866	0.000958248997041022	0.0149835297719142	0.00541020964836558	TFRC/RNF168	2
GO:0051054	positive regulation of DNA metabolic process	2/5	200/18866	0.00109497762330025	0.0156946792673036	0.00566698945392236	TFRC/RNF168	2
GO:0002377	immunoglobulin production	2/5	210/18866	0.00120621521933943	0.0159591552097216	0.00576248566324099	TFRC/RNF168	2
GO:0016064	immunoglobulin mediated immune response	2/5	227/18866	0.00140736330959758	0.0165627887761759	0.00598044392775016	TFRC/RNF168	2
GO:0019724	B cell mediated immunity	2/5	230/18866	0.00144442925373627	0.0165627887761759	0.00598044392775016	TFRC/RNF168	2
GO:0006310	DNA recombination	2/5	299/18866	0.0024256102887642	0.0256867680127802	0.00927490399482271	TFRC/RNF168	2
GO:0002440	production of molecular mediator of immune response	2/5	306/18866	0.00253880846637944	0.0256867680127802	0.00927490399482271	TFRC/RNF168	2
GO:0042113	B cell activation	2/5	328/18866	0.00291077581169394	0.0275844324637548	0.00996010719315504	TFRC/RNF168	2
GO:0010635	regulation of mitochondrial fusion	1/5	13/18866	0.0034409708146812	0.0275844324637548	0.00996010719315504	TFRC	1
GO:0034244	negative regulation of transcription elongation from RNA polymerase II promoter	1/5	13/18866	0.0034409708146812	0.0275844324637548	0.00996010719315504	RNF168	1
GO:0051052	regulation of DNA metabolic process	2/5	365/18866	0.00359138588883725	0.0275844324637548	0.00996010719315504	TFRC/RNF168	2
GO:0002449	lymphocyte mediated immunity	2/5	366/18866	0.0036107322229308	0.0275844324637548	0.00996010719315504	TFRC/RNF168	2
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	2/5	370/18866	0.00368861596899047	0.0275844324637548	0.00996010719315504	TFRC/RNF168	2
GO:0032785	negative regulation of DNA-templated transcription, elongation	1/5	15/18866	0.00396950913998573	0.0284481488365644	0.0102719754061034	RNF168	1
GO:0035518	histone H2A monoubiquitination	1/5	17/18866	0.00449782318763969	0.0309450235309611	0.0111735397082418	RNF168	1
GO:0045780	positive regulation of bone resorption	1/5	19/18866	0.00502591302902733	0.0320169274441741	0.011560579676905	TFRC	1
GO:0046852	positive regulation of bone remodeling	1/5	19/18866	0.00502591302902733	0.0320169274441741	0.011560579676905	TFRC	1
GO:0018230	peptidyl-L-cysteine S-palmitoylation	1/5	23/18866	0.0060814203784646	0.0360691139688245	0.0130237314820113	ZDHHC19	1
GO:0018231	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine	1/5	23/18866	0.0060814203784646	0.0360691139688245	0.0130237314820113	ZDHHC19	1
GO:0033522	histone H2A ubiquitination	1/5	26/18866	0.00687246287979126	0.0376581794848552	0.0135975066683382	RNF168	1
GO:0008053	mitochondrial fusion	1/5	27/18866	0.00713603175906941	0.0376581794848552	0.0135975066683382	TFRC	1
GO:0034243	regulation of transcription elongation from RNA polymerase II promoter	1/5	27/18866	0.00713603175906941	0.0376581794848552	0.0135975066683382	RNF168	1
GO:0045830	positive regulation of isotype switching	1/5	28/18866	0.00739954467595527	0.0376581794848552	0.0135975066683382	TFRC	1
GO:0010390	histone monoubiquitination	1/5	29/18866	0.00766300163936007	0.0376581794848552	0.0135975066683382	RNF168	1
