ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0055072	iron ion homeostasis	10/49	87/18866	1.81085439850099e-14	1.96658787677207e-11	1.6602675590467e-11	CYBRD1/SLC40A1/TFRC/BMP6/HFE/TFR2/SLC39A14/SLC11A2/NEO1/TMPRSS6	10
GO:0006879	cellular iron ion homeostasis	9/49	70/18866	1.42770827325215e-13	7.75245592375919e-11	6.54491529475066e-11	CYBRD1/SLC40A1/TFRC/BMP6/HFE/TFR2/SLC39A14/SLC11A2/TMPRSS6	9
GO:0055076	transition metal ion homeostasis	10/49	138/18866	2.03217564591923e-12	7.3564758382276e-10	6.21061399156367e-10	CYBRD1/SLC40A1/TFRC/BMP6/HFE/TFR2/SLC39A14/SLC11A2/NEO1/TMPRSS6	10
GO:0046916	cellular transition metal ion homeostasis	9/49	116/18866	1.53248122711882e-11	4.16068653162758e-09	3.51260828636971e-09	CYBRD1/SLC40A1/TFRC/BMP6/HFE/TFR2/SLC39A14/SLC11A2/TMPRSS6	9
GO:0010039	response to iron ion	6/49	33/18866	2.34776962560737e-10	5.0993556268192e-08	4.30506809242951e-08	CYBRD1/SLC40A1/BMP6/HFE/TFR2/SLC11A2	6
GO:0071281	cellular response to iron ion	4/49	11/18866	1.30743038047372e-08	2.36644898865743e-06	1.99784537086423e-06	SLC40A1/BMP6/HFE/TFR2	4
GO:0006826	iron ion transport	6/49	79/18866	5.3849602182793e-08	8.35438113864474e-06	7.05308323326507e-06	SLC40A1/TFRC/HFE/TFR2/SLC39A14/SLC11A2	6
GO:0034755	iron ion transmembrane transport	4/49	18/18866	1.19624554446734e-07	1.62390332661441e-05	1.37096035425139e-05	SLC40A1/HFE/SLC39A14/SLC11A2	4
GO:0000041	transition metal ion transport	6/49	129/18866	9.99246798524042e-07	0.000120575780355234	0.000101794615381806	SLC40A1/TFRC/HFE/TFR2/SLC39A14/SLC11A2	6
GO:0010038	response to metal ion	7/49	366/18866	4.1602559839712e-05	0.00451803799859273	0.00381429785477781	CYBRD1/SLC40A1/BMP6/HFE/TFR2/SLC11A2/ATF1	7
GO:0033572	transferrin transport	3/49	36/18866	0.000110677770081644	0.0109269143916969	0.00922491270249877	TFRC/HFE/TFR2	3
