ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006534	cysteine metabolic process	2/6	12/18866	5.55538952558609e-06	0.000544786222585997	0.000247982348830041	MPST/TST	2
GO:0050667	homocysteine metabolic process	2/6	14/18866	7.65753779746981e-06	0.000544786222585997	0.000247982348830041	MPST/TST	2
GO:0000098	sulfur amino acid catabolic process	2/6	15/18866	8.83437117707023e-06	0.000544786222585997	0.000247982348830041	MPST/TST	2
GO:0000096	sulfur amino acid metabolic process	2/6	40/18866	6.53950932923466e-05	0.00241961845181682	0.00110139104492373	MPST/TST	2
GO:0009069	serine family amino acid metabolic process	2/6	40/18866	6.53950932923466e-05	0.00241961845181682	0.00110139104492373	MPST/TST	2
GO:0044273	sulfur compound catabolic process	2/6	56/18866	0.000128821376904567	0.0039719924545575	0.00180801932497639	MPST/TST	2
GO:0120034	positive regulation of plasma membrane bounded cell projection assembly	2/6	104/18866	0.000444995551422054	0.0117605967161543	0.00535332994191945	KCTD17/RAC2	2
GO:0009063	cellular amino acid catabolic process	2/6	124/18866	0.000631801909289436	0.0146104191523182	0.00665054641357301	MPST/TST	2
GO:0120032	regulation of plasma membrane bounded cell projection assembly	2/6	183/18866	0.00136817644537047	0.0258617331035403	0.0117720548977708	KCTD17/RAC2	2
GO:0060491	regulation of cell projection assembly	2/6	185/18866	0.00139793151911028	0.0258617331035403	0.0117720548977708	KCTD17/RAC2	2
GO:1901605	alpha-amino acid metabolic process	2/6	202/18866	0.00166339588810265	0.0279752944817263	0.0127341312007858	MPST/TST	2
GO:0006839	mitochondrial transport	2/6	271/18866	0.00296840393213703	0.0356914653255842	0.0162464707029686	RAC2/TST	2
GO:0016054	organic acid catabolic process	2/6	282/18866	0.00320971096880192	0.0356914653255842	0.0162464707029686	MPST/TST	2
GO:0046395	carboxylic acid catabolic process	2/6	282/18866	0.00320971096880192	0.0356914653255842	0.0162464707029686	MPST/TST	2
GO:0002551	mast cell chemotaxis	1/6	12/18866	0.00381082995281257	0.0356914653255842	0.0162464707029686	RAC2	1
GO:0038110	interleukin-2-mediated signaling pathway	1/6	12/18866	0.00381082995281257	0.0356914653255842	0.0162464707029686	IL2RB	1
GO:0035723	interleukin-15-mediated signaling pathway	1/6	13/18866	0.00412785207121114	0.0356914653255842	0.0162464707029686	IL2RB	1
GO:0071350	cellular response to interleukin-15	1/6	13/18866	0.00412785207121114	0.0356914653255842	0.0162464707029686	IL2RB	1
