ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010273	detoxification of copper ion	10/47	15/18866	9.81400937969821e-24	5.58417133704828e-21	4.92766576222742e-21	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:1990169	stress response to copper ion	10/47	15/18866	9.81400937969821e-24	5.58417133704828e-21	4.92766576222742e-21	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0061687	detoxification of inorganic compound	10/47	17/18866	6.33308000526482e-23	1.80176126149784e-20	1.58993640132175e-20	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0097501	stress response to metal ion	10/47	17/18866	6.33308000526482e-23	1.80176126149784e-20	1.58993640132175e-20	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071294	cellular response to zinc ion	10/47	24/18866	6.30731632822439e-21	1.43554519630387e-18	1.26677468992128e-18	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071280	cellular response to copper ion	10/47	28/18866	4.19028763081757e-20	7.94757887311732e-18	7.01321824526309e-18	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0006882	cellular zinc ion homeostasis	10/47	37/18866	1.09449617563691e-18	1.77933806839257e-16	1.57014940083851e-16	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071276	cellular response to cadmium ion	10/47	38/18866	1.48273554185588e-18	2.10919130828999e-16	1.86122329859277e-16	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0055069	zinc ion homeostasis	10/47	39/18866	1.99046325729724e-18	2.51683020756029e-16	2.22093795024745e-16	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046688	response to copper ion	10/47	43/18866	5.9602443404352e-18	6.78275805941525e-16	5.98534010607913e-16	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0010043	response to zinc ion	10/47	54/18866	7.29426142026035e-17	7.54624499659662e-15	6.65906736356782e-15	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046686	response to cadmium ion	10/47	64/18866	4.53518242214155e-16	4.30086466366424e-14	3.7952316058974e-14	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046916	cellular transition metal ion homeostasis	10/47	116/18866	2.22522343646596e-13	1.94792636207559e-11	1.7189175371567e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071248	cellular response to metal ion	11/47	193/18866	1.21872700562668e-12	9.22083791676615e-11	8.13678602589484e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2	11
GO:0055076	transition metal ion homeostasis	10/47	138/18866	1.29642712362266e-12	9.22083791676615e-11	8.13678602589484e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0098754	detoxification	10/47	138/18866	1.29642712362266e-12	9.22083791676615e-11	8.13678602589484e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071241	cellular response to inorganic substance	11/47	221/18866	5.34406164244658e-12	3.57737773476718e-10	3.15680173801488e-10	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2	11
GO:0009636	response to toxic substance	11/47	250/18866	2.03038442726832e-11	1.28365415457297e-09	1.13274078573917e-09	CES1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	11
GO:0045926	negative regulation of growth	10/47	254/18866	5.48091582653611e-10	3.2827801108411e-08	2.89683861413598e-08	BBS2/MT2A/MT1E/MT1M/MT1A/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0010038	response to metal ion	11/47	366/18866	1.17582173406783e-09	6.69042566684594e-08	5.90386281210899e-08	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2	11
GO:0072503	cellular divalent inorganic cation homeostasis	12/47	492/18866	1.97452194803225e-09	1.07000284612414e-07	9.44207487931211e-08	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/HERPUD1/CX3CL1	12
GO:0003356	regulation of cilium beat frequency	2/47	12/18866	0.000394598780198585	0.0195240613854778	0.0172287064672517	BBS2/CFAP20	2
GO:2001223	negative regulation of neuron migration	2/47	12/18866	0.000394598780198585	0.0195240613854778	0.0172287064672517	CX3CL1/ADGRG1	2
