ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010273	detoxification of copper ion	10/299	15/18866	2.40976745086085e-15	3.83273513059418e-12	3.79221298845997e-12	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:1990169	stress response to copper ion	10/299	15/18866	2.40976745086085e-15	3.83273513059418e-12	3.79221298845997e-12	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0061687	detoxification of inorganic compound	10/299	17/18866	1.51744164541419e-14	1.20674546851563e-11	1.19398697889169e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0097501	stress response to metal ion	10/299	17/18866	1.51744164541419e-14	1.20674546851563e-11	1.19398697889169e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071280	cellular response to copper ion	11/299	28/18866	2.22939918798626e-13	1.41834376339686e-10	1.40334812043767e-10	CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	11
GO:0071294	cellular response to zinc ion	10/299	24/18866	1.38722044162318e-12	7.35458037467225e-10	7.27682301833916e-10	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046688	response to copper ion	11/299	43/18866	4.83449493192298e-11	2.19693262549243e-08	2.17370524006762e-08	CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	11
GO:0006882	cellular zinc ion homeostasis	10/299	37/18866	2.0535169042097e-10	8.16529659036384e-08	8.07896782050923e-08	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071276	cellular response to cadmium ion	10/299	38/18866	2.74816086030027e-10	9.71322188512795e-08	9.61052745297988e-08	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0055069	zinc ion homeostasis	10/299	39/18866	3.6444125241366e-10	1.15928762392785e-07	1.14703088917562e-07	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
