ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010273	detoxification of copper ion	10/47	15/18866	9.81400937969821e-24	5.58417133704828e-21	4.92766576222742e-21	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:1990169	stress response to copper ion	10/47	15/18866	9.81400937969821e-24	5.58417133704828e-21	4.92766576222742e-21	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0061687	detoxification of inorganic compound	10/47	17/18866	6.33308000526482e-23	1.80176126149784e-20	1.58993640132175e-20	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0097501	stress response to metal ion	10/47	17/18866	6.33308000526482e-23	1.80176126149784e-20	1.58993640132175e-20	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071294	cellular response to zinc ion	10/47	24/18866	6.30731632822439e-21	1.43554519630387e-18	1.26677468992128e-18	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071280	cellular response to copper ion	10/47	28/18866	4.19028763081757e-20	7.94757887311732e-18	7.01321824526309e-18	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0006882	cellular zinc ion homeostasis	10/47	37/18866	1.09449617563691e-18	1.77933806839257e-16	1.57014940083851e-16	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071276	cellular response to cadmium ion	10/47	38/18866	1.48273554185588e-18	2.10919130828999e-16	1.86122329859277e-16	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0055069	zinc ion homeostasis	10/47	39/18866	1.99046325729724e-18	2.51683020756029e-16	2.22093795024745e-16	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046688	response to copper ion	10/47	43/18866	5.9602443404352e-18	6.78275805941525e-16	5.98534010607913e-16	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0010043	response to zinc ion	10/47	54/18866	7.29426142026035e-17	7.54624499659662e-15	6.65906736356782e-15	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046686	response to cadmium ion	10/47	64/18866	4.53518242214155e-16	4.30086466366424e-14	3.7952316058974e-14	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046916	cellular transition metal ion homeostasis	10/47	116/18866	2.22522343646596e-13	1.94792636207559e-11	1.7189175371567e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071248	cellular response to metal ion	11/47	193/18866	1.21872700562668e-12	9.22083791676615e-11	8.13678602589484e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2	11
GO:0055076	transition metal ion homeostasis	10/47	138/18866	1.29642712362266e-12	9.22083791676615e-11	8.13678602589484e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0098754	detoxification	10/47	138/18866	1.29642712362266e-12	9.22083791676615e-11	8.13678602589484e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071241	cellular response to inorganic substance	11/47	221/18866	5.34406164244658e-12	3.57737773476718e-10	3.15680173801488e-10	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2	11
GO:0009636	response to toxic substance	11/47	250/18866	2.03038442726832e-11	1.28365415457297e-09	1.13274078573917e-09	CES1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	11
GO:0045926	negative regulation of growth	10/47	254/18866	5.48091582653611e-10	3.2827801108411e-08	2.89683861413598e-08	BBS2/MT2A/MT1E/MT1M/MT1A/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0010038	response to metal ion	11/47	366/18866	1.17582173406783e-09	6.69042566684594e-08	5.90386281210899e-08	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2	11
GO:0072503	cellular divalent inorganic cation homeostasis	12/47	492/18866	1.97452194803225e-09	1.07000284612414e-07	9.44207487931211e-08	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/HERPUD1/CX3CL1	12
GO:0003356	regulation of cilium beat frequency	2/47	12/18866	0.000394598780198585	0.0195240613854778	0.0172287064672517	BBS2/CFAP20	2
GO:2001223	negative regulation of neuron migration	2/47	12/18866	0.000394598780198585	0.0195240613854778	0.0172287064672517	CX3CL1/ADGRG1	2
GO:0060295	regulation of cilium movement involved in cell motility	2/47	24/18866	0.00161899992374312	0.0736968765287867	0.065032670621092	BBS2/CFAP20	2
GO:1902019	regulation of cilium-dependent cell motility	2/47	24/18866	0.00161899992374312	0.0736968765287867	0.065032670621092	BBS2/CFAP20	2
GO:0007018	microtubule-based movement	5/47	368/18866	0.00215183200861982	0.0941840317618984	0.0831112443815106	BBS2/DRC7/KATNB1/KIFC3/CFAP20	5
GO:0060294	cilium movement involved in cell motility	3/47	111/18866	0.0026625542790084	0.108413164908142	0.0956675231915343	BBS2/DRC7/CFAP20	3
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	4/47	233/18866	0.0026674592420281	0.108413164908142	0.0956675231915343	GNAO1/ADGRG1/ADGRG3/ADGRG5	4
GO:0003352	regulation of cilium movement	2/47	33/18866	0.00305335058755364	0.119817688573656	0.105731268984616	BBS2/CFAP20	2
GO:0021987	cerebral cortex development	3/47	118/18866	0.00316522996567605	0.120067723364645	0.105951908324735	BBS2/ADGRG1/CSNK2A2	3
GO:0001539	cilium or flagellum-dependent cell motility	3/47	122/18866	0.00347689729201983	0.123647159947455	0.109110526861412	BBS2/DRC7/CFAP20	3
GO:0060285	cilium-dependent cell motility	3/47	122/18866	0.00347689729201983	0.123647159947455	0.109110526861412	BBS2/DRC7/CFAP20	3
GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	4/47	263/18866	0.00411356634020377	0.1418557119743	0.125178382410029	GNAO1/ADGRG1/ADGRG3/ADGRG5	4
GO:0090503	RNA phosphodiester bond hydrolysis, exonucleolytic	2/47	44/18866	0.00537618966293766	0.178413426870362	0.157438173373717	USB1/CNOT1	2
GO:2001222	regulation of neuron migration	2/47	45/18866	0.00561735805295211	0.178413426870362	0.157438173373717	CX3CL1/ADGRG1	2
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	3/47	147/18866	0.00584909955277845	0.178413426870362	0.157438173373717	ADGRG1/ADGRG3/ADGRG5	3
GO:0035987	endodermal cell differentiation	2/47	46/18866	0.00586341781705871	0.178413426870362	0.157438173373717	MMP2/MMP15	2
GO:0030574	collagen catabolic process	2/47	47/18866	0.00611434415460819	0.178413426870362	0.157438173373717	MMP2/MMP15	2
GO:0042551	neuron maturation	2/47	47/18866	0.00611434415460819	0.178413426870362	0.157438173373717	IRX5/CX3CL1	2
GO:0060632	regulation of microtubule-based movement	2/47	48/18866	0.00637011235357715	0.18122969645927	0.15992334698191	BBS2/CFAP20	2
GO:0003341	cilium movement	3/47	156/18866	0.00689071585951625	0.191259381661695	0.168773887804326	BBS2/DRC7/CFAP20	3
GO:0006984	ER-nucleus signaling pathway	2/47	51/18866	0.00716622232243586	0.19417050006981	0.171342759288316	AMFR/HERPUD1	2
GO:0019827	stem cell population maintenance	3/47	162/18866	0.00764261711334563	0.196637024349956	0.173519305549771	POLR2C/SETD6/CNOT1	3
GO:0098727	maintenance of cell number	3/47	164/18866	0.00790362238641899	0.196637024349956	0.173519305549771	POLR2C/SETD6/CNOT1	3
GO:2000179	positive regulation of neural precursor cell proliferation	2/47	54/18866	0.00800502786222293	0.196637024349956	0.173519305549771	CX3CL1/ADGRG1	2
GO:0090501	RNA phosphodiester bond hydrolysis	3/47	165/18866	0.00803608372718235	0.196637024349956	0.173519305549771	NUDT21/USB1/CNOT1	3
GO:0001706	endoderm formation	2/47	55/18866	0.00829400454200164	0.196637024349956	0.173519305549771	MMP2/MMP15	2
GO:0008347	glial cell migration	2/47	55/18866	0.00829400454200164	0.196637024349956	0.173519305549771	CX3CL1/ADGRG1	2
GO:0021543	pallium development	3/47	173/18866	0.00914316983117304	0.206442146294945	0.182171683993504	BBS2/ADGRG1/CSNK2A2	3
GO:0048660	regulation of smooth muscle cell proliferation	3/47	173/18866	0.00914316983117304	0.206442146294945	0.182171683993504	MMP2/CX3CL1/NDRG4	3
GO:0015718	monocarboxylic acid transport	3/47	174/18866	0.00928752193034184	0.206442146294945	0.182171683993504	CES1/SLC38A7/GOT2	3
GO:0048659	smooth muscle cell proliferation	3/47	175/18866	0.00943320879379361	0.206442146294945	0.182171683993504	MMP2/CX3CL1/NDRG4	3
GO:0019933	cAMP-mediated signaling	3/47	199/18866	0.0133361404538817	0.286349581821082	0.2526847664946	ADGRG1/ADGRG3/ADGRG5	3
GO:0030433	ubiquitin-dependent ERAD pathway	2/47	78/18866	0.0161756039996638	0.288880178554554	0.254917852503047	AMFR/HERPUD1	2
GO:0007492	endoderm development	2/47	79/18866	0.0165696838527465	0.288880178554554	0.254917852503047	MMP2/MMP15	2
GO:0007601	visual perception	3/47	218/18866	0.0169905892323137	0.288880178554554	0.254917852503047	IRX5/BBS2/KIFC3	3
GO:0022617	extracellular matrix disassembly	2/47	82/18866	0.017776413399832	0.288880178554554	0.254917852503047	MMP2/MMP15	2
GO:1903313	positive regulation of mRNA metabolic process	2/47	82/18866	0.017776413399832	0.288880178554554	0.254917852503047	NUDT21/CNOT1	2
GO:0050953	sensory perception of light stimulus	3/47	222/18866	0.0178245472872432	0.288880178554554	0.254917852503047	IRX5/BBS2/KIFC3	3
GO:0019935	cyclic-nucleotide-mediated signaling	3/47	224/18866	0.0182500013995285	0.288880178554554	0.254917852503047	ADGRG1/ADGRG3/ADGRG5	3
GO:0006457	protein folding	3/47	230/18866	0.0195603332634306	0.288880178554554	0.254917852503047	GNAO1/AMFR/CSNK2A2	3
GO:2001234	negative regulation of apoptotic signaling pathway	3/47	233/18866	0.0202346367929071	0.288880178554554	0.254917852503047	HERPUD1/CX3CL1/CSNK2A2	3
GO:0046470	phosphatidylcholine metabolic process	2/47	88/18866	0.0202981193119579	0.288880178554554	0.254917852503047	LPCAT2/CSNK2A2	2
GO:0071695	anatomical structure maturation	3/47	235/18866	0.0206912696257423	0.288880178554554	0.254917852503047	IRX5/MMP2/CX3CL1	3
GO:2000177	regulation of neural precursor cell proliferation	2/47	91/18866	0.0216119346458335	0.288880178554554	0.254917852503047	CX3CL1/ADGRG1	2
GO:0032886	regulation of microtubule-based process	3/47	240/18866	0.0218577136732049	0.288880178554554	0.254917852503047	BBS2/KATNB1/CFAP20	3
GO:0033002	muscle cell proliferation	3/47	244/18866	0.0228164591457347	0.288880178554554	0.254917852503047	MMP2/CX3CL1/NDRG4	3
GO:0030317	flagellated sperm motility	2/47	96/18866	0.0238781138749761	0.288880178554554	0.254917852503047	BBS2/DRC7	2
GO:0097722	sperm motility	2/47	96/18866	0.0238781138749761	0.288880178554554	0.254917852503047	BBS2/DRC7	2
GO:0010603	regulation of cytoplasmic mRNA processing body assembly	1/47	10/18866	0.0246409150592246	0.288880178554554	0.254917852503047	CNOT1	1
GO:0010887	negative regulation of cholesterol storage	1/47	10/18866	0.0246409150592246	0.288880178554554	0.254917852503047	CES1	1
GO:0015808	L-alanine transport	1/47	10/18866	0.0246409150592246	0.288880178554554	0.254917852503047	SLC38A7	1
