vertex.type	score.quantile	degree	number
elt1	1	1	9708
elt1	1	2	3464
elt1	1	3	1409
elt1	1	4	941
elt1	1	5	613
elt1	1	6	449
elt1	1	7	306
elt1	1	8	273
elt1	1	9	219
elt1	1	10	166
elt1	1	11	116
elt1	1	12	124
elt1	1	13	80
elt1	1	14	71
elt1	1	15	60
elt1	1	16	43
elt1	1	17	35
elt1	1	18	30
elt1	1	19	20
elt1	1	20	17
elt1	1	21	17
elt1	1	22	12
elt1	1	23	7
elt1	1	24	3
elt1	1	25	4
elt1	1	26	3
elt1	1	27	4
elt1	1	28	2
elt1	1	29	2
elt1	1	30	3
elt1	1	31	4
elt1	1	32	0
elt1	1	33	6
elt1	1	34	0
elt1	1	35	1
elt1	1	36	0
elt1	1	37	0
elt1	1	38	0
elt1	1	39	0
elt1	1	40	0
elt1	1	41	0
elt1	1	42	0
elt1	1	43	0
elt1	1	44	0
elt1	1	45	1
elt1	1	46	2
elt2	1	1	2257
elt2	1	2	2697
elt2	1	3	2680
elt2	1	4	2077
elt2	1	5	1477
elt2	1	6	964
elt2	1	7	613
elt2	1	8	379
elt2	1	9	191
elt2	1	10	98
elt2	1	11	50
elt2	1	12	31
elt2	1	13	11
elt2	1	14	5
elt2	1	15	1
elt2	1	16	1
elt2	1	17	0
elt2	1	18	1
elt2	1	19	0
elt2	1	20	0
elt2	1	21	0
elt2	1	22	0
elt2	1	23	0
elt2	1	24	0
elt2	1	25	0
elt2	1	26	0
elt2	1	27	0
elt2	1	28	0
elt2	1	29	0
elt2	1	30	0
elt2	1	31	0
elt2	1	32	0
elt2	1	33	0
elt2	1	34	0
elt2	1	35	0
elt2	1	36	0
elt2	1	37	0
elt2	1	38	0
elt2	1	39	0
elt2	1	40	0
elt2	1	41	0
elt2	1	42	0
elt2	1	43	0
elt2	1	44	0
elt2	1	45	0
elt2	1	46	0
elt2	1	47	0
elt2	1	48	1
elt1	2	1	8594
elt1	2	2	2998
elt1	2	3	1215
elt1	2	4	706
elt1	2	5	498
elt1	2	6	346
elt1	2	7	244
elt1	2	8	193
elt1	2	9	147
elt1	2	10	82
elt1	2	11	89
elt1	2	12	62
elt1	2	13	53
elt1	2	14	43
elt1	2	15	27
elt1	2	16	17
elt1	2	17	10
elt1	2	18	16
elt1	2	19	8
elt1	2	20	10
elt1	2	21	3
elt1	2	22	5
elt1	2	23	5
elt1	2	24	1
elt1	2	25	5
elt1	2	26	0
elt1	2	27	2
elt1	2	28	0
elt1	2	29	3
elt1	2	30	1
elt1	2	31	0
elt1	2	32	1
elt1	2	33	2
elt1	2	34	0
elt1	2	35	0
elt1	2	36	0
elt1	2	37	0
elt1	2	38	0
elt1	2	39	0
elt1	2	40	0
elt1	2	41	0
elt1	2	42	1
elt1	2	43	1
elt2	2	1	3218
elt2	2	2	3242
elt2	2	3	2534
elt2	2	4	1676
elt2	2	5	980
elt2	2	6	551
elt2	2	7	260
elt2	2	8	164
elt2	2	9	57
elt2	2	10	23
elt2	2	11	8
elt2	2	12	5
elt2	2	13	3
elt2	2	14	0
elt2	2	15	0
elt2	2	16	0
elt2	2	17	0
elt2	2	18	0
elt2	2	19	0
elt2	2	20	0
elt2	2	21	0
elt2	2	22	0
elt2	2	23	0
elt2	2	24	0
elt2	2	25	0
elt2	2	26	0
elt2	2	27	0
elt2	2	28	0
elt2	2	29	0
elt2	2	30	0
elt2	2	31	0
elt2	2	32	0
elt2	2	33	0
elt2	2	34	0
elt2	2	35	0
elt2	2	36	1
elt1	3	1	7291
elt1	3	2	2382
elt1	3	3	926
elt1	3	4	482
elt1	3	5	310
elt1	3	6	202
elt1	3	7	132
elt1	3	8	101
elt1	3	9	67
elt1	3	10	44
elt1	3	11	41
elt1	3	12	25
elt1	3	13	19
elt1	3	14	14
elt1	3	15	6
elt1	3	16	13
elt1	3	17	2
elt1	3	18	4
elt1	3	19	6
elt1	3	20	0
elt1	3	21	1
elt1	3	22	1
elt1	3	23	1
elt1	3	24	1
elt1	3	25	1
elt1	3	26	2
elt1	3	27	0
elt1	3	28	0
elt1	3	29	0
elt1	3	30	0
elt1	3	31	0
elt1	3	32	1
elt2	3	1	4255
elt2	3	2	3291
elt2	3	3	1818
elt2	3	4	946
elt2	3	5	435
elt2	3	6	191
elt2	3	7	64
elt2	3	8	29
elt2	3	9	11
elt2	3	10	1
elt2	3	11	0
elt2	3	12	0
elt2	3	13	0
elt2	3	14	0
elt2	3	15	0
elt2	3	16	0
elt2	3	17	0
elt2	3	18	0
elt2	3	19	0
elt2	3	20	0
elt2	3	21	0
elt2	3	22	0
elt2	3	23	0
elt2	3	24	1
elt1	4	1	5130
elt1	4	2	1455
elt1	4	3	499
elt1	4	4	206
elt1	4	5	99
elt1	4	6	60
elt1	4	7	43
elt1	4	8	22
elt1	4	9	16
elt1	4	10	7
elt1	4	11	5
elt1	4	12	3
elt1	4	13	2
elt1	4	14	1
elt1	4	15	1
elt1	4	16	2
elt1	4	17	0
elt1	4	18	0
elt1	4	19	0
elt1	4	20	0
elt1	4	21	1
elt2	4	1	4738
elt2	4	2	2092
elt2	4	3	651
elt2	4	4	197
elt2	4	5	67
elt2	4	6	13
elt2	4	7	2
elt2	4	8	0
elt2	4	9	0
elt2	4	10	0
elt2	4	11	0
elt2	4	12	0
elt2	4	13	0
elt2	4	14	0
elt2	4	15	0
elt2	4	16	1
