vertex.type	score.quantile	degree	number
elt1	1	1	10693
elt1	1	2	3762
elt1	1	3	1501
elt1	1	4	1010
elt1	1	5	640
elt1	1	6	470
elt1	1	7	316
elt1	1	8	284
elt1	1	9	235
elt1	1	10	173
elt1	1	11	121
elt1	1	12	130
elt1	1	13	80
elt1	1	14	73
elt1	1	15	61
elt1	1	16	43
elt1	1	17	35
elt1	1	18	30
elt1	1	19	21
elt1	1	20	17
elt1	1	21	17
elt1	1	22	12
elt1	1	23	7
elt1	1	24	3
elt1	1	25	4
elt1	1	26	3
elt1	1	27	4
elt1	1	28	2
elt1	1	29	2
elt1	1	30	3
elt1	1	31	4
elt1	1	32	0
elt1	1	33	6
elt1	1	34	0
elt1	1	35	1
elt1	1	36	0
elt1	1	37	0
elt1	1	38	0
elt1	1	39	0
elt1	1	40	0
elt1	1	41	0
elt1	1	42	0
elt1	1	43	0
elt1	1	44	0
elt1	1	45	1
elt1	1	46	2
elt2	1	1	2121
elt2	1	2	2504
elt2	1	3	2551
elt2	1	4	2010
elt2	1	5	1542
elt2	1	6	1077
elt2	1	7	700
elt2	1	8	462
elt2	1	9	249
elt2	1	10	154
elt2	1	11	78
elt2	1	12	47
elt2	1	13	19
elt2	1	14	12
elt2	1	15	3
elt2	1	16	3
elt2	1	17	0
elt2	1	18	0
elt2	1	19	0
elt2	1	20	1
elt2	1	21	0
elt2	1	22	0
elt2	1	23	0
elt2	1	24	0
elt2	1	25	0
elt2	1	26	0
elt2	1	27	0
elt2	1	28	0
elt2	1	29	0
elt2	1	30	0
elt2	1	31	0
elt2	1	32	0
elt2	1	33	0
elt2	1	34	0
elt2	1	35	0
elt2	1	36	0
elt2	1	37	0
elt2	1	38	0
elt2	1	39	0
elt2	1	40	0
elt2	1	41	0
elt2	1	42	0
elt2	1	43	0
elt2	1	44	0
elt2	1	45	0
elt2	1	46	0
elt2	1	47	0
elt2	1	48	0
elt2	1	49	0
elt2	1	50	0
elt2	1	51	0
elt2	1	52	0
elt2	1	53	0
elt2	1	54	0
elt2	1	55	0
elt2	1	56	1
elt1	2	1	9475
elt1	2	2	3229
elt1	2	3	1297
elt1	2	4	737
elt1	2	5	525
elt1	2	6	369
elt1	2	7	252
elt1	2	8	199
elt1	2	9	155
elt1	2	10	85
elt1	2	11	90
elt1	2	12	62
elt1	2	13	53
elt1	2	14	45
elt1	2	15	26
elt1	2	16	17
elt1	2	17	9
elt1	2	18	17
elt1	2	19	8
elt1	2	20	10
elt1	2	21	3
elt1	2	22	5
elt1	2	23	5
elt1	2	24	1
elt1	2	25	5
elt1	2	26	0
elt1	2	27	2
elt1	2	28	0
elt1	2	29	3
elt1	2	30	1
elt1	2	31	1
elt1	2	32	0
elt1	2	33	2
elt1	2	34	0
elt1	2	35	0
elt1	2	36	0
elt1	2	37	0
elt1	2	38	0
elt1	2	39	0
elt1	2	40	0
elt1	2	41	0
elt1	2	42	1
elt1	2	43	1
elt2	2	1	3027
elt2	2	2	3091
elt2	2	3	2437
elt2	2	4	1715
elt2	2	5	1082
elt2	2	6	643
elt2	2	7	359
elt2	2	8	199
elt2	2	9	105
elt2	2	10	39
elt2	2	11	21
elt2	2	12	7
elt2	2	13	3
elt2	2	14	3
elt2	2	15	0
elt2	2	16	0
elt2	2	17	0
elt2	2	18	0
elt2	2	19	0
elt2	2	20	0
elt2	2	21	0
elt2	2	22	0
elt2	2	23	0
elt2	2	24	0
elt2	2	25	0
elt2	2	26	0
elt2	2	27	0
elt2	2	28	0
elt2	2	29	0
elt2	2	30	0
elt2	2	31	0
elt2	2	32	0
elt2	2	33	0
elt2	2	34	0
elt2	2	35	0
elt2	2	36	0
elt2	2	37	0
elt2	2	38	0
elt2	2	39	0
elt2	2	40	0
elt2	2	41	0
elt2	2	42	0
elt2	2	43	0
elt2	2	44	1
elt1	3	1	8028
elt1	3	2	2555
elt1	3	3	966
elt1	3	4	507
elt1	3	5	321
elt1	3	6	211
elt1	3	7	130
elt1	3	8	108
elt1	3	9	64
elt1	3	10	47
elt1	3	11	40
elt1	3	12	28
elt1	3	13	17
elt1	3	14	17
elt1	3	15	7
elt1	3	16	12
elt1	3	17	2
elt1	3	18	3
elt1	3	19	5
elt1	3	20	1
elt1	3	21	1
elt1	3	22	1
elt1	3	23	1
elt1	3	24	1
elt1	3	25	2
elt1	3	26	1
elt1	3	27	0
elt1	3	28	0
elt1	3	29	0
elt1	3	30	0
elt1	3	31	0
elt1	3	32	1
elt2	3	1	3983
elt2	3	2	3211
elt2	3	3	1842
elt2	3	4	1047
elt2	3	5	515
elt2	3	6	268
elt2	3	7	110
elt2	3	8	46
elt2	3	9	20
elt2	3	10	4
elt2	3	11	0
elt2	3	12	0
elt2	3	13	0
elt2	3	14	0
elt2	3	15	0
elt2	3	16	0
elt2	3	17	0
elt2	3	18	0
elt2	3	19	0
elt2	3	20	0
elt2	3	21	0
elt2	3	22	0
elt2	3	23	0
elt2	3	24	0
elt2	3	25	0
elt2	3	26	0
elt2	3	27	0
elt2	3	28	1
elt1	4	1	5606
elt1	4	2	1566
elt1	4	3	497
elt1	4	4	207
elt1	4	5	100
elt1	4	6	56
elt1	4	7	49
elt1	4	8	21
elt1	4	9	16
elt1	4	10	11
elt1	4	11	6
elt1	4	12	2
elt1	4	13	1
elt1	4	14	1
elt1	4	15	1
elt1	4	16	2
elt1	4	17	0
elt1	4	18	0
elt1	4	19	0
elt1	4	20	0
elt1	4	21	1
elt2	4	1	4445
elt2	4	2	2133
elt2	4	3	790
elt2	4	4	279
elt2	4	5	89
elt2	4	6	25
elt2	4	7	5
elt2	4	8	0
elt2	4	9	0
elt2	4	10	0
elt2	4	11	0
elt2	4	12	0
elt2	4	13	0
elt2	4	14	0
elt2	4	15	0
elt2	4	16	1
