vertex.type	score.quantile	degree	number
elt1	1	1	12281
elt1	1	2	4198
elt1	1	3	1489
elt1	1	4	739
elt1	1	5	512
elt1	1	6	354
elt1	1	7	214
elt1	1	8	189
elt1	1	9	142
elt1	1	10	94
elt1	1	11	91
elt1	1	12	87
elt1	1	13	71
elt1	1	14	56
elt1	1	15	41
elt1	1	16	34
elt1	1	17	44
elt1	1	18	21
elt1	1	19	25
elt1	1	20	13
elt1	1	21	20
elt1	1	22	16
elt1	1	23	9
elt1	1	24	8
elt1	1	25	11
elt1	1	26	7
elt1	1	27	6
elt1	1	28	4
elt1	1	29	5
elt1	1	30	8
elt1	1	31	2
elt1	1	32	0
elt1	1	33	0
elt1	1	34	2
elt1	1	35	0
elt1	1	36	2
elt1	1	37	1
elt1	1	38	1
elt1	1	39	1
elt1	1	40	1
elt1	1	41	0
elt1	1	42	0
elt1	1	43	0
elt1	1	44	2
elt1	1	45	1
elt1	1	46	0
elt1	1	47	0
elt1	1	48	0
elt1	1	49	0
elt1	1	50	1
elt1	1	51	1
elt1	1	52	0
elt1	1	53	2
elt1	1	54	0
elt1	1	55	0
elt1	1	56	0
elt1	1	57	0
elt1	1	58	0
elt1	1	59	0
elt1	1	60	1
elt2	1	1	2002
elt2	1	2	2895
elt2	1	3	2948
elt2	1	4	2301
elt2	1	5	1587
elt2	1	6	1051
elt2	1	7	484
elt2	1	8	260
elt2	1	9	122
elt2	1	10	63
elt2	1	11	20
elt2	1	12	9
elt2	1	13	4
elt2	1	14	8
elt2	1	15	0
elt2	1	16	0
elt2	1	17	0
elt2	1	18	1
elt2	1	19	0
elt2	1	20	0
elt2	1	21	0
elt2	1	22	0
elt2	1	23	0
elt2	1	24	0
elt2	1	25	0
elt2	1	26	0
elt2	1	27	0
elt2	1	28	0
elt2	1	29	0
elt2	1	30	0
elt2	1	31	0
elt2	1	32	0
elt2	1	33	0
elt2	1	34	0
elt2	1	35	0
elt2	1	36	0
elt2	1	37	0
elt2	1	38	0
elt2	1	39	0
elt2	1	40	1
elt1	2	1	10954
elt1	2	2	3457
elt1	2	3	1082
elt1	2	4	532
elt1	2	5	373
elt1	2	6	246
elt1	2	7	168
elt1	2	8	133
elt1	2	9	88
elt1	2	10	82
elt1	2	11	69
elt1	2	12	55
elt1	2	13	40
elt1	2	14	28
elt1	2	15	33
elt1	2	16	25
elt1	2	17	19
elt1	2	18	16
elt1	2	19	10
elt1	2	20	8
elt1	2	21	8
elt1	2	22	4
elt1	2	23	9
elt1	2	24	5
elt1	2	25	2
elt1	2	26	1
elt1	2	27	4
elt1	2	28	2
elt1	2	29	2
elt1	2	30	0
elt1	2	31	0
elt1	2	32	2
elt1	2	33	2
elt1	2	34	0
elt1	2	35	1
elt1	2	36	1
elt1	2	37	0
elt1	2	38	2
elt1	2	39	0
elt1	2	40	0
elt1	2	41	0
elt1	2	42	0
elt1	2	43	1
elt1	2	44	1
elt2	2	1	3130
elt2	2	2	3597
elt2	2	3	2809
elt2	2	4	1820
elt2	2	5	960
elt2	2	6	429
elt2	2	7	179
elt2	2	8	95
elt2	2	9	18
elt2	2	10	14
elt2	2	11	3
elt2	2	12	6
elt2	2	13	0
elt2	2	14	1
elt2	2	15	0
elt2	2	16	0
elt2	2	17	0
elt2	2	18	0
elt2	2	19	0
elt2	2	20	0
elt2	2	21	0
elt2	2	22	0
elt2	2	23	0
elt2	2	24	0
elt2	2	25	0
elt2	2	26	0
elt2	2	27	0
elt2	2	28	1
elt1	3	1	9055
elt1	3	2	2621
elt1	3	3	687
elt1	3	4	358
elt1	3	5	227
elt1	3	6	148
elt1	3	7	84
elt1	3	8	67
elt1	3	9	56
elt1	3	10	38
elt1	3	11	32
elt1	3	12	23
elt1	3	13	19
elt1	3	14	15
elt1	3	15	18
elt1	3	16	7
elt1	3	17	7
elt1	3	18	8
elt1	3	19	6
elt1	3	20	1
elt1	3	21	0
elt1	3	22	1
elt1	3	23	2
elt1	3	24	1
elt1	3	25	1
elt1	3	26	2
elt1	3	27	1
elt1	3	28	0
elt1	3	29	1
elt2	3	1	4510
elt2	3	2	3604
elt2	3	3	1996
elt2	3	4	908
elt2	3	5	327
elt2	3	6	95
elt2	3	7	29
elt2	3	8	15
elt2	3	9	0
elt2	3	10	2
elt2	3	11	0
elt2	3	12	0
elt2	3	13	0
elt2	3	14	0
elt2	3	15	0
elt2	3	16	0
elt2	3	17	0
elt2	3	18	0
elt2	3	19	0
elt2	3	20	0
elt2	3	21	0
elt2	3	22	0
elt2	3	23	0
elt2	3	24	1
elt1	4	1	5795
elt1	4	2	1515
elt1	4	3	338
elt1	4	4	134
elt1	4	5	94
elt1	4	6	45
elt1	4	7	36
elt1	4	8	21
elt1	4	9	14
elt1	4	10	8
elt1	4	11	4
elt1	4	12	0
elt1	4	13	4
elt1	4	14	2
elt1	4	15	0
elt1	4	16	1
elt1	4	17	1
elt1	4	18	2
elt1	4	19	0
elt1	4	20	0
elt1	4	21	0
elt1	4	22	0
elt1	4	23	1
elt2	4	1	5037
elt2	4	2	2255
elt2	4	3	580
elt2	4	4	132
elt2	4	5	21
elt2	4	6	3
elt2	4	7	1
elt2	4	8	0
elt2	4	9	0
elt2	4	10	0
elt2	4	11	0
elt2	4	12	1
