vertex.type	score.quantile	degree	number
elt1	1	1	13882
elt1	1	2	4729
elt1	1	3	1686
elt1	1	4	831
elt1	1	5	581
elt1	1	6	395
elt1	1	7	243
elt1	1	8	209
elt1	1	9	157
elt1	1	10	100
elt1	1	11	95
elt1	1	12	96
elt1	1	13	73
elt1	1	14	59
elt1	1	15	44
elt1	1	16	37
elt1	1	17	45
elt1	1	18	22
elt1	1	19	25
elt1	1	20	14
elt1	1	21	20
elt1	1	22	16
elt1	1	23	9
elt1	1	24	9
elt1	1	25	11
elt1	1	26	7
elt1	1	27	6
elt1	1	28	4
elt1	1	29	5
elt1	1	30	8
elt1	1	31	2
elt1	1	32	0
elt1	1	33	0
elt1	1	34	2
elt1	1	35	0
elt1	1	36	2
elt1	1	37	1
elt1	1	38	1
elt1	1	39	1
elt1	1	40	1
elt1	1	41	0
elt1	1	42	0
elt1	1	43	0
elt1	1	44	2
elt1	1	45	1
elt1	1	46	0
elt1	1	47	0
elt1	1	48	0
elt1	1	49	0
elt1	1	50	1
elt1	1	51	1
elt1	1	52	0
elt1	1	53	2
elt1	1	54	0
elt1	1	55	0
elt1	1	56	0
elt1	1	57	0
elt1	1	58	0
elt1	1	59	0
elt1	1	60	1
elt2	1	1	1797
elt2	1	2	2508
elt2	1	3	2655
elt2	1	4	2257
elt2	1	5	1705
elt2	1	6	1219
elt2	1	7	710
elt2	1	8	414
elt2	1	9	215
elt2	1	10	113
elt2	1	11	87
elt2	1	12	34
elt2	1	13	19
elt2	1	14	10
elt2	1	15	4
elt2	1	16	5
elt2	1	17	1
elt2	1	18	1
elt2	1	19	1
elt2	1	20	0
elt2	1	21	0
elt2	1	22	0
elt2	1	23	0
elt2	1	24	0
elt2	1	25	0
elt2	1	26	0
elt2	1	27	0
elt2	1	28	0
elt2	1	29	0
elt2	1	30	0
elt2	1	31	0
elt2	1	32	0
elt2	1	33	0
elt2	1	34	0
elt2	1	35	0
elt2	1	36	0
elt2	1	37	0
elt2	1	38	0
elt2	1	39	0
elt2	1	40	0
elt2	1	41	0
elt2	1	42	0
elt2	1	43	0
elt2	1	44	0
elt2	1	45	0
elt2	1	46	0
elt2	1	47	0
elt2	1	48	0
elt2	1	49	0
elt2	1	50	0
elt2	1	51	0
elt2	1	52	1
elt1	2	1	12413
elt1	2	2	3898
elt1	2	3	1229
elt1	2	4	599
elt1	2	5	416
elt1	2	6	272
elt1	2	7	187
elt1	2	8	135
elt1	2	9	96
elt1	2	10	87
elt1	2	11	70
elt1	2	12	60
elt1	2	13	45
elt1	2	14	29
elt1	2	15	31
elt1	2	16	28
elt1	2	17	19
elt1	2	18	16
elt1	2	19	12
elt1	2	20	7
elt1	2	21	8
elt1	2	22	5
elt1	2	23	8
elt1	2	24	4
elt1	2	25	3
elt1	2	26	1
elt1	2	27	5
elt1	2	28	1
elt1	2	29	2
elt1	2	30	0
elt1	2	31	0
elt1	2	32	3
elt1	2	33	1
elt1	2	34	0
elt1	2	35	2
elt1	2	36	0
elt1	2	37	1
elt1	2	38	1
elt1	2	39	0
elt1	2	40	0
elt1	2	41	0
elt1	2	42	0
elt1	2	43	1
elt1	2	44	1
elt2	2	1	2825
elt2	2	2	3147
elt2	2	3	2702
elt2	2	4	1952
elt2	2	5	1166
elt2	2	6	641
elt2	2	7	310
elt2	2	8	158
elt2	2	9	77
elt2	2	10	39
elt2	2	11	16
elt2	2	12	17
elt2	2	13	3
elt2	2	14	4
elt2	2	15	0
elt2	2	16	0
elt2	2	17	0
elt2	2	18	0
elt2	2	19	0
elt2	2	20	0
elt2	2	21	0
elt2	2	22	0
elt2	2	23	0
elt2	2	24	0
elt2	2	25	0
elt2	2	26	0
elt2	2	27	0
elt2	2	28	0
elt2	2	29	0
elt2	2	30	0
elt2	2	31	0
elt2	2	32	0
elt2	2	33	0
elt2	2	34	0
elt2	2	35	0
elt2	2	36	0
elt2	2	37	0
elt2	2	38	0
elt2	2	39	0
elt2	2	40	1
elt1	3	1	10326
elt1	3	2	2919
elt1	3	3	776
elt1	3	4	389
elt1	3	5	248
elt1	3	6	153
elt1	3	7	93
elt1	3	8	68
elt1	3	9	62
elt1	3	10	38
elt1	3	11	37
elt1	3	12	27
elt1	3	13	17
elt1	3	14	14
elt1	3	15	15
elt1	3	16	7
elt1	3	17	10
elt1	3	18	9
elt1	3	19	5
elt1	3	20	1
elt1	3	21	0
elt1	3	22	1
elt1	3	23	2
elt1	3	24	2
elt1	3	25	1
elt1	3	26	1
elt1	3	27	1
elt1	3	28	0
elt1	3	29	1
elt2	3	1	3999
elt2	3	2	3317
elt2	3	3	2180
elt2	3	4	1133
elt2	3	5	520
elt2	3	6	178
elt2	3	7	71
elt2	3	8	44
elt2	3	9	14
elt2	3	10	11
elt2	3	11	0
elt2	3	12	0
elt2	3	13	0
elt2	3	14	0
elt2	3	15	0
elt2	3	16	0
elt2	3	17	0
elt2	3	18	0
elt2	3	19	0
elt2	3	20	0
elt2	3	21	0
elt2	3	22	0
elt2	3	23	0
elt2	3	24	0
elt2	3	25	0
elt2	3	26	0
elt2	3	27	0
elt2	3	28	0
elt2	3	29	0
elt2	3	30	0
elt2	3	31	0
elt2	3	32	0
elt2	3	33	0
elt2	3	34	0
elt2	3	35	0
elt2	3	36	1
elt1	4	1	6608
elt1	4	2	1678
elt1	4	3	338
elt1	4	4	152
elt1	4	5	94
elt1	4	6	53
elt1	4	7	44
elt1	4	8	18
elt1	4	9	18
elt1	4	10	7
elt1	4	11	2
elt1	4	12	1
elt1	4	13	3
elt1	4	14	3
elt1	4	15	0
elt1	4	16	0
elt1	4	17	2
elt1	4	18	1
elt1	4	19	0
elt1	4	20	0
elt1	4	21	0
elt1	4	22	0
elt1	4	23	1
elt2	4	1	4500
elt2	4	2	2424
elt2	4	3	791
elt2	4	4	277
elt2	4	5	54
elt2	4	6	18
elt2	4	7	3
elt2	4	8	0
elt2	4	9	0
elt2	4	10	0
elt2	4	11	0
elt2	4	12	0
elt2	4	13	0
elt2	4	14	0
elt2	4	15	0
elt2	4	16	0
elt2	4	17	0
elt2	4	18	0
elt2	4	19	0
elt2	4	20	1
