vertex.type	score.quantile	degree	number
elt1	1	1	8487
elt1	1	2	7104
elt1	1	3	1626
elt1	1	4	1985
elt1	1	5	831
elt1	1	6	798
elt1	1	7	507
elt1	1	8	467
elt1	1	9	313
elt1	1	10	294
elt1	1	11	231
elt1	1	12	198
elt1	1	13	185
elt1	1	14	162
elt1	1	15	119
elt1	1	16	105
elt1	1	17	92
elt1	1	18	91
elt1	1	19	64
elt1	1	20	71
elt1	1	21	83
elt1	1	22	53
elt1	1	23	38
elt1	1	24	55
elt1	1	25	45
elt1	1	26	41
elt1	1	27	35
elt1	1	28	37
elt1	1	29	24
elt1	1	30	18
elt1	1	31	25
elt1	1	32	24
elt1	1	33	16
elt1	1	34	26
elt1	1	35	27
elt1	1	36	10
elt1	1	37	17
elt1	1	38	16
elt1	1	39	13
elt1	1	40	14
elt1	1	41	11
elt1	1	42	9
elt1	1	43	12
elt1	1	44	8
elt1	1	45	12
elt1	1	46	4
elt1	1	47	5
elt1	1	48	3
elt1	1	49	12
elt1	1	50	4
elt1	1	51	2
elt1	1	52	8
elt1	1	53	6
elt1	1	54	1
elt1	1	55	1
elt1	1	56	3
elt1	1	57	2
elt1	1	58	2
elt1	1	59	3
elt1	1	60	1
elt1	1	61	2
elt1	1	62	4
elt1	1	63	0
elt1	1	64	1
elt1	1	65	2
elt1	1	66	2
elt1	1	67	0
elt1	1	68	1
elt1	1	69	0
elt1	1	70	0
elt1	1	71	2
elt1	1	72	1
elt1	1	73	2
elt1	1	74	3
elt1	1	75	2
elt1	1	76	0
elt1	1	77	2
elt1	1	78	0
elt1	1	79	0
elt1	1	80	1
elt1	1	81	0
elt1	1	82	0
elt1	1	83	0
elt1	1	84	0
elt1	1	85	0
elt1	1	86	0
elt1	1	87	0
elt1	1	88	0
elt1	1	89	1
elt1	1	90	0
elt1	1	91	1
elt1	1	92	1
elt1	1	93	0
elt1	1	94	1
elt1	1	95	0
elt1	1	96	0
elt1	1	97	0
elt1	1	98	0
elt1	1	99	1
elt1	1	100	1
elt1	1	101	1
elt1	1	102	0
elt1	1	103	0
elt1	1	104	0
elt1	1	105	0
elt1	1	106	0
elt1	1	107	0
elt1	1	108	1
elt1	1	109	0
elt1	1	110	0
elt1	1	111	0
elt1	1	112	0
elt1	1	113	1
elt1	1	114	0
elt1	1	115	0
elt1	1	116	0
elt1	1	117	1
elt1	1	118	0
elt1	1	119	0
elt1	1	120	1
elt2	1	1	623
elt2	1	2	1179
elt2	1	3	1302
elt2	1	4	1622
elt2	1	5	1564
elt2	1	6	1464
elt2	1	7	1365
elt2	1	8	1237
elt2	1	9	942
elt2	1	10	851
elt2	1	11	691
elt2	1	12	522
elt2	1	13	361
elt2	1	14	313
elt2	1	15	181
elt2	1	16	169
elt2	1	17	114
elt2	1	18	82
elt2	1	19	48
elt2	1	20	49
elt2	1	21	19
elt2	1	22	17
elt2	1	23	4
elt2	1	24	8
elt2	1	25	4
elt2	1	26	1
elt2	1	27	0
elt2	1	28	3
elt2	1	29	0
elt2	1	30	2
elt2	1	31	0
