vertex.type	score.quantile	degree	number
elt1	1	1	23200
elt1	1	2	7699
elt1	1	3	2882
elt1	1	4	1832
elt1	1	5	1199
elt1	1	6	851
elt1	1	7	580
elt1	1	8	431
elt1	1	9	366
elt1	1	10	319
elt1	1	11	248
elt1	1	12	223
elt1	1	13	191
elt1	1	14	132
elt1	1	15	120
elt1	1	16	94
elt1	1	17	91
elt1	1	18	89
elt1	1	19	68
elt1	1	20	53
elt1	1	21	40
elt1	1	22	39
elt1	1	23	43
elt1	1	24	27
elt1	1	25	22
elt1	1	26	25
elt1	1	27	19
elt1	1	28	14
elt1	1	29	11
elt1	1	30	12
elt1	1	31	13
elt1	1	32	7
elt1	1	33	5
elt1	1	34	7
elt1	1	35	7
elt1	1	36	3
elt1	1	37	4
elt1	1	38	8
elt1	1	39	3
elt1	1	40	4
elt1	1	41	2
elt1	1	42	1
elt1	1	43	2
elt1	1	44	5
elt1	1	45	1
elt1	1	46	5
elt1	1	47	2
elt1	1	48	1
elt1	1	49	2
elt1	1	50	2
elt1	1	51	3
elt1	1	52	1
elt1	1	53	1
elt1	1	54	1
elt1	1	55	1
elt1	1	56	0
elt1	1	57	1
elt1	1	58	1
elt1	1	59	1
elt1	1	60	0
elt1	1	61	1
elt1	1	62	1
elt1	1	63	0
elt1	1	64	0
elt1	1	65	0
elt1	1	66	0
elt1	1	67	0
elt1	1	68	0
elt1	1	69	0
elt1	1	70	0
elt1	1	71	0
elt1	1	72	0
elt1	1	73	0
elt1	1	74	0
elt1	1	75	0
elt1	1	76	1
elt2	1	1	606
elt2	1	2	1088
elt2	1	3	1215
elt2	1	4	1489
elt2	1	5	1449
elt2	1	6	1431
elt2	1	7	1277
elt2	1	8	1204
elt2	1	9	954
elt2	1	10	846
elt2	1	11	723
elt2	1	12	610
elt2	1	13	455
elt2	1	14	365
elt2	1	15	260
elt2	1	16	209
elt2	1	17	142
elt2	1	18	124
elt2	1	19	77
elt2	1	20	81
elt2	1	21	35
elt2	1	22	41
elt2	1	23	16
elt2	1	24	14
elt2	1	25	7
elt2	1	26	7
elt2	1	27	3
elt2	1	28	3
elt2	1	29	3
elt2	1	30	2
elt2	1	31	1
elt2	1	32	1
elt2	1	33	0
elt2	1	34	0
elt2	1	35	0
elt2	1	36	0
elt2	1	37	0
elt2	1	38	0
elt2	1	39	0
elt2	1	40	0
elt2	1	41	0
elt2	1	42	0
elt2	1	43	0
elt2	1	44	0
elt2	1	45	0
elt2	1	46	1
elt1	2	1	20461
elt1	2	2	6457
elt1	2	3	2399
elt1	2	4	1367
elt1	2	5	917
elt1	2	6	610
elt1	2	7	408
elt1	2	8	323
elt1	2	9	274
elt1	2	10	220
elt1	2	11	175
elt1	2	12	145
elt1	2	13	123
elt1	2	14	79
elt1	2	15	65
elt1	2	16	62
elt1	2	17	56
elt1	2	18	51
elt1	2	19	27
elt1	2	20	37
elt1	2	21	33
elt1	2	22	19
elt1	2	23	16
elt1	2	24	19
elt1	2	25	9
elt1	2	26	14
elt1	2	27	12
elt1	2	28	6
elt1	2	29	6
elt1	2	30	6
elt1	2	31	7
elt1	2	32	5
elt1	2	33	4
elt1	2	34	4
elt1	2	35	4
elt1	2	36	5
elt1	2	37	1
elt1	2	38	3
elt1	2	39	4
elt1	2	40	1
elt1	2	41	3
elt1	2	42	1
elt1	2	43	1
elt1	2	44	2
elt1	2	45	0
elt1	2	46	1
elt1	2	47	0
elt1	2	48	0
elt1	2	49	0
elt1	2	50	0
elt1	2	51	1
elt1	2	52	0
elt1	2	53	0
elt1	2	54	0
elt1	2	55	0
elt1	2	56	1
elt1	2	57	1
elt1	2	58	1
elt1	2	59	0
elt1	2	60	0
elt1	2	61	0
elt1	2	62	0
elt1	2	63	0
elt1	2	64	1
elt2	2	1	1114
elt2	2	2	1744
elt2	2	3	1727
elt2	2	4	1807
elt2	2	5	1575
elt2	2	6	1369
elt2	2	7	1119
elt2	2	8	932
elt2	2	9	785
elt2	2	10	569
elt2	2	11	443
elt2	2	12	321
elt2	2	13	215
elt2	2	14	171
elt2	2	15	121
elt2	2	16	92
elt2	2	17	47
elt2	2	18	39
elt2	2	19	25
elt2	2	20	14
elt2	2	21	8
elt2	2	22	7
elt2	2	23	5
elt2	2	24	0
elt2	2	25	1
elt2	2	26	1
elt2	2	27	0
elt2	2	28	1
elt2	2	29	0
elt2	2	30	0
elt2	2	31	0
elt2	2	32	0
elt2	2	33	0
elt2	2	34	0
elt2	2	35	0
elt2	2	36	0
elt2	2	37	0
elt2	2	38	0
elt2	2	39	0
elt2	2	40	0
elt2	2	41	0
elt2	2	42	0
elt2	2	43	0
elt2	2	44	1
elt1	3	1	16698
elt1	3	2	5081
elt1	3	3	1659
elt1	3	4	966
elt1	3	5	576
elt1	3	6	372
elt1	3	7	275
elt1	3	8	187
elt1	3	9	145
elt1	3	10	120
elt1	3	11	94
elt1	3	12	83
elt1	3	13	41
elt1	3	14	28
elt1	3	15	41
elt1	3	16	37
elt1	3	17	22
elt1	3	18	18
elt1	3	19	13
elt1	3	20	8
elt1	3	21	10
elt1	3	22	6
elt1	3	23	10
elt1	3	24	6
elt1	3	25	5
elt1	3	26	7
elt1	3	27	3
elt1	3	28	2
elt1	3	29	2
elt1	3	30	8
elt1	3	31	6
elt1	3	32	3
elt1	3	33	2
elt1	3	34	0
elt1	3	35	1
elt1	3	36	0
elt1	3	37	1
elt1	3	38	0
elt1	3	39	0
elt1	3	40	2
elt1	3	41	0
elt1	3	42	0
elt1	3	43	1
elt1	3	44	0
elt1	3	45	0
elt1	3	46	0
elt1	3	47	0
elt1	3	48	0
elt1	3	49	1
elt1	3	50	0
elt1	3	51	0
elt1	3	52	1
elt2	3	1	2028
elt2	3	2	2530
elt2	3	3	1998
elt2	3	4	1812
elt2	3	5	1319
elt2	3	6	1047
elt2	3	7	776
elt2	3	8	495
elt2	3	9	358
elt2	3	10	278
elt2	3	11	173
elt2	3	12	111
elt2	3	13	48
elt2	3	14	36
elt2	3	15	34
elt2	3	16	21
elt2	3	17	7
elt2	3	18	5
elt2	3	19	1
elt2	3	20	1
elt2	3	21	0
elt2	3	22	1
elt2	3	23	0
elt2	3	24	0
elt2	3	25	0
elt2	3	26	0
elt2	3	27	0
elt2	3	28	1
elt1	4	1	11270
elt1	4	2	3060
elt1	4	3	854
elt1	4	4	428
elt1	4	5	234
elt1	4	6	154
elt1	4	7	90
elt1	4	8	60
elt1	4	9	43
elt1	4	10	35
elt1	4	11	20
elt1	4	12	20
elt1	4	13	11
elt1	4	14	10
elt1	4	15	10
elt1	4	16	4
elt1	4	17	6
elt1	4	18	6
elt1	4	19	2
elt1	4	20	2
elt1	4	21	1
elt1	4	22	1
elt1	4	23	1
elt1	4	24	0
elt1	4	25	2
elt1	4	26	1
elt1	4	27	0
elt1	4	28	0
elt1	4	29	0
elt1	4	30	0
elt1	4	31	2
elt2	4	1	2752
elt2	4	2	3059
elt2	4	3	1531
elt2	4	4	1170
elt2	4	5	609
elt2	4	6	384
elt2	4	7	193
elt2	4	8	120
elt2	4	9	67
elt2	4	10	35
elt2	4	11	12
elt2	4	12	7
elt2	4	13	4
elt2	4	14	1
elt2	4	15	0
elt2	4	16	1
