vertex.type	score.quantile	degree	number
elt1	1	1	10299
elt1	1	2	3507
elt1	1	3	1347
elt1	1	4	839
elt1	1	5	554
elt1	1	6	425
elt1	1	7	284
elt1	1	8	201
elt1	1	9	192
elt1	1	10	152
elt1	1	11	135
elt1	1	12	108
elt1	1	13	95
elt1	1	14	62
elt1	1	15	60
elt1	1	16	43
elt1	1	17	52
elt1	1	18	46
elt1	1	19	23
elt1	1	20	28
elt1	1	21	13
elt1	1	22	21
elt1	1	23	21
elt1	1	24	12
elt1	1	25	11
elt1	1	26	9
elt1	1	27	11
elt1	1	28	7
elt1	1	29	7
elt1	1	30	7
elt1	1	31	6
elt1	1	32	4
elt1	1	33	1
elt1	1	34	3
elt1	1	35	4
elt1	1	36	1
elt1	1	37	2
elt1	1	38	4
elt1	1	39	1
elt1	1	40	1
elt1	1	41	1
elt1	1	42	0
elt1	1	43	1
elt1	1	44	3
elt1	1	45	0
elt1	1	46	1
elt1	1	47	0
elt1	1	48	1
elt1	1	49	1
elt1	1	50	1
elt1	1	51	1
elt1	1	52	1
elt1	1	53	1
elt1	1	54	1
elt1	1	55	0
elt1	1	56	0
elt1	1	57	0
elt1	1	58	1
elt1	1	59	0
elt1	1	60	0
elt1	1	61	1
elt1	1	62	1
elt1	1	63	0
elt1	1	64	0
elt1	1	65	0
elt1	1	66	0
elt1	1	67	0
elt1	1	68	0
elt1	1	69	0
elt1	1	70	0
elt1	1	71	0
elt1	1	72	0
elt1	1	73	0
elt1	1	74	0
elt1	1	75	0
elt1	1	76	1
elt2	1	1	1985
elt2	1	2	2544
elt2	1	3	2645
elt2	1	4	2241
elt2	1	5	1664
elt2	1	6	1130
elt2	1	7	628
elt2	1	8	393
elt2	1	9	230
elt2	1	10	104
elt2	1	11	45
elt2	1	12	17
elt2	1	13	8
elt2	1	14	8
elt2	1	15	1
elt2	1	16	4
elt2	1	17	0
elt2	1	18	1
elt2	1	19	0
elt2	1	20	0
elt2	1	21	0
elt2	1	22	1
elt2	1	23	0
elt2	1	24	0
elt2	1	25	0
elt2	1	26	1
elt1	2	1	9074
elt1	2	2	2971
elt1	2	3	1125
elt1	2	4	645
elt1	2	5	457
elt1	2	6	282
elt1	2	7	203
elt1	2	8	159
elt1	2	9	135
elt1	2	10	106
elt1	2	11	87
elt1	2	12	69
elt1	2	13	65
elt1	2	14	32
elt1	2	15	35
elt1	2	16	31
elt1	2	17	29
elt1	2	18	25
elt1	2	19	8
elt1	2	20	16
elt1	2	21	16
elt1	2	22	9
elt1	2	23	12
elt1	2	24	11
elt1	2	25	4
elt1	2	26	4
elt1	2	27	6
elt1	2	28	3
elt1	2	29	1
elt1	2	30	2
elt1	2	31	4
elt1	2	32	4
elt1	2	33	0
elt1	2	34	1
elt1	2	35	4
elt1	2	36	3
elt1	2	37	0
elt1	2	38	1
elt1	2	39	1
elt1	2	40	1
elt1	2	41	2
elt1	2	42	2
elt1	2	43	0
elt1	2	44	0
elt1	2	45	0
elt1	2	46	1
elt1	2	47	0
elt1	2	48	0
elt1	2	49	0
elt1	2	50	0
elt1	2	51	0
elt1	2	52	0
elt1	2	53	0
elt1	2	54	0
elt1	2	55	0
elt1	2	56	1
elt1	2	57	0
elt1	2	58	1
elt1	2	59	0
elt1	2	60	0
elt1	2	61	0
elt1	2	62	0
elt1	2	63	0
elt1	2	64	1
elt2	2	1	2975
elt2	2	2	3170
elt2	2	3	2697
elt2	2	4	1853
elt2	2	5	1069
elt2	2	6	589
elt2	2	7	316
elt2	2	8	145
elt2	2	9	61
elt2	2	10	23
elt2	2	11	8
elt2	2	12	4
elt2	2	13	2
elt2	2	14	0
elt2	2	15	0
elt2	2	16	2
elt2	2	17	0
elt2	2	18	1
elt2	2	19	0
elt2	2	20	0
elt2	2	21	0
elt2	2	22	0
elt2	2	23	0
elt2	2	24	1
elt1	3	1	7399
elt1	3	2	2334
elt1	3	3	814
elt1	3	4	465
elt1	3	5	288
elt1	3	6	175
elt1	3	7	137
elt1	3	8	94
elt1	3	9	66
elt1	3	10	52
elt1	3	11	49
elt1	3	12	35
elt1	3	13	28
elt1	3	14	15
elt1	3	15	17
elt1	3	16	20
elt1	3	17	12
elt1	3	18	8
elt1	3	19	9
elt1	3	20	3
elt1	3	21	7
elt1	3	22	2
elt1	3	23	3
elt1	3	24	1
elt1	3	25	4
elt1	3	26	3
elt1	3	27	1
elt1	3	28	0
elt1	3	29	0
elt1	3	30	7
elt1	3	31	2
elt1	3	32	2
elt1	3	33	1
elt1	3	34	0
elt1	3	35	0
elt1	3	36	0
elt1	3	37	1
elt1	3	38	0
elt1	3	39	0
elt1	3	40	2
elt1	3	41	0
elt1	3	42	0
elt1	3	43	1
elt2	3	1	4132
elt2	3	2	3336
elt2	3	3	2017
elt2	3	4	1093
elt2	3	5	451
elt2	3	6	175
elt2	3	7	66
elt2	3	8	37
elt2	3	9	5
elt2	3	10	3
elt2	3	11	0
elt2	3	12	2
elt1	4	1	5019
elt1	4	2	1474
elt1	4	3	412
elt1	4	4	220
elt1	4	5	112
elt1	4	6	74
elt1	4	7	36
elt1	4	8	29
elt1	4	9	21
elt1	4	10	23
elt1	4	11	9
elt1	4	12	7
elt1	4	13	6
elt1	4	14	5
elt1	4	15	6
elt1	4	16	5
elt1	4	17	4
elt1	4	18	1
elt1	4	19	1
elt1	4	20	0
elt1	4	21	0
elt1	4	22	2
elt1	4	23	0
elt1	4	24	0
elt1	4	25	1
elt1	4	26	0
elt1	4	27	0
elt1	4	28	0
elt1	4	29	0
elt1	4	30	0
elt1	4	31	1
