vertex.type	score.quantile	degree	number
elt1	1	1	11614
elt1	1	2	3848
elt1	1	3	1441
elt1	1	4	906
elt1	1	5	585
elt1	1	6	438
elt1	1	7	290
elt1	1	8	208
elt1	1	9	199
elt1	1	10	159
elt1	1	11	138
elt1	1	12	109
elt1	1	13	95
elt1	1	14	67
elt1	1	15	61
elt1	1	16	44
elt1	1	17	52
elt1	1	18	46
elt1	1	19	23
elt1	1	20	28
elt1	1	21	15
elt1	1	22	21
elt1	1	23	21
elt1	1	24	13
elt1	1	25	11
elt1	1	26	9
elt1	1	27	11
elt1	1	28	7
elt1	1	29	7
elt1	1	30	7
elt1	1	31	6
elt1	1	32	4
elt1	1	33	1
elt1	1	34	3
elt1	1	35	4
elt1	1	36	1
elt1	1	37	2
elt1	1	38	4
elt1	1	39	1
elt1	1	40	1
elt1	1	41	1
elt1	1	42	0
elt1	1	43	1
elt1	1	44	3
elt1	1	45	0
elt1	1	46	1
elt1	1	47	0
elt1	1	48	1
elt1	1	49	1
elt1	1	50	1
elt1	1	51	1
elt1	1	52	1
elt1	1	53	1
elt1	1	54	1
elt1	1	55	0
elt1	1	56	0
elt1	1	57	0
elt1	1	58	1
elt1	1	59	0
elt1	1	60	0
elt1	1	61	1
elt1	1	62	1
elt1	1	63	0
elt1	1	64	0
elt1	1	65	0
elt1	1	66	0
elt1	1	67	0
elt1	1	68	0
elt1	1	69	0
elt1	1	70	0
elt1	1	71	0
elt1	1	72	0
elt1	1	73	0
elt1	1	74	0
elt1	1	75	0
elt1	1	76	1
elt2	1	1	1853
elt2	1	2	2376
elt2	1	3	2464
elt2	1	4	2190
elt2	1	5	1677
elt2	1	6	1216
elt2	1	7	758
elt2	1	8	482
elt2	1	9	309
elt2	1	10	155
elt2	1	11	81
elt2	1	12	43
elt2	1	13	23
elt2	1	14	9
elt2	1	15	3
elt2	1	16	5
elt2	1	17	3
elt2	1	18	1
elt2	1	19	0
elt2	1	20	0
elt2	1	21	0
elt2	1	22	1
elt2	1	23	0
elt2	1	24	0
elt2	1	25	0
elt2	1	26	1
elt1	2	1	10238
elt1	2	2	3248
elt1	2	3	1198
elt1	2	4	676
elt1	2	5	463
elt1	2	6	296
elt1	2	7	207
elt1	2	8	161
elt1	2	9	144
elt1	2	10	106
elt1	2	11	90
elt1	2	12	72
elt1	2	13	62
elt1	2	14	33
elt1	2	15	37
elt1	2	16	30
elt1	2	17	29
elt1	2	18	25
elt1	2	19	8
elt1	2	20	17
elt1	2	21	17
elt1	2	22	9
elt1	2	23	12
elt1	2	24	13
elt1	2	25	3
elt1	2	26	4
elt1	2	27	6
elt1	2	28	3
elt1	2	29	1
elt1	2	30	3
elt1	2	31	4
elt1	2	32	3
elt1	2	33	0
elt1	2	34	2
elt1	2	35	3
elt1	2	36	3
elt1	2	37	0
elt1	2	38	1
