vertex.type	score.quantile	degree	number
elt1	1	1	8794
elt1	1	2	3111
elt1	1	3	1388
elt1	1	4	837
elt1	1	5	543
elt1	1	6	409
elt1	1	7	272
elt1	1	8	230
elt1	1	9	185
elt1	1	10	142
elt1	1	11	125
elt1	1	12	91
elt1	1	13	83
elt1	1	14	98
elt1	1	15	69
elt1	1	16	45
elt1	1	17	48
elt1	1	18	34
elt1	1	19	35
elt1	1	20	24
elt1	1	21	27
elt1	1	22	27
elt1	1	23	17
elt1	1	24	13
elt1	1	25	9
elt1	1	26	11
elt1	1	27	6
elt1	1	28	7
elt1	1	29	5
elt1	1	30	10
elt1	1	31	11
elt1	1	32	3
elt1	1	33	3
elt1	1	34	4
elt1	1	35	2
elt1	1	36	2
elt1	1	37	1
elt1	1	38	2
elt1	1	39	5
elt1	1	40	2
elt1	1	41	0
elt1	1	42	5
elt1	1	43	3
elt1	1	44	0
elt1	1	45	0
elt1	1	46	2
elt1	1	47	0
elt1	1	48	0
elt1	1	49	0
elt1	1	50	0
elt1	1	51	0
elt1	1	52	0
elt1	1	53	1
elt1	1	54	0
elt1	1	55	0
elt1	1	56	0
elt1	1	57	1
elt1	1	58	1
elt1	1	59	0
elt1	1	60	0
elt1	1	61	0
elt1	1	62	0
elt1	1	63	0
elt1	1	64	0
elt1	1	65	1
elt1	1	66	0
elt1	1	67	1
elt2	1	1	2062
elt2	1	2	2870
elt2	1	3	2793
elt2	1	4	2285
elt2	1	5	1527
elt2	1	6	1001
elt2	1	7	611
elt2	1	8	309
elt2	1	9	154
elt2	1	10	78
elt2	1	11	44
elt2	1	12	15
elt2	1	13	4
elt2	1	14	6
elt2	1	15	2
elt2	1	16	7
elt2	1	17	0
elt2	1	18	0
elt2	1	19	0
elt2	1	20	1
elt2	1	21	0
elt2	1	22	0
elt2	1	23	0
elt2	1	24	0
elt2	1	25	0
elt2	1	26	0
elt2	1	27	0
elt2	1	28	0
elt2	1	29	0
elt2	1	30	0
elt2	1	31	0
elt2	1	32	0
elt2	1	33	0
elt2	1	34	0
elt2	1	35	0
elt2	1	36	0
elt2	1	37	0
elt2	1	38	0
elt2	1	39	0
elt2	1	40	0
elt2	1	41	0
elt2	1	42	0
elt2	1	43	0
elt2	1	44	1
elt1	2	1	7907
elt1	2	2	2703
elt1	2	3	1050
elt1	2	4	656
elt1	2	5	436
elt1	2	6	287
elt1	2	7	216
elt1	2	8	176
elt1	2	9	132
elt1	2	10	102
elt1	2	11	80
elt1	2	12	76
elt1	2	13	54
elt1	2	14	51
elt1	2	15	52
elt1	2	16	34
elt1	2	17	24
elt1	2	18	21
elt1	2	19	25
elt1	2	20	19
elt1	2	21	13
elt1	2	22	8
elt1	2	23	8
elt1	2	24	6
elt1	2	25	6
elt1	2	26	6
elt1	2	27	4
elt1	2	28	4
elt1	2	29	4
elt1	2	30	1
elt1	2	31	3
elt1	2	32	3
elt1	2	33	3
elt1	2	34	2
elt1	2	35	0
elt1	2	36	1
elt1	2	37	2
elt1	2	38	0
elt1	2	39	1
elt1	2	40	2
elt1	2	41	1
elt1	2	42	1
elt1	2	43	2
elt1	2	44	1
elt1	2	45	0
elt1	2	46	0
elt1	2	47	0
elt1	2	48	0
elt1	2	49	0
elt1	2	50	0
elt1	2	51	0
elt1	2	52	0
elt1	2	53	0
elt1	2	54	0
elt1	2	55	0
elt1	2	56	0
elt1	2	57	0
elt1	2	58	1
elt1	2	59	0
elt1	2	60	0
elt1	2	61	0
elt1	2	62	0
elt1	2	63	0
elt1	2	64	1
elt2	2	1	3137
elt2	2	2	3474
elt2	2	3	2725
elt2	2	4	1709
elt2	2	5	1024
elt2	2	6	533
elt2	2	7	230
elt2	2	8	116
elt2	2	9	35
elt2	2	10	23
elt2	2	11	2
elt2	2	12	7
elt2	2	13	0
elt2	2	14	0
elt2	2	15	0
elt2	2	16	1
elt2	2	17	0
elt2	2	18	0
elt2	2	19	0
elt2	2	20	0
elt2	2	21	0
elt2	2	22	0
elt2	2	23	0
elt2	2	24	0
elt2	2	25	0
elt2	2	26	0
elt2	2	27	0
elt2	2	28	0
elt2	2	29	0
elt2	2	30	0
elt2	2	31	0
elt2	2	32	0
elt2	2	33	0
elt2	2	34	0
elt2	2	35	0
elt2	2	36	0
elt2	2	37	0
elt2	2	38	0
elt2	2	39	0
elt2	2	40	1
elt1	3	1	6624
elt1	3	2	2151
elt1	3	3	811
elt1	3	4	458
elt1	3	5	271
elt1	3	6	190
elt1	3	7	139
elt1	3	8	109
elt1	3	9	80
elt1	3	10	45
elt1	3	11	44
elt1	3	12	40
elt1	3	13	29
elt1	3	14	29
elt1	3	15	23
elt1	3	16	10
elt1	3	17	14
elt1	3	18	13
elt1	3	19	9
elt1	3	20	6
elt1	3	21	5
elt1	3	22	1
elt1	3	23	5
elt1	3	24	1
elt1	3	25	2
elt1	3	26	3
elt1	3	27	2
elt1	3	28	2
elt1	3	29	0
elt1	3	30	0
elt1	3	31	1
elt1	3	32	2
elt1	3	33	0
elt1	3	34	0
elt1	3	35	1
elt1	3	36	0
elt1	3	37	0
elt1	3	38	0
elt1	3	39	1
elt1	3	40	0
elt1	3	41	0
elt1	3	42	0
elt1	3	43	0
elt1	3	44	0
elt1	3	45	0
elt1	3	46	0
elt1	3	47	0
elt1	3	48	0
elt1	3	49	0
elt1	3	50	0
elt1	3	51	1
elt2	3	1	4447
elt2	3	2	3488
elt2	3	3	1941
elt2	3	4	984
elt2	3	5	379
elt2	3	6	144
elt2	3	7	40
elt2	3	8	14
elt2	3	9	3
elt2	3	10	3
elt2	3	11	0
elt2	3	12	0
elt2	3	13	0
elt2	3	14	1
elt2	3	15	0
elt2	3	16	0
elt2	3	17	0
elt2	3	18	0
elt2	3	19	0
elt2	3	20	0
elt2	3	21	0
elt2	3	22	0
elt2	3	23	0
elt2	3	24	0
elt2	3	25	0
elt2	3	26	0
elt2	3	27	0
elt2	3	28	0
elt2	3	29	0
elt2	3	30	0
elt2	3	31	0
elt2	3	32	0
elt2	3	33	0
elt2	3	34	0
elt2	3	35	0
elt2	3	36	1
elt1	4	1	4690
elt1	4	2	1390
elt1	4	3	445
elt1	4	4	203
elt1	4	5	129
elt1	4	6	68
elt1	4	7	41
elt1	4	8	28
elt1	4	9	27
elt1	4	10	13
elt1	4	11	9
elt1	4	12	10
elt1	4	13	8
elt1	4	14	5
elt1	4	15	7
elt1	4	16	1
elt1	4	17	1
elt1	4	18	1
elt1	4	19	2
elt1	4	20	0
elt1	4	21	0
elt1	4	22	1
elt1	4	23	0
elt1	4	24	0
elt1	4	25	0
elt1	4	26	0
elt1	4	27	1
elt1	4	28	0
elt1	4	29	0
elt1	4	30	0
elt1	4	31	1
elt2	4	1	5085
elt2	4	2	2148
elt2	4	3	618
elt2	4	4	170
elt2	4	5	34
elt2	4	6	16
elt2	4	7	0
elt2	4	8	1
elt2	4	9	0
elt2	4	10	0
elt2	4	11	0
elt2	4	12	0
elt2	4	13	0
elt2	4	14	0
elt2	4	15	0
elt2	4	16	0
elt2	4	17	0
elt2	4	18	0
elt2	4	19	0
elt2	4	20	0
elt2	4	21	0
elt2	4	22	0
elt2	4	23	0
elt2	4	24	0
elt2	4	25	0
elt2	4	26	0
elt2	4	27	0
elt2	4	28	0
elt2	4	29	0
elt2	4	30	0
elt2	4	31	0
elt2	4	32	1
