vertex.type	score.quantile	degree	number
elt1	1	1	9830
elt1	1	2	3474
elt1	1	3	1546
elt1	1	4	911
elt1	1	5	602
elt1	1	6	461
elt1	1	7	299
elt1	1	8	250
elt1	1	9	202
elt1	1	10	162
elt1	1	11	133
elt1	1	12	99
elt1	1	13	88
elt1	1	14	103
elt1	1	15	73
elt1	1	16	49
elt1	1	17	51
elt1	1	18	38
elt1	1	19	40
elt1	1	20	26
elt1	1	21	27
elt1	1	22	27
elt1	1	23	17
elt1	1	24	13
elt1	1	25	10
elt1	1	26	12
elt1	1	27	6
elt1	1	28	8
elt1	1	29	5
elt1	1	30	11
elt1	1	31	11
elt1	1	32	3
elt1	1	33	3
elt1	1	34	4
elt1	1	35	2
elt1	1	36	2
elt1	1	37	1
elt1	1	38	2
elt1	1	39	5
elt1	1	40	2
elt1	1	41	0
elt1	1	42	5
elt1	1	43	3
elt1	1	44	0
elt1	1	45	0
elt1	1	46	2
elt1	1	47	0
elt1	1	48	0
elt1	1	49	0
elt1	1	50	0
elt1	1	51	0
elt1	1	52	0
elt1	1	53	1
elt1	1	54	0
elt1	1	55	0
elt1	1	56	0
elt1	1	57	1
elt1	1	58	1
elt1	1	59	0
elt1	1	60	0
elt1	1	61	0
elt1	1	62	0
elt1	1	63	0
elt1	1	64	0
elt1	1	65	1
elt1	1	66	0
elt1	1	67	1
elt2	1	1	1910
elt2	1	2	2539
elt2	1	3	2536
elt2	1	4	2204
elt2	1	5	1618
elt2	1	6	1122
elt2	1	7	767
elt2	1	8	495
elt2	1	9	248
elt2	1	10	149
elt2	1	11	88
elt2	1	12	42
elt2	1	13	19
elt2	1	14	16
elt2	1	15	6
elt2	1	16	5
elt2	1	17	0
elt2	1	18	4
elt2	1	19	0
elt2	1	20	1
elt2	1	21	0
elt2	1	22	0
elt2	1	23	0
elt2	1	24	0
elt2	1	25	0
elt2	1	26	0
elt2	1	27	0
elt2	1	28	0
elt2	1	29	0
elt2	1	30	0
elt2	1	31	0
elt2	1	32	0
elt2	1	33	0
elt2	1	34	0
elt2	1	35	0
elt2	1	36	0
elt2	1	37	0
elt2	1	38	0
elt2	1	39	0
elt2	1	40	0
elt2	1	41	0
elt2	1	42	0
elt2	1	43	0
elt2	1	44	1
elt1	2	1	8893
elt1	2	2	3009
elt1	2	3	1177
elt1	2	4	704
elt1	2	5	473
elt1	2	6	312
