vertex.type	score.quantile	degree	number
elt1	1	1	18018
elt1	1	2	8077
elt1	1	3	3434
elt1	1	4	2308
elt1	1	5	1343
elt1	1	6	1176
elt1	1	7	785
elt1	1	8	613
elt1	1	9	485
elt1	1	10	433
elt1	1	11	334
elt1	1	12	300
elt1	1	13	238
elt1	1	14	222
elt1	1	15	190
elt1	1	16	135
elt1	1	17	125
elt1	1	18	129
elt1	1	19	85
elt1	1	20	82
elt1	1	21	74
elt1	1	22	66
elt1	1	23	50
elt1	1	24	57
elt1	1	25	56
elt1	1	26	53
elt1	1	27	53
elt1	1	28	35
elt1	1	29	39
elt1	1	30	24
elt1	1	31	46
elt1	1	32	36
elt1	1	33	24
elt1	1	34	22
elt1	1	35	24
elt1	1	36	24
elt1	1	37	15
elt1	1	38	26
elt1	1	39	20
elt1	1	40	15
elt1	1	41	17
elt1	1	42	15
elt1	1	43	18
elt1	1	44	15
elt1	1	45	10
elt1	1	46	13
elt1	1	47	10
elt1	1	48	10
elt1	1	49	8
elt1	1	50	8
elt1	1	51	4
elt1	1	52	4
elt1	1	53	2
elt1	1	54	1
elt1	1	55	3
elt1	1	56	7
elt1	1	57	4
elt1	1	58	2
elt1	1	59	4
elt1	1	60	1
elt1	1	61	2
elt1	1	62	6
elt1	1	63	1
elt1	1	64	1
elt1	1	65	3
elt1	1	66	3
elt1	1	67	3
elt1	1	68	2
elt1	1	69	1
elt1	1	70	1
elt1	1	71	2
elt1	1	72	0
elt1	1	73	1
elt1	1	74	0
elt1	1	75	1
elt1	1	76	3
elt1	1	77	3
elt1	1	78	0
elt1	1	79	0
elt1	1	80	2
elt1	1	81	1
elt1	1	82	1
elt1	1	83	1
elt1	1	84	1
elt1	1	85	0
elt1	1	86	1
elt1	1	87	0
elt1	1	88	2
elt1	1	89	1
elt1	1	90	1
elt1	1	91	2
elt1	1	92	0
elt1	1	93	0
elt1	1	94	2
elt1	1	95	0
elt1	1	96	0
elt1	1	97	0
elt1	1	98	1
elt1	1	99	0
elt1	1	100	0
