vertex.type	score.quantile	degree	number
elt1	1	1	21485
elt1	1	2	9254
elt1	1	3	3817
elt1	1	4	2465
elt1	1	5	1443
elt1	1	6	1233
elt1	1	7	811
elt1	1	8	658
elt1	1	9	492
elt1	1	10	444
elt1	1	11	348
elt1	1	12	322
elt1	1	13	244
elt1	1	14	226
elt1	1	15	190
elt1	1	16	136
elt1	1	17	137
elt1	1	18	124
elt1	1	19	93
elt1	1	20	83
elt1	1	21	75
elt1	1	22	72
elt1	1	23	58
elt1	1	24	54
elt1	1	25	59
elt1	1	26	49
elt1	1	27	50
elt1	1	28	34
elt1	1	29	37
elt1	1	30	26
elt1	1	31	49
elt1	1	32	32
elt1	1	33	25
elt1	1	34	21
elt1	1	35	24
elt1	1	36	27
elt1	1	37	16
elt1	1	38	27
elt1	1	39	19
elt1	1	40	16
elt1	1	41	16
elt1	1	42	14
elt1	1	43	18
elt1	1	44	14
elt1	1	45	11
elt1	1	46	12
elt1	1	47	9
elt1	1	48	11
elt1	1	49	6
elt1	1	50	10
elt1	1	51	6
elt1	1	52	4
elt1	1	53	2
elt1	1	54	1
elt1	1	55	3
elt1	1	56	8
elt1	1	57	4
elt1	1	58	2
elt1	1	59	4
elt1	1	60	1
elt1	1	61	2
elt1	1	62	4
elt1	1	63	2
elt1	1	64	1
elt1	1	65	3
elt1	1	66	3
elt1	1	67	3
elt1	1	68	3
elt1	1	69	1
elt1	1	70	1
elt1	1	71	2
elt1	1	72	0
elt1	1	73	1
elt1	1	74	0
elt1	1	75	1
elt1	1	76	3
elt1	1	77	2
elt1	1	78	0
elt1	1	79	0
elt1	1	80	2
elt1	1	81	1
elt1	1	82	1
elt1	1	83	0
elt1	1	84	1
elt1	1	85	0
elt1	1	86	1
elt1	1	87	0
elt1	1	88	2
elt1	1	89	2
elt1	1	90	1
elt1	1	91	2
elt1	1	92	0
elt1	1	93	0
elt1	1	94	1
elt1	1	95	0
elt1	1	96	0
elt1	1	97	0
elt1	1	98	1
elt1	1	99	0
elt1	1	100	0
elt1	1	101	0
elt1	1	102	0
elt1	1	103	0
elt1	1	104	0
elt1	1	105	0
elt1	1	106	1
elt2	1	1	425
elt2	1	2	688
elt2	1	3	986
elt2	1	4	1234
elt2	1	5	1225
elt2	1	6	1341
elt2	1	7	1330
elt2	1	8	1328
elt2	1	9	1114
elt2	1	10	1128
elt2	1	11	1039
elt2	1	12	822
elt2	1	13	716
elt2	1	14	617
elt2	1	15	558
elt2	1	16	422
elt2	1	17	391
elt2	1	18	301
elt2	1	19	234
elt2	1	20	225
elt2	1	21	153
elt2	1	22	109
elt2	1	23	83
elt2	1	24	70
elt2	1	25	48
elt2	1	26	33
elt2	1	27	19
elt2	1	28	25
elt2	1	29	16
elt2	1	30	14
elt2	1	31	5
elt2	1	32	8
elt2	1	33	8
elt2	1	34	4
elt2	1	35	1
elt2	1	36	3
elt2	1	37	3
elt2	1	38	3
elt2	1	39	0
elt2	1	40	1
elt2	1	41	0
elt2	1	42	0
elt2	1	43	1
elt2	1	44	0
elt2	1	45	0
elt2	1	46	1
elt2	1	47	0
elt2	1	48	0
elt2	1	49	0
elt2	1	50	0
elt2	1	51	0
elt2	1	52	0
elt2	1	53	0
elt2	1	54	0
elt2	1	55	0
elt2	1	56	0
elt2	1	57	0
elt2	1	58	0
elt2	1	59	0
elt2	1	60	0
elt2	1	61	0
elt2	1	62	0
elt2	1	63	0
elt2	1	64	0
elt2	1	65	0
elt2	1	66	0
elt2	1	67	0
elt2	1	68	0
elt2	1	69	0
elt2	1	70	0
elt2	1	71	0
elt2	1	72	0
elt2	1	73	0
elt2	1	74	0
elt2	1	75	0
elt2	1	76	0
elt2	1	77	0
elt2	1	78	0
elt2	1	79	0
elt2	1	80	0
elt2	1	81	0
elt2	1	82	0
