vertex.type	score.quantile	degree	number
elt1	1	1	34380
elt1	1	2	11966
elt1	1	3	4731
elt1	1	4	2754
elt1	1	5	1824
elt1	1	6	1327
elt1	1	7	858
elt1	1	8	743
elt1	1	9	594
elt1	1	10	436
elt1	1	11	349
elt1	1	12	325
elt1	1	13	241
elt1	1	14	235
elt1	1	15	178
elt1	1	16	129
elt1	1	17	131
elt1	1	18	90
elt1	1	19	86
elt1	1	20	57
elt1	1	21	64
elt1	1	22	55
elt1	1	23	33
elt1	1	24	25
elt1	1	25	25
elt1	1	26	22
elt1	1	27	16
elt1	1	28	14
elt1	1	29	12
elt1	1	30	22
elt1	1	31	17
elt1	1	32	3
elt1	1	33	9
elt1	1	34	6
elt1	1	35	3
elt1	1	36	4
elt1	1	37	2
elt1	1	38	3
elt1	1	39	6
elt1	1	40	3
elt1	1	41	0
elt1	1	42	5
elt1	1	43	3
elt1	1	44	2
elt1	1	45	2
elt1	1	46	4
elt1	1	47	0
elt1	1	48	0
elt1	1	49	0
elt1	1	50	1
elt1	1	51	1
elt1	1	52	0
elt1	1	53	3
elt1	1	54	0
elt1	1	55	0
elt1	1	56	0
elt1	1	57	1
elt1	1	58	1
elt1	1	59	0
elt1	1	60	1
elt1	1	61	0
elt1	1	62	0
elt1	1	63	0
elt1	1	64	0
elt1	1	65	1
elt1	1	66	0
elt1	1	67	1
elt2	1	1	421
elt2	1	2	680
elt2	1	3	971
elt2	1	4	1223
elt2	1	5	1184
elt2	1	6	1310
elt2	1	7	1316
elt2	1	8	1296
elt2	1	9	1094
elt2	1	10	1122
elt2	1	11	1016
elt2	1	12	872
elt2	1	13	694
elt2	1	14	615
elt2	1	15	593
elt2	1	16	429
elt2	1	17	407
elt2	1	18	305
elt2	1	19	260
elt2	1	20	235
elt2	1	21	166
elt2	1	22	123
elt2	1	23	107
elt2	1	24	67
elt2	1	25	53
elt2	1	26	50
elt2	1	27	20
elt2	1	28	22
elt2	1	29	21
elt2	1	30	18
elt2	1	31	4
elt2	1	32	11
elt2	1	33	2
elt2	1	34	9
elt2	1	35	3
elt2	1	36	1
elt2	1	37	2
elt2	1	38	5
