vertex.type	score.quantile	degree	number
elt1	1	1	19678
elt1	1	2	10645
elt1	1	3	4503
elt1	1	4	3563
elt1	1	5	1967
elt1	1	6	1709
elt1	1	7	1139
elt1	1	8	1012
elt1	1	9	736
elt1	1	10	676
elt1	1	11	565
elt1	1	12	489
elt1	1	13	389
elt1	1	14	370
elt1	1	15	326
elt1	1	16	236
elt1	1	17	226
elt1	1	18	160
elt1	1	19	200
elt1	1	20	149
elt1	1	21	126
elt1	1	22	127
elt1	1	23	125
elt1	1	24	102
elt1	1	25	103
elt1	1	26	73
elt1	1	27	90
elt1	1	28	54
elt1	1	29	80
elt1	1	30	70
elt1	1	31	82
elt1	1	32	56
elt1	1	33	64
elt1	1	34	64
elt1	1	35	41
elt1	1	36	39
elt1	1	37	48
elt1	1	38	45
elt1	1	39	31
elt1	1	40	32
elt1	1	41	31
elt1	1	42	29
elt1	1	43	34
elt1	1	44	22
elt1	1	45	41
elt1	1	46	28
elt1	1	47	24
elt1	1	48	27
elt1	1	49	18
elt1	1	50	18
elt1	1	51	15
elt1	1	52	21
elt1	1	53	20
elt1	1	54	14
elt1	1	55	15
elt1	1	56	19
elt1	1	57	8
elt1	1	58	16
elt1	1	59	16
elt1	1	60	17
elt1	1	61	13
elt1	1	62	9
elt1	1	63	14
elt1	1	64	7
elt1	1	65	7
elt1	1	66	14
elt1	1	67	10
elt1	1	68	13
elt1	1	69	3
elt1	1	70	4
elt1	1	71	7
elt1	1	72	9
elt1	1	73	8
elt1	1	74	6
elt1	1	75	2
elt1	1	76	7
elt1	1	77	6
elt1	1	78	5
elt1	1	79	4
elt1	1	80	6
elt1	1	81	3
elt1	1	82	2
elt1	1	83	3
elt1	1	84	6
elt1	1	85	3
elt1	1	86	1
elt1	1	87	5
elt1	1	88	2
elt1	1	89	2
elt1	1	90	2
elt1	1	91	3
elt1	1	92	2
elt1	1	93	3
elt1	1	94	5
elt1	1	95	2
elt1	1	96	5
elt1	1	97	3
elt1	1	98	3
elt1	1	99	1
elt1	1	100	3
elt1	1	101	1
elt1	1	102	2
elt1	1	103	0
elt1	1	104	3
elt1	1	105	0
elt1	1	106	0
elt1	1	107	2
elt1	1	108	1
elt1	1	109	0
elt1	1	110	2
elt1	1	111	2
elt1	1	112	1
elt1	1	113	0
elt1	1	114	1
elt1	1	115	0
elt1	1	116	0
elt1	1	117	0
elt1	1	118	2
elt1	1	119	0
elt1	1	120	1
elt1	1	121	0
elt1	1	122	0
elt1	1	123	3
elt1	1	124	3
elt1	1	125	1
elt1	1	126	0
elt1	1	127	1
elt1	1	128	1
elt1	1	129	1
elt1	1	130	1
elt1	1	131	1
elt1	1	132	0
elt1	1	133	1
elt1	1	134	0
elt1	1	135	1
elt1	1	136	0
elt1	1	137	2
elt1	1	138	1
elt1	1	139	0
elt1	1	140	0
elt1	1	141	2
elt1	1	142	0
elt1	1	143	0
elt1	1	144	1
elt1	1	145	1
elt1	1	146	2
elt1	1	147	0
elt1	1	148	0
elt1	1	149	0
elt1	1	150	0
elt1	1	151	0
elt1	1	152	0
elt1	1	153	0
elt1	1	154	0
elt1	1	155	1
elt1	1	156	0
elt1	1	157	0
