vertex.type	score.quantile	degree	number
elt1	1	1	23543
elt1	1	2	12135
elt1	1	3	4952
elt1	1	4	3827
elt1	1	5	2096
elt1	1	6	1800
elt1	1	7	1204
elt1	1	8	1040
elt1	1	9	767
elt1	1	10	724
elt1	1	11	554
elt1	1	12	507
elt1	1	13	394
elt1	1	14	381
elt1	1	15	319
elt1	1	16	252
elt1	1	17	222
elt1	1	18	157
elt1	1	19	204
elt1	1	20	148
elt1	1	21	140
elt1	1	22	128
elt1	1	23	127
elt1	1	24	103
elt1	1	25	102
elt1	1	26	81
elt1	1	27	95
elt1	1	28	64
elt1	1	29	76
elt1	1	30	77
elt1	1	31	79
elt1	1	32	56
elt1	1	33	69
elt1	1	34	53
elt1	1	35	44
elt1	1	36	39
elt1	1	37	49
elt1	1	38	39
elt1	1	39	36
elt1	1	40	29
elt1	1	41	31
elt1	1	42	30
elt1	1	43	31
elt1	1	44	19
elt1	1	45	43
elt1	1	46	30
elt1	1	47	24
elt1	1	48	27
elt1	1	49	21
elt1	1	50	21
elt1	1	51	11
elt1	1	52	19
elt1	1	53	20
elt1	1	54	16
elt1	1	55	17
elt1	1	56	17
elt1	1	57	11
elt1	1	58	13
elt1	1	59	14
elt1	1	60	18
elt1	1	61	10
elt1	1	62	11
elt1	1	63	13
elt1	1	64	8
elt1	1	65	7
elt1	1	66	13
elt1	1	67	11
elt1	1	68	13
elt1	1	69	4
elt1	1	70	4
elt1	1	71	7
elt1	1	72	9
elt1	1	73	7
elt1	1	74	6
elt1	1	75	2
elt1	1	76	6
elt1	1	77	6
elt1	1	78	5
elt1	1	79	3
elt1	1	80	6
elt1	1	81	3
elt1	1	82	2
elt1	1	83	3
elt1	1	84	5
elt1	1	85	3
elt1	1	86	3
elt1	1	87	4
elt1	1	88	2
elt1	1	89	2
elt1	1	90	3
elt1	1	91	2
elt1	1	92	4
elt1	1	93	4
elt1	1	94	4
elt1	1	95	1
elt1	1	96	5
elt1	1	97	3
elt1	1	98	3
elt1	1	99	1
elt1	1	100	2
elt1	1	101	1
elt1	1	102	2
elt1	1	103	0
elt1	1	104	2
elt1	1	105	0
elt1	1	106	0
elt1	1	107	2
elt1	1	108	1
elt1	1	109	0
elt1	1	110	3
elt1	1	111	2
elt1	1	112	0
elt1	1	113	0
elt1	1	114	1
elt1	1	115	0
elt1	1	116	0
elt1	1	117	0
elt1	1	118	2
elt1	1	119	0
elt1	1	120	0
elt1	1	121	0
