vertex.type	score.quantile	degree	number
elt1	1	1	57540
elt1	1	2	19657
elt1	1	3	7613
elt1	1	4	4593
elt1	1	5	3023
elt1	1	6	2180
elt1	1	7	1439
elt1	1	8	1174
elt1	1	9	961
elt1	1	10	755
elt1	1	11	597
elt1	1	12	548
elt1	1	13	432
elt1	1	14	367
elt1	1	15	298
elt1	1	16	223
elt1	1	17	222
elt1	1	18	179
elt1	1	19	154
elt1	1	20	110
elt1	1	21	104
elt1	1	22	94
elt1	1	23	76
elt1	1	24	52
elt1	1	25	47
elt1	1	26	47
elt1	1	27	35
elt1	1	28	28
elt1	1	29	23
elt1	1	30	34
elt1	1	31	30
elt1	1	32	10
elt1	1	33	14
elt1	1	34	13
elt1	1	35	10
elt1	1	36	7
elt1	1	37	6
elt1	1	38	11
elt1	1	39	9
elt1	1	40	7
elt1	1	41	2
elt1	1	42	6
elt1	1	43	5
elt1	1	44	7
elt1	1	45	3
elt1	1	46	9
elt1	1	47	2
elt1	1	48	1
elt1	1	49	2
elt1	1	50	3
elt1	1	51	4
elt1	1	52	1
elt1	1	53	4
elt1	1	54	1
elt1	1	55	1
elt1	1	56	0
elt1	1	57	2
elt1	1	58	2
elt1	1	59	1
elt1	1	60	1
elt1	1	61	1
elt1	1	62	1
elt1	1	63	0
elt1	1	64	0
elt1	1	65	1
elt1	1	66	0
elt1	1	67	1
elt1	1	68	0
elt1	1	69	0
elt1	1	70	0
elt1	1	71	0
elt1	1	72	0
elt1	1	73	0
elt1	1	74	0
elt1	1	75	0
elt1	1	76	1
elt2	1	1	233
elt2	1	2	383
elt2	1	3	510
elt2	1	4	586
elt2	1	5	651
elt2	1	6	692
elt2	1	7	670
elt2	1	8	735
elt2	1	9	735
elt2	1	10	777
elt2	1	11	854
elt2	1	12	820
elt2	1	13	736
elt2	1	14	755
elt2	1	15	743
elt2	1	16	672
elt2	1	17	653
elt2	1	18	642
elt2	1	19	581
elt2	1	20	530
elt2	1	21	487
elt2	1	22	477
elt2	1	23	431
elt2	1	24	361
elt2	1	25	336
elt2	1	26	271
elt2	1	27	263
elt2	1	28	254
elt2	1	29	231
elt2	1	30	196
elt2	1	31	176
elt2	1	32	146
elt2	1	33	111
elt2	1	34	92
elt2	1	35	81
elt2	1	36	81
elt2	1	37	73
elt2	1	38	74
elt2	1	39	54
elt2	1	40	46
elt2	1	41	30
elt2	1	42	28
elt2	1	43	26
elt2	1	44	22
elt2	1	45	17
elt2	1	46	23
elt2	1	47	10
elt2	1	48	10
elt2	1	49	8
elt2	1	50	9
elt2	1	51	5
elt2	1	52	1
elt2	1	53	3
elt2	1	54	3
elt2	1	55	1
elt2	1	56	2
elt2	1	57	1
elt2	1	58	0
elt2	1	59	0
