vertex.type	score.quantile	degree	number
elt1	1	1	10304
elt1	1	2	3445
elt1	1	3	1327
elt1	1	4	859
elt1	1	5	592
elt1	1	6	385
elt1	1	7	274
elt1	1	8	216
elt1	1	9	156
elt1	1	10	153
elt1	1	11	107
elt1	1	12	113
elt1	1	13	91
elt1	1	14	65
elt1	1	15	58
elt1	1	16	50
elt1	1	17	38
elt1	1	18	43
elt1	1	19	45
elt1	1	20	25
elt1	1	21	25
elt1	1	22	18
elt1	1	23	21
elt1	1	24	14
elt1	1	25	11
elt1	1	26	15
elt1	1	27	8
elt1	1	28	7
elt1	1	29	4
elt1	1	30	5
elt1	1	31	7
elt1	1	32	3
elt1	1	33	4
elt1	1	34	4
elt1	1	35	3
elt1	1	36	2
elt1	1	37	2
elt1	1	38	4
elt1	1	39	2
elt1	1	40	3
elt1	1	41	1
elt1	1	42	1
elt1	1	43	1
elt1	1	44	2
elt1	1	45	1
elt1	1	46	4
elt1	1	47	2
elt1	1	48	0
elt1	1	49	1
elt1	1	50	1
elt1	1	51	2
elt1	1	52	0
elt1	1	53	0
elt1	1	54	0
elt1	1	55	1
elt1	1	56	0
elt1	1	57	1
elt1	1	58	0
elt1	1	59	1
elt2	1	1	1923
elt2	1	2	2697
elt2	1	3	2687
elt2	1	4	2262
elt2	1	5	1680
elt2	1	6	1098
elt2	1	7	653
elt2	1	8	370
elt2	1	9	189
elt2	1	10	121
elt2	1	11	38
elt2	1	12	27
elt2	1	13	2
elt2	1	14	2
elt2	1	15	0
elt2	1	16	1
elt2	1	17	0
elt2	1	18	1
elt2	1	19	0
elt2	1	20	1
elt1	2	1	9081
elt1	2	2	2867
elt1	2	3	1137
elt1	2	4	654
elt1	2	5	435
elt1	2	6	297
elt1	2	7	194
elt1	2	8	154
elt1	2	9	129
elt1	2	10	106
elt1	2	11	83
elt1	2	12	72
elt1	2	13	59
elt1	2	14	47
elt1	2	15	28
elt1	2	16	32
elt1	2	17	27
elt1	2	18	26
elt1	2	19	18
elt1	2	20	20
elt1	2	21	16
elt1	2	22	10
elt1	2	23	4
elt1	2	24	6
elt1	2	25	6
elt1	2	26	10
elt1	2	27	6
elt1	2	28	3
elt1	2	29	5
elt1	2	30	3
elt1	2	31	3
elt1	2	32	2
elt1	2	33	4
elt1	2	34	2
elt1	2	35	1
elt1	2	36	2
elt1	2	37	1
elt1	2	38	2
elt1	2	39	3
elt1	2	40	0
elt1	2	41	0
elt1	2	42	0
elt1	2	43	1
elt1	2	44	2
elt1	2	45	0
elt1	2	46	0
elt1	2	47	0
elt1	2	48	0
elt1	2	49	0
elt1	2	50	0
elt1	2	51	1
elt1	2	52	0
elt1	2	53	0
elt1	2	54	0
elt1	2	55	0
elt1	2	56	0
elt1	2	57	1
elt2	2	1	3014
elt2	2	2	3284
elt2	2	3	2607
elt2	2	4	1819
elt2	2	5	1124
elt2	2	6	650
elt2	2	7	274
elt2	2	8	150
elt2	2	9	46
elt2	2	10	21
elt2	2	11	4
elt2	2	12	2
elt2	2	13	0
elt2	2	14	0
elt2	2	15	0
elt2	2	16	0
elt2	2	17	0
elt2	2	18	0
elt2	2	19	0
elt2	2	20	1
elt1	3	1	7440
elt1	3	2	2293
elt1	3	3	802
elt1	3	4	459
elt1	3	5	276
elt1	3	6	185
elt1	3	7	121
elt1	3	8	92
elt1	3	9	82
elt1	3	10	62
elt1	3	11	42
elt1	3	12	48
elt1	3	13	18
elt1	3	14	13
elt1	3	15	23
elt1	3	16	14
elt1	3	17	12
elt1	3	18	8
elt1	3	19	7
elt1	3	20	5
elt1	3	21	2
elt1	3	22	3
elt1	3	23	7
elt1	3	24	3
elt1	3	25	2
elt1	3	26	4
elt1	3	27	3
elt1	3	28	2
elt1	3	29	1
elt1	3	30	2
elt1	3	31	3
elt1	3	32	1
elt1	3	33	2
elt1	3	34	0
elt1	3	35	1
elt1	3	36	0
elt1	3	37	0
elt1	3	38	0
elt1	3	39	0
elt1	3	40	0
elt1	3	41	0
elt1	3	42	0
elt1	3	43	0
elt1	3	44	0
elt1	3	45	0
elt1	3	46	0
elt1	3	47	0
elt1	3	48	0
elt1	3	49	1
elt1	3	50	0
elt1	3	51	0
elt1	3	52	0
elt1	3	53	0
elt1	3	54	1
elt2	3	1	4390
elt2	3	2	3252
elt2	3	3	2025
elt2	3	4	1088
elt2	3	5	431
elt2	3	6	198
elt2	3	7	57
elt2	3	8	26
elt2	3	9	4
elt2	3	10	3
elt2	3	11	0
elt2	3	12	0
elt2	3	13	0
elt2	3	14	0
elt2	3	15	0
elt2	3	16	1
elt1	4	1	5117
elt1	4	2	1349
elt1	4	3	437
elt1	4	4	213
elt1	4	5	108
elt1	4	6	71
elt1	4	7	61
elt1	4	8	26
elt1	4	9	17
elt1	4	10	17
elt1	4	11	10
elt1	4	12	12
elt1	4	13	10
elt1	4	14	4
elt1	4	15	3
elt1	4	16	0
elt1	4	17	2
elt1	4	18	5
elt1	4	19	2
elt1	4	20	0
elt1	4	21	1
elt1	4	22	0
elt1	4	23	0
elt1	4	24	1
elt1	4	25	1
elt1	4	26	1
elt1	4	27	0
elt1	4	28	0
elt1	4	29	0
elt1	4	30	0
elt1	4	31	1
elt2	4	1	4951
elt2	4	2	2199
elt2	4	3	704
elt2	4	4	221
elt2	4	5	49
elt2	4	6	12
elt2	4	7	2
