vertex.type	score.quantile	degree	number
elt1	1	1	11675
elt1	1	2	3821
elt1	1	3	1444
elt1	1	4	920
elt1	1	5	616
elt1	1	6	412
elt1	1	7	290
elt1	1	8	222
elt1	1	9	167
elt1	1	10	159
elt1	1	11	110
elt1	1	12	114
elt1	1	13	96
elt1	1	14	65
elt1	1	15	59
elt1	1	16	50
elt1	1	17	39
elt1	1	18	43
elt1	1	19	45
elt1	1	20	25
elt1	1	21	25
elt1	1	22	18
elt1	1	23	22
elt1	1	24	14
elt1	1	25	11
elt1	1	26	16
elt1	1	27	8
elt1	1	28	7
elt1	1	29	4
elt1	1	30	5
elt1	1	31	7
elt1	1	32	3
elt1	1	33	4
elt1	1	34	4
elt1	1	35	3
elt1	1	36	2
elt1	1	37	2
elt1	1	38	4
elt1	1	39	2
elt1	1	40	3
elt1	1	41	1
elt1	1	42	1
elt1	1	43	1
elt1	1	44	2
elt1	1	45	1
elt1	1	46	4
elt1	1	47	2
elt1	1	48	0
elt1	1	49	1
elt1	1	50	1
elt1	1	51	2
elt1	1	52	0
elt1	1	53	0
elt1	1	54	0
elt1	1	55	1
elt1	1	56	0
elt1	1	57	1
elt1	1	58	0
elt1	1	59	1
elt2	1	1	1787
elt2	1	2	2508
elt2	1	3	2516
elt2	1	4	2157
elt2	1	5	1703
elt2	1	6	1207
elt2	1	7	767
elt2	1	8	505
elt2	1	9	260
elt2	1	10	186
elt2	1	11	71
elt2	1	12	53
elt2	1	13	13
elt2	1	14	11
elt2	1	15	3
elt2	1	16	3
elt2	1	17	0
elt2	1	18	1
elt2	1	19	0
elt2	1	20	1
elt1	2	1	10284
elt1	2	2	3186
elt1	2	3	1204
elt1	2	4	687
elt1	2	5	458
elt1	2	6	310
elt1	2	7	203
elt1	2	8	160
elt1	2	9	131
elt1	2	10	113
elt1	2	11	85
elt1	2	12	73
elt1	2	13	60
elt1	2	14	47
elt1	2	15	28
elt1	2	16	32
elt1	2	17	27
elt1	2	18	26
elt1	2	19	19
elt1	2	20	21
elt1	2	21	15
elt1	2	22	10
elt1	2	23	4
elt1	2	24	6
elt1	2	25	6
elt1	2	26	10
elt1	2	27	6
elt1	2	28	4
elt1	2	29	4
elt1	2	30	3
elt1	2	31	3
elt1	2	32	2
elt1	2	33	4
elt1	2	34	2
elt1	2	35	1
elt1	2	36	2
elt1	2	37	1
elt1	2	38	2
elt1	2	39	3
elt1	2	40	0
elt1	2	41	0
elt1	2	42	0
elt1	2	43	1
elt1	2	44	2
elt1	2	45	0
elt1	2	46	0
elt1	2	47	0
elt1	2	48	0
elt1	2	49	0
elt1	2	50	0
elt1	2	51	1
elt1	2	52	0
elt1	2	53	0
elt1	2	54	0
elt1	2	55	0
elt1	2	56	0
elt1	2	57	1
elt2	2	1	2802
elt2	2	2	3110
elt2	2	3	2470
elt2	2	4	1859
elt2	2	5	1229
elt2	2	6	757
elt2	2	7	390
elt2	2	8	206
elt2	2	9	107
elt2	2	10	43
elt2	2	11	17
elt2	2	12	5
elt2	2	13	4
elt2	2	14	1
elt2	2	15	0
elt2	2	16	0
elt2	2	17	0
elt2	2	18	0
elt2	2	19	0
elt2	2	20	1
elt1	3	1	8421
elt1	3	2	2510
elt1	3	3	837
elt1	3	4	471
elt1	3	5	290
elt1	3	6	195
elt1	3	7	132
elt1	3	8	95
elt1	3	9	79
elt1	3	10	65
elt1	3	11	41
elt1	3	12	49
elt1	3	13	16
elt1	3	14	13
elt1	3	15	23
elt1	3	16	13
elt1	3	17	12
elt1	3	18	9
elt1	3	19	5
elt1	3	20	5
elt1	3	21	4
elt1	3	22	4
elt1	3	23	6
elt1	3	24	2
elt1	3	25	2
elt1	3	26	4
elt1	3	27	3
elt1	3	28	2
elt1	3	29	1
elt1	3	30	2
elt1	3	31	3
elt1	3	32	2
elt1	3	33	1
elt1	3	34	0
elt1	3	35	1
elt1	3	36	0
elt1	3	37	0
elt1	3	38	0
elt1	3	39	0
elt1	3	40	0
elt1	3	41	0
elt1	3	42	0
elt1	3	43	0
elt1	3	44	0
elt1	3	45	0
elt1	3	46	0
elt1	3	47	0
elt1	3	48	0
elt1	3	49	1
elt1	3	50	0
elt1	3	51	0
elt1	3	52	1
elt2	3	1	4103
elt2	3	2	3177
elt2	3	3	2002
elt2	3	4	1165
elt2	3	5	555
elt2	3	6	292
elt2	3	7	110
elt2	3	8	55
elt2	3	9	18
elt2	3	10	7
elt2	3	11	0
elt2	3	12	0
elt2	3	13	0
elt2	3	14	0
elt2	3	15	0
elt2	3	16	1
elt1	4	1	5701
elt1	4	2	1477
elt1	4	3	446
elt1	4	4	207
elt1	4	5	114
elt1	4	6	82
elt1	4	7	52
elt1	4	8	29
elt1	4	9	21
elt1	4	10	14
elt1	4	11	11
elt1	4	12	11
elt1	4	13	8
elt1	4	14	4
elt1	4	15	3
elt1	4	16	1
elt1	4	17	2
elt1	4	18	3
elt1	4	19	2
elt1	4	20	1
elt1	4	21	1
elt1	4	22	0
elt1	4	23	1
elt1	4	24	0
elt1	4	25	1
elt1	4	26	1
elt1	4	27	0
elt1	4	28	0
elt1	4	29	0
elt1	4	30	0
elt1	4	31	1
elt2	4	1	4704
elt2	4	2	2266
elt2	4	3	804
elt2	4	4	305
elt2	4	5	102
elt2	4	6	20
elt2	4	7	8
