ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0032728	positive regulation of interferon-beta production	1/3	30/18866	0.00476315684340134	0.0376683409480806	0.0125213321711071	POLR3D	1
GO:0006383	transcription by RNA polymerase III	1/3	47/18866	0.00745555295749445	0.0376683409480806	0.0125213321711071	POLR3D	1
GO:0032648	regulation of interferon-beta production	1/3	48/18866	0.007613777801595	0.0376683409480806	0.0125213321711071	POLR3D	1
GO:0032608	interferon-beta production	1/3	50/18866	0.00793017704170118	0.0376683409480806	0.0125213321711071	POLR3D	1
GO:0032481	positive regulation of type I interferon production	1/3	74/18866	0.0117217238305665	0.0445425505561526	0.014806387996505	POLR3D	1
GO:0032479	regulation of type I interferon production	1/3	125/18866	0.0197466593473079	0.0544498588384803	0.0180996760681929	POLR3D	1
GO:0032606	type I interferon production	1/3	127/18866	0.0200604743089138	0.0544498588384803	0.0180996760681929	POLR3D	1
GO:0006611	protein export from nucleus	1/3	184/18866	0.0289760703212865	0.0636333683623743	0.0211523662146397	XPO7	1
GO:0051168	nuclear export	1/3	204/18866	0.0320914861491222	0.0636333683623743	0.0211523662146397	XPO7	1
GO:0045089	positive regulation of innate immune response	1/3	213/18866	0.0334912465065128	0.0636333683623743	0.0211523662146397	POLR3D	1
GO:0002833	positive regulation of response to biotic stimulus	1/3	251/18866	0.0393864682044772	0.0640771970180165	0.0212998992857673	POLR3D	1
GO:0051607	defense response to virus	1/3	258/18866	0.0404698086429578	0.0640771970180165	0.0212998992857673	POLR3D	1
GO:0045088	regulation of innate immune response	1/3	307/18866	0.0480303943603896	0.0661487742376371	0.0219885122119569	POLR3D	1
GO:0009615	response to virus	1/3	349/18866	0.0544791987381379	0.0661487742376371	0.0219885122119569	POLR3D	1
GO:0006913	nucleocytoplasmic transport	1/3	354/18866	0.0552449679383497	0.0661487742376371	0.0219885122119569	XPO7	1
GO:0051169	nuclear transport	1/3	357/18866	0.0557042309369575	0.0661487742376371	0.0219885122119569	XPO7	1
GO:0031349	positive regulation of defense response	1/3	385/18866	0.0599835103832822	0.067040393957786	0.022284895498433	POLR3D	1
GO:0002831	regulation of response to biotic stimulus	1/3	409/18866	0.0636411579909342	0.0671767778793194	0.022330230874012	POLR3D	1
GO:0001819	positive regulation of cytokine production	1/3	447/18866	0.0694130086899353	0.0694130086899353	0.0230735762958234	POLR3D	1
