ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010273	detoxification of copper ion	10/310	15/18866	3.46801653045218e-15	5.79852363891604e-12	5.69484819737411e-12	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:1990169	stress response to copper ion	10/310	15/18866	3.46801653045218e-15	5.79852363891604e-12	5.69484819737411e-12	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0061687	detoxification of inorganic compound	10/310	17/18866	2.18148007139636e-14	1.82371733968736e-11	1.79110995335701e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0097501	stress response to metal ion	10/310	17/18866	2.18148007139636e-14	1.82371733968736e-11	1.79110995335701e-11	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046916	cellular transition metal ion homeostasis	19/310	116/18866	4.97669814534519e-14	3.32841571960686e-11	3.26890488704779e-11	SLC11A2/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/HAMP/CYBRD1/SLC40A1/TMPRSS6/TFRC/BMP6/HFE/TFR2	19
GO:0055076	transition metal ion homeostasis	20/310	138/18866	1.18030836760298e-13	6.57825196877392e-11	6.4606352753005e-11	SLC11A2/NEO1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/HAMP/CYBRD1/SLC40A1/TMPRSS6/TFRC/BMP6/HFE/TFR2	20
GO:0071280	cellular response to copper ion	11/310	28/18866	3.30890768079085e-13	1.58071246922352e-10	1.55244991940864e-10	CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	11
GO:0071294	cellular response to zinc ion	10/310	24/18866	1.98679243410747e-12	8.30479237456924e-10	8.15630578212542e-10	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0046688	response to copper ion	11/310	43/18866	7.11750142659445e-11	2.64454719672576e-08	2.59726367847657e-08	CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	11
GO:0006882	cellular zinc ion homeostasis	10/310	37/18866	2.92065514233029e-10	9.76667079595249e-08	9.59204636217948e-08	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071276	cellular response to cadmium ion	10/310	38/18866	3.906535738177e-10	1.18758686440581e-07	1.16635325388634e-07	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0055069	zinc ion homeostasis	10/310	39/18866	5.17779540982199e-10	1.44287898753706e-07	1.41708084900391e-07	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0010043	response to zinc ion	11/310	54/18866	1.0086089491562e-09	2.59445255844486e-07	2.54806471365776e-07	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/HAMP	11
GO:0071248	cellular response to metal ion	17/310	193/18866	2.15558522803929e-08	5.14876928754526e-06	5.05671121164103e-06	CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2/SLC40A1/BMP6/GPLD1/HFE/TFR2	17
GO:0010038	response to metal ion	23/310	366/18866	4.42473701324922e-08	9.85847098028416e-06	9.68220519342942e-06	TXNIP/ATF1/SLC11A2/CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2/HAMP/CYBRD1/SLC25A12/SLC40A1/BMP6/GPLD1/HFE/TFR2	23
GO:0010039	response to iron ion	8/310	33/18866	4.71697176090151e-08	9.85847098028416e-06	9.68220519342942e-06	SLC11A2/CYP1A1/HAMP/CYBRD1/SLC40A1/BMP6/HFE/TFR2	8
GO:0046686	response to cadmium ion	10/310	64/18866	8.58091905189142e-08	1.68791725350147e-05	1.65773792209915e-05	MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	10
GO:0071241	cellular response to inorganic substance	17/310	221/18866	1.5668224460332e-07	2.9108079219639e-05	2.85876376118338e-05	CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/CPNE2/SLC40A1/BMP6/GPLD1/HFE/TFR2	17
GO:0055072	iron ion homeostasis	10/310	87/18866	1.62406369787129e-06	0.000285835210825348	0.000280724583787171	SLC11A2/NEO1/HAMP/CYBRD1/SLC40A1/TMPRSS6/TFRC/BMP6/HFE/TFR2	10
GO:0006879	cellular iron ion homeostasis	9/310	70/18866	2.09936741946682e-06	0.000351014232534852	0.000344738228880867	SLC11A2/HAMP/CYBRD1/SLC40A1/TMPRSS6/TFRC/BMP6/HFE/TFR2	9
GO:0045926	negative regulation of growth	16/310	254/18866	5.04782027565451e-06	0.000803805285799461	0.000789433546869277	ACVRL1/ACVR1B/PML/SEMA7A/BBS2/MT2A/MT1E/MT1M/MT1A/MT1B/MT1F/MT1G/MT1H/MT1X/MAG/KIAA0319	16
GO:0006536	glutamate metabolic process	6/310	33/18866	1.42912518942348e-05	0.00217227028792369	0.00213343090478529	GOT2/PRODH2/GAD1/SLC25A12/GLS/ALDH5A1	6
GO:0009636	response to toxic substance	15/310	250/18866	1.77619533542773e-05	0.0024853934168374	0.00244095550885566	PDZK1/CYP1A1/CES1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X/ARHGAP33/MPST	15
GO:0098754	detoxification	11/310	138/18866	1.78377517954837e-05	0.0024853934168374	0.00244095550885566	PDZK1/MT2A/MT1E/MT1M/MT1A/MT1DP/MT1B/MT1F/MT1G/MT1H/MT1X	11
GO:0071281	cellular response to iron ion	4/310	11/18866	2.15421543105305e-05	0.00288147856057656	0.00282995879784653	SLC40A1/BMP6/HFE/TFR2	4
GO:0034755	iron ion transmembrane transport	4/310	18/18866	0.000182384327705068	0.0234574304556057	0.0230380203416928	SLC11A2/HAMP/SLC40A1/HFE	4
GO:0009063	cellular amino acid catabolic process	9/310	124/18866	0.000211365920207567	0.026178060636078	0.0257100066685228	CSAD/GOT2/PRODH2/GAD1/HIBCH/GLS/TST/MPST/ALDH5A1	9
GO:0009064	glutamine family amino acid metabolic process	7/310	75/18866	0.000230654760433174	0.0275467685317333	0.0270542425771241	GOT2/PRODH2/GAD1/SLC25A12/ASNSD1/GLS/ALDH5A1	7
GO:0032402	melanosome transport	4/310	22/18866	0.000413970706252227	0.0477351048864637	0.0468816190020671	BBS4/BBS2/BBS5/BLOC1S5	4
