ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0021877	forebrain neuron fate commitment	2/25	10/18866	7.53706930882756e-05	0.0176988696951212	0.0138728434249086	DLX1/DLX2	2
GO:0021892	cerebral cortex GABAergic interneuron differentiation	2/25	11/18866	9.2044894957025e-05	0.0176988696951212	0.0138728434249086	DLX1/DLX2	2
GO:0048715	negative regulation of oligodendrocyte differentiation	2/25	13/18866	0.000130324398488687	0.0176988696951212	0.0138728434249086	DLX1/DLX2	2
GO:0097154	GABAergic neuron differentiation	2/25	14/18866	0.000151921628284302	0.0176988696951212	0.0138728434249086	DLX1/DLX2	2
GO:0060850	regulation of transcription involved in cell fate commitment	2/25	16/18866	0.000200010917346739	0.0179574695642736	0.0140755408601828	DLX1/DLX2	2
GO:0042475	odontogenesis of dentin-containing tooth	3/25	91/18866	0.000231212054475625	0.0179574695642736	0.0140755408601828	DLX1/DLX2/ITGA6	3
GO:0021544	subpallium development	2/25	24/18866	0.000457045446121141	0.0289144422250163	0.0226639066005888	DLX1/DLX2	2
GO:0021895	cerebral cortex neuron differentiation	2/25	25/18866	0.000496385274249206	0.0289144422250163	0.0226639066005888	DLX1/DLX2	2
GO:0045686	negative regulation of glial cell differentiation	2/25	28/18866	0.000623923809058295	0.032059554987515	0.0251291293893556	DLX1/DLX2	2
GO:0042476	odontogenesis	3/25	132/18866	0.000687973282993885	0.032059554987515	0.0251291293893556	DLX1/DLX2/ITGA6	3
GO:0006536	glutamate metabolic process	2/25	33/18866	0.000867982559478038	0.0337066560597305	0.0264201708893754	GAD1/SLC25A12	2
GO:0009954	proximal/distal pattern formation	2/25	33/18866	0.000867982559478038	0.0337066560597305	0.0264201708893754	DLX1/DLX2	2
GO:0045746	negative regulation of Notch signaling pathway	2/25	40/18866	0.00127498436045487	0.0424387651408549	0.0332646295547248	DLX1/DLX2	2
GO:0048713	regulation of oligodendrocyte differentiation	2/25	40/18866	0.00127498436045487	0.0424387651408549	0.0332646295547248	DLX1/DLX2	2
GO:1900371	regulation of purine nucleotide biosynthetic process	2/25	42/18866	0.00140510506982973	0.0428851629312418	0.033614527980892	SLC25A12/PDK1	2
GO:0030808	regulation of nucleotide biosynthetic process	2/25	43/18866	0.00147245194613706	0.0428851629312418	0.033614527980892	SLC25A12/PDK1	2
GO:0014014	negative regulation of gliogenesis	2/25	46/18866	0.001683592785944	0.0461502493088179	0.0361737892707472	DLX1/DLX2	2
