ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0009952	anterior/posterior pattern specification	7/54	219/18866	2.87581002588356e-06	0.00287005840583179	0.00264877239226117	RARG/HOXC10/HOXC9/HOXC8/HOXC4/HOXC6/HOXC5	7
GO:0003002	regionalization	8/54	355/18866	7.10510264625135e-06	0.00354544622047942	0.00327208674498417	ACVRL1/RARG/HOXC10/HOXC9/HOXC8/HOXC4/HOXC6/HOXC5	8
GO:0007389	pattern specification process	8/54	455/18866	4.23174651873624e-05	0.0140776100856625	0.0129922042241902	ACVRL1/RARG/HOXC10/HOXC9/HOXC8/HOXC4/HOXC6/HOXC5	8
GO:0032924	activin receptor signaling pathway	3/54	45/18866	0.000288889356150794	0.0611477851703008	0.0564331948360017	ACVRL1/ACVR1B/AMHR2	3
GO:0070268	cornification	4/54	113/18866	0.000306351629109723	0.0611477851703008	0.0564331948360017	KRT80/KRT7/KRT18/KRT8	4
GO:0097284	hepatocyte apoptotic process	2/54	12/18866	0.000521069134791662	0.0743363847843973	0.0686049326931206	KRT18/KRT8	2
GO:0048706	embryonic skeletal system development	4/54	130/18866	0.000521397488467716	0.0743363847843973	0.0686049326931206	HOXC9/HOXC4/HOXC6/HOXC5	4
GO:0033627	cell adhesion mediated by integrin	3/54	71/18866	0.00110408491835807	0.132479681320199	0.12226528969009	ITGB7/ITGA5/NCKAP1L	3
GO:0035313	wound healing, spreading of epidermal cells	2/54	18/18866	0.00119470654497173	0.132479681320199	0.12226528969009	ACVRL1/ITGA5	2
GO:0050687	negative regulation of defense response to virus	2/54	25/18866	0.00231270121835986	0.212280157229425	0.195913023495145	PCBP2/TARBP2	2
GO:0019058	viral life cycle	5/54	341/18866	0.00286875999023414	0.212280157229425	0.195913023495145	ITGB7/AAAS/PCBP2/TARBP2/ITGA5	5
GO:0010923	negative regulation of phosphatase activity	3/54	104/18866	0.00329164716867094	0.212280157229425	0.195913023495145	CSRNP2/NCKAP1L/PPP1R1A	3
GO:0031424	keratinization	4/54	225/18866	0.0039072798131968	0.212280157229425	0.195913023495145	KRT80/KRT7/KRT18/KRT8	4
GO:0035305	negative regulation of dephosphorylation	3/54	111/18866	0.00395345268159926	0.212280157229425	0.195913023495145	CSRNP2/NCKAP1L/PPP1R1A	3
GO:0009954	proximal/distal pattern formation	2/54	33/18866	0.00401119702127613	0.212280157229425	0.195913023495145	HOXC10/HOXC9	2
GO:0044319	wound healing, spreading of cells	2/54	33/18866	0.00401119702127613	0.212280157229425	0.195913023495145	ACVRL1/ITGA5	2
GO:0090505	epiboly involved in wound healing	2/54	33/18866	0.00401119702127613	0.212280157229425	0.195913023495145	ACVRL1/ITGA5	2
GO:0048705	skeletal system morphogenesis	4/54	228/18866	0.00409546441743483	0.212280157229425	0.195913023495145	RARG/HOXC9/HOXC8/HOXC4	4
GO:0045648	positive regulation of erythrocyte differentiation	2/54	34/18866	0.00425411136732315	0.212280157229425	0.195913023495145	ACVR1B/NCKAP1L	2
GO:0090504	epiboly	2/54	34/18866	0.00425411136732315	0.212280157229425	0.195913023495145	ACVRL1/ITGA5	2
GO:2000279	negative regulation of DNA biosynthetic process	2/54	39/18866	0.00556796048720142	0.264610693629858	0.244208793298308	ACVRL1/HNRNPA1	2
GO:0045637	regulation of myeloid cell differentiation	4/54	263/18866	0.00676167128399169	0.306733997337441	0.283084324090561	ACVR1B/RARG/NFE2/NCKAP1L	4
GO:0043588	skin development	5/54	425/18866	0.00724541802738223	0.314388138753368	0.290148319174346	ACVR1B/KRT80/KRT7/KRT18/KRT8	5
GO:0030099	myeloid cell differentiation	5/54	431/18866	0.00767469421321313	0.319139367699446	0.29453322090182	ACVR1B/RARG/NFE2/NCKAP1L/PDE1B	5
GO:0010862	positive regulation of pathway-restricted SMAD protein phosphorylation	2/54	48/18866	0.00833785540804255	0.332847187889059	0.307184146612094	ACVRL1/ACVR1B	2
GO:0045646	regulation of erythrocyte differentiation	2/54	50/18866	0.00902190045001446	0.335885362314654	0.309988073014789	ACVR1B/NCKAP1L	2
GO:0035264	multicellular organism growth	3/54	150/18866	0.0090870789403764	0.335885362314654	0.309988073014789	TNS2/RARG/TARBP2	3
GO:0032330	regulation of chondrocyte differentiation	2/54	52/18866	0.00973022260105425	0.341297329544122	0.314982769065612	ACVRL1/RARG	2
GO:0030216	keratinocyte differentiation	4/54	306/18866	0.0113621670986787	0.341297329544122	0.314982769065612	KRT80/KRT7/KRT18/KRT8	4
GO:0008544	epidermis development	5/54	477/18866	0.0115730687137488	0.341297329544122	0.314982769065612	ACVR1B/KRT80/KRT7/KRT18/KRT8	5
