ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006953	acute-phase response	2/27	47/18866	0.00204917409322238	0.381504084163141	0.355806917872359	TFR2/EPO	2
GO:0006970	response to osmotic stress	2/27	85/18866	0.00654486663290625	0.381504084163141	0.355806917872359	TSC22D4/EPO	2
GO:0002526	acute inflammatory response	2/27	111/18866	0.0109397317349013	0.381504084163141	0.355806917872359	TFR2/EPO	2
GO:0042541	hemoglobin biosynthetic process	1/27	10/18866	0.0142230136325936	0.381504084163141	0.355806917872359	EPO	1
GO:0071281	cellular response to iron ion	1/27	11/18866	0.0156345525927074	0.381504084163141	0.355806917872359	TFR2	1
GO:0106049	regulation of cellular response to osmotic stress	1/27	11/18866	0.0156345525927074	0.381504084163141	0.355806917872359	EPO	1
GO:0001682	tRNA 5'-leader removal	1/27	13/18866	0.0184517937918836	0.381504084163141	0.355806917872359	POP7	1
GO:0031053	primary miRNA processing	1/27	13/18866	0.0184517937918836	0.381504084163141	0.355806917872359	SRRT	1
GO:0047484	regulation of response to osmotic stress	1/27	14/18866	0.0198575011895189	0.381504084163141	0.355806917872359	EPO	1
GO:0055064	chloride ion homeostasis	1/27	14/18866	0.0198575011895189	0.381504084163141	0.355806917872359	SLC12A9	1
GO:0014065	phosphatidylinositol 3-kinase signaling	2/27	154/18866	0.0203307632202499	0.381504084163141	0.355806917872359	NYAP1/EPO	2
GO:0020027	hemoglobin metabolic process	1/27	15/18866	0.0212612698860968	0.381504084163141	0.355806917872359	EPO	1
GO:0071474	cellular hyperosmotic response	1/27	15/18866	0.0212612698860968	0.381504084163141	0.355806917872359	EPO	1
GO:0033033	negative regulation of myeloid cell apoptotic process	1/27	16/18866	0.0226631024527022	0.381504084163141	0.355806917872359	EPO	1
GO:0043249	erythrocyte maturation	1/27	16/18866	0.0226631024527022	0.381504084163141	0.355806917872359	EPO	1
GO:0099116	tRNA 5'-end processing	1/27	16/18866	0.0226631024527022	0.381504084163141	0.355806917872359	POP7	1
GO:0010523	negative regulation of calcium ion transport into cytosol	1/27	18/18866	0.0254609694639717	0.381504084163141	0.355806917872359	EPO	1
GO:0033189	response to vitamin A	1/27	19/18866	0.0268570090344553	0.381504084163141	0.355806917872359	EPO	1
GO:0048469	cell maturation	2/27	179/18866	0.0268988635884327	0.381504084163141	0.355806917872359	EPO/ACTL6B	2
GO:0008361	regulation of cell size	2/27	181/18866	0.0274570786652046	0.381504084163141	0.355806917872359	LAMTOR4/SLC12A9	2
GO:0007130	synaptonemal complex assembly	1/27	21/18866	0.0296433130951985	0.381504084163141	0.355806917872359	STAG3	1
GO:0034471	ncRNA 5'-end processing	1/27	21/18866	0.0296433130951985	0.381504084163141	0.355806917872359	POP7	1
GO:0048015	phosphatidylinositol-mediated signaling	2/27	192/18866	0.030610673990042	0.381504084163141	0.355806917872359	NYAP1/EPO	2
GO:0055093	response to hyperoxia	1/27	22/18866	0.0310335826917185	0.381504084163141	0.355806917872359	EPO	1
GO:0050769	positive regulation of neurogenesis	3/27	485/18866	0.0312644085545275	0.381504084163141	0.355806917872359	GPC2/EPO/SRRT	3
