ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006970	response to osmotic stress	2/26	85/18866	0.00607774767465741	0.376859094581864	0.353718623861925	TSC22D4/EPO	2
GO:0042541	hemoglobin biosynthetic process	1/26	10/18866	0.0136994995665456	0.376859094581864	0.353718623861925	EPO	1
GO:0106049	regulation of cellular response to osmotic stress	1/26	11/18866	0.0150594811645127	0.376859094581864	0.353718623861925	EPO	1
GO:0001682	tRNA 5'-leader removal	1/26	13/18866	0.0177740370233753	0.376859094581864	0.353718623861925	POP7	1
GO:0031053	primary miRNA processing	1/26	13/18866	0.0177740370233753	0.376859094581864	0.353718623861925	SRRT	1
GO:0014065	phosphatidylinositol 3-kinase signaling	2/26	154/18866	0.0189248670974062	0.376859094581864	0.353718623861925	NYAP1/EPO	2
GO:0047484	regulation of response to osmotic stress	1/26	14/18866	0.0191286158722268	0.376859094581864	0.353718623861925	EPO	1
GO:0055064	chloride ion homeostasis	1/26	14/18866	0.0191286158722268	0.376859094581864	0.353718623861925	SLC12A9	1
GO:0020027	hemoglobin metabolic process	1/26	15/18866	0.0204813983879985	0.376859094581864	0.353718623861925	EPO	1
GO:0071474	cellular hyperosmotic response	1/26	15/18866	0.0204813983879985	0.376859094581864	0.353718623861925	EPO	1
GO:0033033	negative regulation of myeloid cell apoptotic process	1/26	16/18866	0.0218323868576763	0.376859094581864	0.353718623861925	EPO	1
GO:0043249	erythrocyte maturation	1/26	16/18866	0.0218323868576763	0.376859094581864	0.353718623861925	EPO	1
GO:0099116	tRNA 5'-end processing	1/26	16/18866	0.0218323868576763	0.376859094581864	0.353718623861925	POP7	1
GO:0010523	negative regulation of calcium ion transport into cytosol	1/26	18/18866	0.0245289907927546	0.376859094581864	0.353718623861925	EPO	1
GO:0048469	cell maturation	2/26	179/18866	0.025060255308863	0.376859094581864	0.353718623861925	EPO/ACTL6B	2
GO:0008361	regulation of cell size	2/26	181/18866	0.0255820650483745	0.376859094581864	0.353718623861925	LAMTOR4/SLC12A9	2
GO:0033189	response to vitamin A	1/26	19/18866	0.0258746108181895	0.376859094581864	0.353718623861925	EPO	1
GO:0050769	positive regulation of neurogenesis	3/26	485/18866	0.0283167221470661	0.376859094581864	0.353718623861925	GPC2/EPO/SRRT	3
GO:0048015	phosphatidylinositol-mediated signaling	2/26	192/18866	0.0285310245276854	0.376859094581864	0.353718623861925	NYAP1/EPO	2
GO:0007130	synaptonemal complex assembly	1/26	21/18866	0.0285604983640755	0.376859094581864	0.353718623861925	STAG3	1
GO:0034471	ncRNA 5'-end processing	1/26	21/18866	0.0285604983640755	0.376859094581864	0.353718623861925	POP7	1
GO:0048017	inositol lipid-mediated signaling	2/26	196/18866	0.0296359654131992	0.376859094581864	0.353718623861925	NYAP1/EPO	2
GO:0055093	response to hyperoxia	1/26	22/18866	0.0299007704278873	0.376859094581864	0.353718623861925	EPO	1
GO:0000966	RNA 5'-end processing	1/26	23/18866	0.0312392643765648	0.376859094581864	0.353718623861925	POP7	1
GO:0097150	neuronal stem cell population maintenance	1/26	23/18866	0.0312392643765648	0.376859094581864	0.353718623861925	SRRT	1
GO:0070193	synaptonemal complex organization	1/26	24/18866	0.0325759824748615	0.376859094581864	0.353718623861925	STAG3	1
GO:0042104	positive regulation of activated T cell proliferation	1/26	26/18866	0.0352441001655117	0.376859094581864	0.353718623861925	EPO	1
GO:0055083	monovalent inorganic anion homeostasis	1/26	26/18866	0.0352441001655117	0.376859094581864	0.353718623861925	SLC12A9	1
GO:0002021	response to dietary excess	1/26	27/18866	0.0365755042735636	0.376859094581864	0.353718623861925	VGF	1
GO:0009651	response to salt stress	1/26	27/18866	0.0365755042735636	0.376859094581864	0.353718623861925	EPO	1
GO:0006972	hyperosmotic response	1/26	28/18866	0.0379051415626389	0.376859094581864	0.353718623861925	EPO	1
GO:0033032	regulation of myeloid cell apoptotic process	1/26	29/18866	0.039233014283701	0.376859094581864	0.353718623861925	EPO	1
GO:0036296	response to increased oxygen levels	1/26	29/18866	0.039233014283701	0.376859094581864	0.353718623861925	EPO	1
GO:0055075	potassium ion homeostasis	1/26	29/18866	0.039233014283701	0.376859094581864	0.353718623861925	SLC12A9	1
GO:0006884	cell volume homeostasis	1/26	30/18866	0.0405591246849656	0.376859094581864	0.353718623861925	SLC12A9	1
GO:0071695	anatomical structure maturation	2/26	235/18866	0.0412719222842445	0.376859094581864	0.353718623861925	EPO/ACTL6B	2
GO:0033028	myeloid cell apoptotic process	1/26	33/18866	0.0445269044109692	0.376859094581864	0.353718623861925	EPO	1
GO:0046685	response to arsenic-containing substance	1/26	34/18866	0.0458459879603407	0.376859094581864	0.353718623861925	SRRT	1
GO:0048821	erythrocyte development	1/26	35/18866	0.0471633203898769	0.376859094581864	0.353718623861925	EPO	1
GO:0048009	insulin-like growth factor receptor signaling pathway	1/26	38/18866	0.0511048332637694	0.376859094581864	0.353718623861925	GIGYF1	1
GO:0033574	response to testosterone	1/26	41/18866	0.0550306662402695	0.376859094581864	0.353718623861925	EPO	1
