ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006534	cysteine metabolic process	2/13	12/18866	2.88166389044442e-05	0.00392278056608922	0.0024582651100211	TST/MPST	2
GO:0050667	homocysteine metabolic process	2/13	14/18866	3.97011498622933e-05	0.00392278056608922	0.0024582651100211	TST/MPST	2
GO:0000098	sulfur amino acid catabolic process	2/13	15/18866	4.57912128337263e-05	0.00392278056608922	0.0024582651100211	TST/MPST	2
GO:0045730	respiratory burst	2/13	37/18866	0.000287973721201571	0.014429413477429	0.00904239304545005	NCF4/RAC2	2
GO:0000096	sulfur amino acid metabolic process	2/13	40/18866	0.00033687346639912	0.014429413477429	0.00904239304545005	TST/MPST	2
GO:0009069	serine family amino acid metabolic process	2/13	40/18866	0.00033687346639912	0.014429413477429	0.00904239304545005	TST/MPST	2
GO:0044273	sulfur compound catabolic process	2/13	56/18866	0.000660985937732165	0.0235645042863431	0.0147670250084395	TST/MPST	2
GO:0045454	cell redox homeostasis	2/13	59/18866	0.000733525425255817	0.0235645042863431	0.0147670250084395	NCF4/RAC2	2
GO:0006909	phagocytosis	3/13	382/18866	0.00202544318249848	0.0578376553224565	0.0362447727394464	NCF4/IL2RB/RAC2	3
GO:0120034	positive regulation of plasma membrane bounded cell projection assembly	2/13	104/18866	0.00225638090934447	0.0579889893701529	0.0363396083294425	KCTD17/RAC2	2
GO:0009063	cellular amino acid catabolic process	2/13	124/18866	0.00318782825064218	0.074479260037731	0.0466734662534214	TST/MPST	2
GO:0120032	regulation of plasma membrane bounded cell projection assembly	2/13	183/18866	0.00680365189491401	0.0949633788477621	0.059510124774555	KCTD17/RAC2	2
GO:0075522	IRES-dependent viral translational initiation	1/13	10/18866	0.00687100924544426	0.0949633788477621	0.059510124774555	EIF3D	1
GO:1902415	regulation of mRNA binding	1/13	10/18866	0.00687100924544426	0.0949633788477621	0.059510124774555	EIF3D	1
GO:0060491	regulation of cell projection assembly	2/13	185/18866	0.0069481954854477	0.0949633788477621	0.059510124774555	KCTD17/RAC2	2
GO:1901605	alpha-amino acid metabolic process	2/13	202/18866	0.00823312274956628	0.0949633788477621	0.059510124774555	TST/MPST	2
GO:0002551	mast cell chemotaxis	1/13	12/18866	0.00823997068692695	0.0949633788477621	0.059510124774555	RAC2	1
GO:0038110	interleukin-2-mediated signaling pathway	1/13	12/18866	0.00823997068692695	0.0949633788477621	0.059510124774555	IL2RB	1
GO:1905214	regulation of RNA binding	1/13	12/18866	0.00823997068692695	0.0949633788477621	0.059510124774555	EIF3D	1
GO:0035723	interleukin-15-mediated signaling pathway	1/13	13/18866	0.00892379801168908	0.0949633788477621	0.059510124774555	IL2RB	1
GO:0071350	cellular response to interleukin-15	1/13	13/18866	0.00892379801168908	0.0949633788477621	0.059510124774555	IL2RB	1
GO:0071352	cellular response to interleukin-2	1/13	13/18866	0.00892379801168908	0.0949633788477621	0.059510124774555	IL2RB	1
GO:0097531	mast cell migration	1/13	13/18866	0.00892379801168908	0.0949633788477621	0.059510124774555	RAC2	1
GO:0070486	leukocyte aggregation	1/13	14/18866	0.00960719007798372	0.0949633788477621	0.059510124774555	RAC2	1
GO:0070669	response to interleukin-2	1/13	14/18866	0.00960719007798372	0.0949633788477621	0.059510124774555	IL2RB	1
GO:0070672	response to interleukin-15	1/13	14/18866	0.00960719007798372	0.0949633788477621	0.059510124774555	IL2RB	1
GO:0019081	viral translation	1/13	15/18866	0.0102901471397802	0.0979469561082778	0.0613798250443027	EIF3D	1
GO:0001732	formation of cytoplasmic translation initiation complex	1/13	16/18866	0.010972669450914	0.100713430317318	0.0631134746612724	EIF3D	1
GO:0060263	regulation of respiratory burst	1/13	17/18866	0.0116547572650857	0.103285262659553	0.0647251492398588	RAC2	1
GO:0043652	engulfment of apoptotic cell	1/13	18/18866	0.0123364108358617	0.104299437021664	0.0653606957375161	RAC2	1
GO:0032011	ARF protein signal transduction	1/13	19/18866	0.0130176304166728	0.104299437021664	0.0653606957375161	CYTH4	1
GO:0032012	regulation of ARF protein signal transduction	1/13	19/18866	0.0130176304166728	0.104299437021664	0.0653606957375161	CYTH4	1
GO:0010310	regulation of hydrogen peroxide metabolic process	1/13	21/18866	0.0143787686214566	0.104299437021664	0.0653606957375161	RAC2	1
GO:0006839	mitochondrial transport	2/13	271/18866	0.0144452787619138	0.104299437021664	0.0653606957375161	TST/RAC2	2
GO:0016054	organic acid catabolic process	2/13	282/18866	0.0155774366602799	0.104299437021664	0.0653606957375161	TST/MPST	2
GO:0046395	carboxylic acid catabolic process	2/13	282/18866	0.0155774366602799	0.104299437021664	0.0653606957375161	TST/MPST	2
GO:0001822	kidney development	2/13	283/18866	0.0156822267816404	0.104299437021664	0.0653606957375161	IFT27/MPST	2
GO:0072593	reactive oxygen species metabolic process	2/13	288/18866	0.0162108094704012	0.104299437021664	0.0653606957375161	NCF4/RAC2	2
GO:0032469	endoplasmic reticulum calcium ion homeostasis	1/13	24/18866	0.0164172273319582	0.104299437021664	0.0653606957375161	KCTD17	1
