ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006534	cysteine metabolic process	2/12	12/18866	2.43919297313215e-05	0.00306237315069913	0.00180899679788134	TST/MPST	2
GO:0050667	homocysteine metabolic process	2/12	14/18866	3.36075313103343e-05	0.00306237315069913	0.00180899679788134	TST/MPST	2
GO:0000098	sulfur amino acid catabolic process	2/12	15/18866	3.87642170974574e-05	0.00306237315069913	0.00180899679788134	TST/MPST	2
GO:0045730	respiratory burst	2/12	37/18866	0.000243971497843275	0.0112744692988826	0.00666002405841168	NCF4/RAC2	2
GO:0000096	sulfur amino acid metabolic process	2/12	40/18866	0.000285429602503357	0.0112744692988826	0.00666002405841168	TST/MPST	2
GO:0009069	serine family amino acid metabolic process	2/12	40/18866	0.000285429602503357	0.0112744692988826	0.00666002405841168	TST/MPST	2
GO:0044273	sulfur compound catabolic process	2/12	56/18866	0.000560363051056716	0.0184245431380233	0.0108836963684526	TST/MPST	2
GO:0045454	cell redox homeostasis	2/12	59/18866	0.000621925506768719	0.0184245431380233	0.0108836963684526	NCF4/RAC2	2
GO:0006909	phagocytosis	3/12	382/18866	0.00158165458087785	0.04165023729645	0.0246035157025443	NCF4/IL2RB/RAC2	3
GO:0120034	positive regulation of plasma membrane bounded cell projection assembly	2/12	104/18866	0.00191612391089999	0.0454121366883297	0.0268257347525998	KCTD17/RAC2	2
GO:0009063	cellular amino acid catabolic process	2/12	124/18866	0.0027090143377737	0.058366945277488	0.0344783642989381	TST/MPST	2
GO:0120032	regulation of plasma membrane bounded cell projection assembly	2/12	183/18866	0.00579371113781138	0.0808646679121338	0.0477681582603322	KCTD17/RAC2	2
GO:0060491	regulation of cell projection assembly	2/12	185/18866	0.00591721271214659	0.0808646679121338	0.0477681582603322	KCTD17/RAC2	2
GO:0075522	IRES-dependent viral translational initiation	1/12	10/18866	0.0063439826105709	0.0808646679121338	0.0477681582603322	EIF3D	1
GO:1902415	regulation of mRNA binding	1/12	10/18866	0.0063439826105709	0.0808646679121338	0.0477681582603322	EIF3D	1
GO:1901605	alpha-amino acid metabolic process	2/12	202/18866	0.00701565132146203	0.0808646679121338	0.0477681582603322	TST/MPST	2
GO:0002551	mast cell chemotaxis	1/12	12/18866	0.00760834345246353	0.0808646679121338	0.0477681582603322	RAC2	1
GO:0038110	interleukin-2-mediated signaling pathway	1/12	12/18866	0.00760834345246353	0.0808646679121338	0.0477681582603322	IL2RB	1
GO:1905214	regulation of RNA binding	1/12	12/18866	0.00760834345246353	0.0808646679121338	0.0477681582603322	EIF3D	1
GO:0035723	interleukin-15-mediated signaling pathway	1/12	13/18866	0.00823997068692706	0.0808646679121338	0.0477681582603322	IL2RB	1
GO:0071350	cellular response to interleukin-15	1/12	13/18866	0.00823997068692706	0.0808646679121338	0.0477681582603322	IL2RB	1
GO:0071352	cellular response to interleukin-2	1/12	13/18866	0.00823997068692706	0.0808646679121338	0.0477681582603322	IL2RB	1
GO:0097531	mast cell migration	1/12	13/18866	0.00823997068692706	0.0808646679121338	0.0477681582603322	RAC2	1
GO:0070486	leukocyte aggregation	1/12	14/18866	0.00887122939120455	0.0808646679121338	0.0477681582603322	RAC2	1
GO:0070669	response to interleukin-2	1/12	14/18866	0.00887122939120455	0.0808646679121338	0.0477681582603322	IL2RB	1
GO:0070672	response to interleukin-15	1/12	14/18866	0.00887122939120455	0.0808646679121338	0.0477681582603322	IL2RB	1
GO:0019081	viral translation	1/12	15/18866	0.00950211976078408	0.0834074956779936	0.049270250611473	EIF3D	1
GO:0001732	formation of cytoplasmic translation initiation complex	1/12	16/18866	0.010132641991057	0.0857655768528754	0.0506632099552851	EIF3D	1
GO:0060263	regulation of respiratory burst	1/12	17/18866	0.0107627962773222	0.085839007244212	0.0507065865577624	RAC2	1
GO:0043652	engulfment of apoptotic cell	1/12	18/18866	0.0113925828147873	0.085839007244212	0.0507065865577624	RAC2	1
GO:0032011	ARF protein signal transduction	1/12	19/18866	0.0120220017985636	0.085839007244212	0.0507065865577624	CYTH4	1
GO:0032012	regulation of ARF protein signal transduction	1/12	19/18866	0.0120220017985636	0.085839007244212	0.0507065865577624	CYTH4	1
GO:0006839	mitochondrial transport	2/12	271/18866	0.0123388553100384	0.085839007244212	0.0507065865577624	TST/RAC2	2
GO:0010310	regulation of hydrogen peroxide metabolic process	1/12	21/18866	0.013279737885039	0.085839007244212	0.0507065865577624	RAC2	1
GO:0016054	organic acid catabolic process	2/12	282/18866	0.0133110163731096	0.085839007244212	0.0507065865577624	TST/MPST	2
GO:0046395	carboxylic acid catabolic process	2/12	282/18866	0.0133110163731096	0.085839007244212	0.0507065865577624	TST/MPST	2
GO:0001822	kidney development	2/12	283/18866	0.0134010264474086	0.085839007244212	0.0507065865577624	IFT27/MPST	2
GO:0072593	reactive oxygen species metabolic process	2/12	288/18866	0.0138551290662889	0.0864122523344858	0.0510452123494853	NCF4/RAC2	2
GO:0072001	renal system development	2/12	292/18866	0.0142232547038947	0.0864336247390527	0.0510578373985965	IFT27/MPST	2
GO:0032469	endoplasmic reticulum calcium ion homeostasis	1/12	24/18866	0.0151635902345582	0.0876529484290313	0.0517781129960522	KCTD17	1
GO:0045724	positive regulation of cilium assembly	1/12	24/18866	0.0151635902345582	0.0876529484290313	0.0517781129960522	KCTD17	1
GO:0010592	positive regulation of lamellipodium assembly	1/12	25/18866	0.0157908079883632	0.0880090336391347	0.0519884586897842	RAC2	1
GO:0090023	positive regulation of neutrophil chemotaxis	1/12	26/18866	0.0164176595516631	0.0880090336391347	0.0519884586897842	RAC2	1
GO:0051056	regulation of small GTPase mediated signal transduction	2/12	323/18866	0.0172199158680698	0.0880090336391347	0.0519884586897842	RAC2/CYTH4	2
GO:0001655	urogenital system development	2/12	330/18866	0.0179312231964223	0.0880090336391347	0.0519884586897842	IFT27/MPST	2
GO:0071624	positive regulation of granulocyte chemotaxis	1/12	29/18866	0.0182960190417599	0.0880090336391347	0.0519884586897842	RAC2	1
GO:0060122	inner ear receptor cell stereocilium organization	1/12	30/18866	0.0189214077858006	0.0880090336391347	0.0519884586897842	IFT27	1
GO:0006520	cellular amino acid metabolic process	2/12	340/18866	0.0189690931777252	0.0880090336391347	0.0519884586897842	TST/MPST	2
GO:0008045	motor neuron axon guidance	1/12	31/18866	0.0195464313102526	0.0880090336391347	0.0519884586897842	RAC2	1
GO:1902624	positive regulation of neutrophil migration	1/12	31/18866	0.0195464313102526	0.0880090336391347	0.0519884586897842	RAC2	1
GO:0007265	Ras protein signal transduction	2/12	346/18866	0.0196039654157511	0.0880090336391347	0.0519884586897842	RAC2/CYTH4	2
GO:0043304	regulation of mast cell degranulation	1/12	32/18866	0.0201710898090195	0.0880090336391347	0.0519884586897842	RAC2	1
GO:1903955	positive regulation of protein targeting to mitochondrion	1/12	32/18866	0.0201710898090195	0.0880090336391347	0.0519884586897842	RAC2	1
GO:0033006	regulation of mast cell activation involved in immune response	1/12	33/18866	0.0207953834759137	0.0880090336391347	0.0519884586897842	RAC2	1
GO:0090022	regulation of neutrophil chemotaxis	1/12	33/18866	0.0207953834759137	0.0880090336391347	0.0519884586897842	RAC2	1
GO:1902745	positive regulation of lamellipodium organization	1/12	33/18866	0.0207953834759137	0.0880090336391347	0.0519884586897842	RAC2	1
GO:0002183	cytoplasmic translational initiation	1/12	35/18866	0.0220428770888706	0.0913093126386835	0.0539379905882519	EIF3D	1
GO:0006790	sulfur compound metabolic process	2/12	371/18866	0.0223457389579901	0.0913093126386835	0.0539379905882519	TST/MPST	2
GO:0060271	cilium assembly	2/12	377/18866	0.0230265712472212	0.0924608128283102	0.0546182016707318	IFT27/KCTD17	2
GO:0010591	regulation of lamellipodium assembly	1/12	38/18866	0.0239113861092414	0.0924608128283102	0.0546182016707318	RAC2	1
GO:0071392	cellular response to estradiol stimulus	1/12	38/18866	0.0239113861092414	0.0924608128283102	0.0546182016707318	SSTR3	1
GO:0016601	Rac protein signal transduction	1/12	39/18866	0.0245334948497707	0.0924608128283102	0.0546182016707318	RAC2	1
GO:0031346	positive regulation of cell projection organization	2/12	394/18866	0.0250026030024261	0.0924608128283102	0.0546182016707318	KCTD17/RAC2	2
GO:0035735	intraciliary transport involved in cilium assembly	1/12	40/18866	0.0251552401125211	0.0924608128283102	0.0546182016707318	IFT27	1
GO:0044782	cilium organization	2/12	397/18866	0.0253584507756969	0.0924608128283102	0.0546182016707318	IFT27/KCTD17	2
GO:1902622	regulation of neutrophil migration	1/12	42/18866	0.0263976409768817	0.0947915289624388	0.0559949960115672	RAC2	1
GO:0060119	inner ear receptor cell development	1/12	43/18866	0.0270182969643591	0.0955721847843747	0.0564561429106011	IFT27	1
GO:0033003	regulation of mast cell activation	1/12	44/18866	0.027638590245793	0.0963286160037196	0.0569029799178091	RAC2	1
GO:1903214	regulation of protein targeting to mitochondrion	1/12	45/18866	0.0282585210138863	0.0970195357853111	0.0573111181854159	RAC2	1
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	2/12	424/18866	0.0286555590927079	0.0970195357853111	0.0573111181854159	FOXRED2/KCTD17	2
GO:0043300	regulation of leukocyte degranulation	1/12	47/18866	0.0294972957804031	0.09709526527716	0.0573558529063393	RAC2	1
GO:0043303	mast cell degranulation	1/12	47/18866	0.0294972957804031	0.09709526527716	0.0573558529063393	RAC2	1
GO:0002279	mast cell activation involved in immune response	1/12	48/18866	0.0301161401637733	0.0977637065542029	0.0577507127324405	RAC2	1
GO:0002448	mast cell mediated immunity	1/12	49/18866	0.0307346228036938	0.0977637065542029	0.0577507127324405	RAC2	1
GO:1902743	regulation of lamellipodium organization	1/12	50/18866	0.0313527438924095	0.0977637065542029	0.0577507127324405	RAC2	1
GO:0043277	apoptotic cell clearance	1/12	51/18866	0.0319705036220698	0.0977637065542029	0.0577507127324405	RAC2	1
GO:0090102	cochlea development	1/12	51/18866	0.0319705036220698	0.0977637065542029	0.0577507127324405	IFT27	1
GO:0044282	small molecule catabolic process	2/12	452/18866	0.0322501026488495	0.0977637065542029	0.0577507127324405	TST/MPST	2
GO:0071622	regulation of granulocyte chemotaxis	1/12	52/18866	0.0325879021847343	0.0977637065542029	0.0577507127324405	RAC2	1
GO:0042073	intraciliary transport	1/12	53/18866	0.0332049397723706	0.0983696340756479	0.0581086446016486	IFT27	1
GO:1902017	regulation of cilium assembly	1/12	56/18866	0.0350538886034002	0.100519587908037	0.0593786595237352	KCTD17	1
