ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0032025	response to cobalt ion	1/8	10/18866	0.00423335802726887	0.0958634348916876	0.064038326951937	ATF1	1
GO:0051541	elastin metabolic process	1/8	10/18866	0.00423335802726887	0.0958634348916876	0.064038326951937	CELA1	1
GO:0061469	regulation of type B pancreatic cell proliferation	1/8	13/18866	0.00550030371907784	0.0958634348916876	0.064038326951937	NR4A1	1
GO:0006828	manganese ion transport	1/8	15/18866	0.00634415037330127	0.0958634348916876	0.064038326951937	SLC11A2	1
GO:0006825	copper ion transport	1/8	18/18866	0.00760874564176983	0.0958634348916876	0.064038326951937	SLC11A2	1
GO:0034755	iron ion transmembrane transport	1/8	18/18866	0.00760874564176983	0.0958634348916876	0.064038326951937	SLC11A2	1
GO:0044342	type B pancreatic cell proliferation	1/8	22/18866	0.00929268196234945	0.0958634348916876	0.064038326951937	NR4A1	1
GO:0006783	heme biosynthetic process	1/8	23/18866	0.00971327517739418	0.0958634348916876	0.064038326951937	SLC11A2	1
GO:0010038	response to metal ion	2/8	366/18866	0.00972730864666268	0.0958634348916876	0.064038326951937	SLC11A2/ATF1	2
GO:0006516	glycoprotein catabolic process	1/8	27/18866	0.0113940860702101	0.0958634348916876	0.064038326951937	CELA1	1
GO:0006779	porphyrin-containing compound biosynthetic process	1/8	27/18866	0.0113940860702101	0.0958634348916876	0.064038326951937	SLC11A2	1
GO:0033014	tetrapyrrole biosynthetic process	1/8	27/18866	0.0113940860702101	0.0958634348916876	0.064038326951937	SLC11A2	1
GO:0035767	endothelial cell chemotaxis	1/8	32/18866	0.0134915889887959	0.0958634348916876	0.064038326951937	NR4A1	1
GO:0042168	heme metabolic process	1/8	32/18866	0.0134915889887959	0.0958634348916876	0.064038326951937	SLC11A2	1
GO:0010039	response to iron ion	1/8	33/18866	0.013910621976376	0.0958634348916876	0.064038326951937	SLC11A2	1
GO:0048821	erythrocyte development	1/8	35/18866	0.0147482207525673	0.0958634348916876	0.064038326951937	SLC11A2	1
GO:0006778	porphyrin-containing compound metabolic process	1/8	39/18866	0.0164215508980504	0.097294858154196	0.0649945408722362	SLC11A2	1
GO:0045740	positive regulation of DNA replication	1/8	40/18866	0.0168394946805339	0.097294858154196	0.0649945408722362	ATF1	1
