ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006970	response to osmotic stress	2/13	85/18866	0.0015151154550319	0.134599120212127	0.0990756300569817	TSC22D4/EPO	2
GO:0043044	ATP-dependent chromatin remodeling	2/13	90/18866	0.00169643170013313	0.134599120212127	0.0990756300569817	ACTL6B/ZNHIT1	2
GO:0014065	phosphatidylinositol 3-kinase signaling	2/13	154/18866	0.00486766795536716	0.134599120212127	0.0990756300569817	NYAP1/EPO	2
GO:2001242	regulation of intrinsic apoptotic signaling pathway	2/13	166/18866	0.00563219307020084	0.134599120212127	0.0990756300569817	FIS1/EPO	2
GO:0048469	cell maturation	2/13	179/18866	0.00651878897440143	0.134599120212127	0.0990756300569817	ACTL6B/EPO	2
GO:0016559	peroxisome fission	1/13	10/18866	0.00687100924544426	0.134599120212127	0.0990756300569817	FIS1	1
GO:0042541	hemoglobin biosynthetic process	1/13	10/18866	0.00687100924544426	0.134599120212127	0.0990756300569817	EPO	1
GO:0048015	phosphatidylinositol-mediated signaling	2/13	192/18866	0.00746512655665072	0.134599120212127	0.0990756300569817	NYAP1/EPO	2
GO:0051561	positive regulation of mitochondrial calcium ion concentration	1/13	11/18866	0.00755570784959192	0.134599120212127	0.0990756300569817	FIS1	1
GO:0106049	regulation of cellular response to osmotic stress	1/13	11/18866	0.00755570784959192	0.134599120212127	0.0990756300569817	EPO	1
GO:0048017	inositol lipid-mediated signaling	2/13	196/18866	0.00776817630369064	0.134599120212127	0.0990756300569817	NYAP1/EPO	2
GO:0010952	positive regulation of peptidase activity	2/13	201/18866	0.00815477062795562	0.134599120212127	0.0990756300569817	PCOLCE/FIS1	2
GO:0006338	chromatin remodeling	2/13	218/18866	0.00953316495181255	0.134599120212127	0.0990756300569817	ACTL6B/ZNHIT1	2
GO:0047484	regulation of response to osmotic stress	1/13	14/18866	0.00960719007798372	0.134599120212127	0.0990756300569817	EPO	1
GO:0020027	hemoglobin metabolic process	1/13	15/18866	0.0102901471397802	0.134599120212127	0.0990756300569817	EPO	1
GO:0071474	cellular hyperosmotic response	1/13	15/18866	0.0102901471397802	0.134599120212127	0.0990756300569817	EPO	1
GO:0033033	negative regulation of myeloid cell apoptotic process	1/13	16/18866	0.010972669450914	0.134599120212127	0.0990756300569817	EPO	1
GO:0043249	erythrocyte maturation	1/13	16/18866	0.010972669450914	0.134599120212127	0.0990756300569817	EPO	1
GO:0071695	anatomical structure maturation	2/13	235/18866	0.0110088085548481	0.134599120212127	0.0990756300569817	ACTL6B/EPO	2
GO:0090141	positive regulation of mitochondrial fission	1/13	17/18866	0.0116547572650857	0.134599120212127	0.0990756300569817	FIS1	1
GO:0010523	negative regulation of calcium ion transport into cytosol	1/13	18/18866	0.0123364108358617	0.134599120212127	0.0990756300569817	EPO	1
GO:0033189	response to vitamin A	1/13	19/18866	0.0130176304166728	0.134599120212127	0.0990756300569817	EPO	1
GO:0035584	calcium-mediated signaling using intracellular calcium source	1/13	22/18866	0.0150586877516197	0.134599120212127	0.0990756300569817	FIS1	1
GO:0055093	response to hyperoxia	1/13	22/18866	0.0150586877516197	0.134599120212127	0.0990756300569817	EPO	1
GO:0016338	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	1/13	23/18866	0.0157381739041995	0.134599120212127	0.0990756300569817	CLDN15	1
GO:0070584	mitochondrion morphogenesis	1/13	23/18866	0.0157381739041995	0.134599120212127	0.0990756300569817	FIS1	1
GO:0021700	developmental maturation	2/13	287/18866	0.0161044766743823	0.134599120212127	0.0990756300569817	ACTL6B/EPO	2
GO:0014850	response to muscle activity	1/13	24/18866	0.0164172273319582	0.134599120212127	0.0990756300569817	FIS1	1
GO:0032469	endoplasmic reticulum calcium ion homeostasis	1/13	24/18866	0.0164172273319582	0.134599120212127	0.0990756300569817	FIS1	1
GO:0097193	intrinsic apoptotic signaling pathway	2/13	290/18866	0.0164243966139879	0.134599120212127	0.0990756300569817	FIS1/EPO	2
GO:0042104	positive regulation of activated T cell proliferation	1/13	26/18866	0.0177740370233752	0.134599120212127	0.0990756300569817	EPO	1
GO:0051560	mitochondrial calcium ion homeostasis	1/13	26/18866	0.0177740370233752	0.134599120212127	0.0990756300569817	FIS1	1
GO:0008053	mitochondrial fusion	1/13	27/18866	0.0184517937918838	0.134599120212127	0.0990756300569817	FIS1	1
GO:0009651	response to salt stress	1/13	27/18866	0.0184517937918838	0.134599120212127	0.0990756300569817	EPO	1
GO:0090140	regulation of mitochondrial fission	1/13	27/18866	0.0184517937918838	0.134599120212127	0.0990756300569817	FIS1	1
GO:0006972	hyperosmotic response	1/13	28/18866	0.0191291188452679	0.134599120212127	0.0990756300569817	EPO	1
GO:0031063	regulation of histone deacetylation	1/13	29/18866	0.0198060124356177	0.134599120212127	0.0990756300569817	ZNHIT1	1
GO:0033032	regulation of myeloid cell apoptotic process	1/13	29/18866	0.0198060124356177	0.134599120212127	0.0990756300569817	EPO	1
GO:0036296	response to increased oxygen levels	1/13	29/18866	0.0198060124356177	0.134599120212127	0.0990756300569817	EPO	1
GO:1901214	regulation of neuron death	2/13	321/18866	0.0198897919261183	0.134599120212127	0.0990756300569817	FIS1/EPO	2
GO:0007204	positive regulation of cytosolic calcium ion concentration	2/13	322/18866	0.02000634858024	0.134599120212127	0.0990756300569817	FIS1/EPO	2
GO:0090314	positive regulation of protein targeting to membrane	1/13	30/18866	0.020482474814889	0.134599120212127	0.0990756300569817	FIS1	1
GO:0033028	myeloid cell apoptotic process	1/13	33/18866	0.0225092772037863	0.140791939269954	0.103634036152178	EPO	1
GO:0048821	erythrocyte development	1/13	35/18866	0.0238583273541674	0.140791939269954	0.103634036152178	EPO	1
GO:0051480	regulation of cytosolic calcium ion concentration	2/13	357/18866	0.0242681054453177	0.140791939269954	0.103634036152178	FIS1/EPO	2
GO:0001666	response to hypoxia	2/13	359/18866	0.0245221577335094	0.140791939269954	0.103634036152178	FIS1/EPO	2
GO:0090313	regulation of protein targeting to membrane	1/13	36/18866	0.024532207750556	0.140791939269954	0.103634036152178	FIS1	1
GO:0070997	neuron death	2/13	360/18866	0.0246496031948215	0.140791939269954	0.103634036152178	FIS1/EPO	2
GO:0045862	positive regulation of proteolysis	2/13	370/18866	0.0259393420770993	0.140791939269954	0.103634036152178	PCOLCE/FIS1	2
